par,ai,ci,nominal,canto,arquivo,diferenca
amostra_06,11,18,False,10,j6032_1.sm,0.03749999999999998
amostra_06,11,18,False,10,j6043_1.sm,-0.025
amostra_06,11,18,False,01,j6010_1.sm,-0.008333333333333331
amostra_06,11,18,False,01,j6021_1.sm,-0.008333333333333331
amostra_06,11,18,False,01,j6032_1.sm,0.05
amostra_06,11,18,False,01,j6043_1.sm,0.004166666666666659
amostra_06,11,18,False,11,j6010_1.sm,-0.05416666666666666
amostra_06,11,18,False,11,j6021_1.sm,-0.020833333333333343
amostra_06,11,18,False,11,j6032_1.sm,0.033333333333333354
amostra_06,11,18,False,11,j6043_1.sm,0.07916666666666666
amostra_07,68,66,False,00,j6010_1.sm,0.02916666666666666
amostra_07,68,66,False,00,j6021_1.sm,-0.008333333333333331
amostra_07,68,66,False,00,j6032_1.sm,0.03749999999999999
amostra_07,68,66,False,00,j6043_1.sm,0.004166666666666673
amostra_07,68,66,False,10,j6010_1.sm,0.004166666666666666
amostra_07,68,66,False,10,j6021_1.sm,-0.03750000000000002
amostra_07,68,66,False,10,j6032_1.sm,0.024999999999999994
amostra_07,68,66,False,10,j6043_1.sm,-0.00416666666666668
amostra_07,68,66,False,01,j6010_1.sm,0.0
amostra_07,68,66,False,01,j6021_1.sm,-0.037500000000000006
amostra_07,68,66,False,01,j6032_1.sm,-0.02500000000000001
amostra_07,68,66,False,01,j6043_1.sm,0.05833333333333333
amostra_07,68,66,False,11,j6010_1.sm,-0.09999999999999999
amostra_07,68,66,False,11,j6021_1.sm,0.04583333333333334
amostra_07,68,66,False,11,j6032_1.sm,0.07083333333333332
amostra_07,68,66,False,11,j6043_1.sm,0.008333333333333331
amostra_08,64,9,False,00,j6010_1.sm,-0.06666666666666665
amostra_08,64,9,False,00,j6021_1.sm,-0.016666666666666677
amostra_08,64,9,False,00,j6032_1.sm,-0.04583333333333333
amostra_08,64,9,False,00,j6043_1.sm,-0.016666666666666663
amostra_08,64,9,False,10,j6010_1.sm,-0.04583333333333333
amostra_08,64,9,False,10,j6021_1.sm,0.016666666666666677
amostra_08,64,9,False,10,j6032_1.sm,0.05416666666666666
amostra_08,64,9,False,10,j6043_1.sm,-0.05
amostra_08,64,9,False,01,j6010_1.sm,-0.08333333333333331
amostra_08,64,9,False,01,j6021_1.sm,-0.024999999999999994
amostra_08,64,9,False,01,j6032_1.sm,-0.037500000000000006
amostra_08,64,9,False,01,j6043_1.sm,0.0
amostra_08,64,9,False,11,j6010_1.sm,0.058333333333333334
amostra_08,64,9,False,11,j6021_1.sm,-0.024999999999999994
amostra_08,64,9,False,11,j6032_1.sm,-0.01666666666666667
amostra_08,64,9,False,11,j6043_1.sm,0.03333333333333333
amostra_09,7,9,False,00,j6010_1.sm,-0.016666666666666663
amostra_09,7,9,False,00,j6021_1.sm,0.033333333333333326
amostra_09,7,9,False,00,j6032_1.sm,-0.004166666666666652
amostra_09,7,9,False,00,j6043_1.sm,0.004166666666666666
amostra_09,7,9,False,10,j6010_1.sm,-0.012500000000000004
amostra_09,7,9,False,10,j6021_1.sm,-0.016666666666666663
amostra_09,7,9,False,10,j6032_1.sm,0.05416666666666666
amostra_09,7,9,False,10,j6043_1.sm,0.037499999999999985
amostra_09,7,9,False,01,j6010_1.sm,-0.004166666666666666
amostra_09,7,9,False,01,j6021_1.sm,-0.03749999999999999
amostra_09,7,9,False,01,j6032_1.sm,-0.00416666666666668
amostra_09,7,9,False,01,j6043_1.sm,0.0
amostra_09,7,9,False,11,j6010_1.sm,0.04583333333333333
amostra_09,7,9,False,11,j6021_1.sm,-0.04166666666666667
amostra_09,7,9,False,11,j6032_1.sm,0.0
amostra_09,7,9,False,11,j6043_1.sm,0.11249999999999999
amostra_10,8,19,False,00,j6010_1.sm,-0.004166666666666666
amostra_10,8,19,False,00,j6021_1.sm,0.05416666666666668
amostra_10,8,19,False,00,j6032_1.sm,-0.004166666666666666
amostra_10,8,19,False,00,j6043_1.sm,-0.02500000000000001
amostra_10,8,19,False,10,j6010_1.sm,-0.04999999999999999
amostra_10,8,19,False,10,j6021_1.sm,0.008333333333333325
amostra_10,8,19,False,10,j6032_1.sm,-0.024999999999999994
amostra_10,8,19,False,10,j6043_1.sm,0.04166666666666667
amostra_10,8,19,False,01,j6010_1.sm,-0.02083333333333333
amostra_10,8,19,False,01,j6021_1.sm,0.008333333333333345
