par,ai,ci,nominal,canto,cenario,N_blocked,N_fail,N_req,N_success,bateria_media,confianca_media_final,denominador_falha,fracao_fuga,fracao_fuga_p1,fracao_porta1,n_concluidas,n_executadas,numerador_falha,p2_bloqueio,taxa_falha_efetiva
amostra_04,2,18,False,01,adaptativa,125.875,0.0,0.0,0.0,0.6158841849962939,0.25,60.0,0.1921938400555131,0.30492955050532267,0.5312500000000001,60.0,60.0,18.5,135.0625,0.30833333333333335
amostra_04,2,18,False,01,centralizada,131.0,0.0,0.0,0.0,0.6974526692852303,0.25,60.0,0.20674904648825088,0.33368957719178904,0.5208333333333334,60.0,60.0,17.9375,139.5625,0.2989583333333333
amostra_04,2,18,False,10,adaptativa,9.75,40.3125,115.6875,75.375,0.6907686667504813,0.6587819420833074,60.0,0.0,0.0,0.44375,60.0,60.0,16.0,59.0625,0.26666666666666666
amostra_04,2,18,False,10,centralizada,33.5625,34.6875,73.75,39.0625,0.7417518098048553,0.5068444134213377,60.0,0.0,0.0,0.4635416666666667,60.0,60.0,17.25,77.5625,0.2875
amostra_04,2,18,False,11,adaptativa,8.0625,39.0625,117.375,78.3125,0.6732712061210102,0.7029597559013284,60.0,0.14631158995609744,0.2682074397884209,0.45625,60.0,60.0,17.25,54.75,0.2875
amostra_04,2,18,False,11,centralizada,35.625,37.4375,90.3125,52.875,0.7488282466395579,0.5696563858356761,60.0,0.1618076467547321,0.292583197210938,0.4447916666666667,60.0,60.0,16.5625,82.375,0.27604166666666663
amostra_05,62,73,False,00,adaptativa,0.0625,38.8125,140.9375,102.125,0.730726375726326,0.9210090655971299,60.0,0.0,0.0,0.4302083333333333,60.0,60.0,15.5625,47.0625,0.259375
amostra_05,62,73,False,00,centralizada,2.875,29.25,118.9375,89.6875,0.7498261475125607,0.9426604145908657,60.0,0.0,0.0,0.3895833333333333,60.0,60.0,16.5,39.6875,0.27499999999999997
amostra_05,62,73,False,01,adaptativa,0.0,36.9375,144.8125,107.875,0.7225855225654907,0.9479267305905456,60.0,0.13461748754212718,0.26912062271623616,0.40416666666666673,60.0,60.0,16.375,45.3125,0.27291666666666664
amostra_05,62,73,False,01,centralizada,3.0,28.8125,126.5625,97.75,0.7477539207913051,0.9546395812575325,60.0,0.11360639390175933,0.24685563442035124,0.37916666666666665,60.0,60.0,15.4375,40.4375,0.25729166666666664
amostra_05,62,73,False,10,adaptativa,1.6875,35.875,121.875,86.0,0.7279569785890838,0.9246741222359698,60.0,0.0,0.0,0.4052083333333333,60.0,60.0,15.8125,45.6875,0.2635416666666667
amostra_05,62,73,False,10,centralizada,6.1875,41.6875,122.75,81.0625,0.7341387470522098,0.9240388869735484,60.0,0.0,0.0,0.41875,60.0,60.0,17.9375,55.9375,0.2989583333333333
amostra_05,62,73,False,11,adaptativa,2.4375,40.25,148.4375,108.1875,0.7435244485775802,0.9357135564337891,60.0,0.08692328834485383,0.18950047661574893,0.3979166666666667,60.0,60.0,16.625,54.5625,0.27708333333333335
amostra_05,62,73,False,11,centralizada,6.125,43.875,141.375,97.5,0.7635007508709812,0.9523105467409961,60.0,0.10805464459641813,0.22995227856750086,0.38645833333333335,60.0,60.0,15.5,60.625,0.2583333333333333
amostra_06,11,18,False,00,adaptativa,117.8125,0.0,0.0,0.0,0.6254400007707958,0.25,60.0,0.0,0.0,0.5385416666666667,60.0,60.0,18.1875,126.8125,0.303125
amostra_06,11,18,False,00,centralizada,118.5625,0.0,0.0,0.0,0.7010087629867267,0.25,60.0,0.0,0.0,0.5385416666666667,60.0,60.0,18.4375,126.9375,0.3072916666666667
