par,ai,ci,nominal,canto,cenario,N_blocked,N_fail,N_req,N_success,bateria_media,confianca_media_final,denominador_falha,fracao_fuga,fracao_fuga_p1,fracao_porta1,n_concluidas,n_executadas,numerador_falha,p2_bloqueio,taxa_falha_efetiva
amostra_16,78,51,False,11,adaptativa,7.4375,42.5625,140.3125,97.75,0.7659616008222268,0.9473287840811107,60.0,0.1070068098525423,0.2324228610398642,0.384375,60.0,60.0,15.375,60.125,0.25625
amostra_16,78,51,False,11,centralizada,12.5625,42.1875,126.0625,83.875,0.755142219748504,0.8687172396637387,60.0,0.09160363283288343,0.19035809365113368,0.39166666666666666,60.0,60.0,14.9375,62.75,0.24895833333333328
amostra_17,34,51,False,00,adaptativa,0.6875,32.9375,116.8125,83.875,0.7121740798933117,0.8513791911371058,60.0,0.0,0.0,0.42812500000000003,60.0,60.0,15.75,40.1875,0.2625
amostra_17,34,51,False,00,centralizada,142.4375,0.0,0.0,0.0,0.7089134917091393,0.525,60.0,0.0,0.0,0.5114583333333333,60.0,60.0,16.625,152.75,0.27708333333333335
amostra_17,34,51,False,01,adaptativa,0.375,34.625,131.9375,97.3125,0.6945559129114879,0.8803765160691734,60.0,0.14650984779242968,0.28136595203609915,0.42708333333333337,60.0,60.0,16.0,41.875,0.26666666666666666
amostra_17,34,51,False,01,centralizada,154.6875,0.0,0.0,0.0,0.6908258440252059,0.525,60.0,0.16684199471510386,0.28029811134713606,0.49375,60.0,60.0,16.625,165.1875,0.27708333333333335
amostra_17,34,51,False,10,adaptativa,3.25,37.4375,118.9375,81.5,0.7083706233456151,0.8504750847672371,60.0,0.0,0.0,0.44375,60.0,60.0,16.875,47.625,0.28125
amostra_17,34,51,False,10,centralizada,11.75,41.625,117.5625,75.9375,0.7465963049198968,0.8481442352482065,60.0,0.0,0.0,0.396875,60.0,60.0,16.0,61.125,0.26666666666666666
amostra_17,34,51,False,11,adaptativa,4.5,38.25,143.5,105.25,0.7301876195798641,0.8731945001052663,60.0,0.12379684546784411,0.24750119547865324,0.4125,60.0,60.0,16.8125,52.75,0.28020833333333334
amostra_17,34,51,False,11,centralizada,12.5625,42.1875,126.0625,83.875,0.755142219748504,0.8687172396637387,60.0,0.09160363283288343,0.19035809365113368,0.39166666666666666,60.0,60.0,14.9375,62.75,0.24895833333333328
amostra_18,31,19,False,00,adaptativa,0.1875,33.625,123.625,90.0,0.7319165250969877,0.8449964747049614,60.0,0.0,0.0,0.40208333333333335,60.0,60.0,15.8125,40.6875,0.2635416666666667
amostra_18,31,19,False,00,centralizada,121.375,0.0,0.0,0.0,0.6376863319946234,0.25,60.0,0.0,0.0,0.5583333333333335,60.0,60.0,18.5625,129.4375,0.30937499999999996
amostra_18,31,19,False,01,adaptativa,1.375,30.4375,133.25,102.8125,0.7250328647765003,0.8779736124022306,60.0,0.1293609321058956,0.2603251899152442,0.40729166666666666,60.0,60.0,15.4375,39.5625,0.25729166666666664
amostra_18,31,19,False,01,centralizada,127.0625,0.0,0.0,0.0,0.6202679466470592,0.25,60.0,0.18693611126208898,0.30275302752467703,0.5177083333333333,60.0,60.0,18.0625,135.625,0.30104166666666665
amostra_18,31,19,False,10,adaptativa,3.8125,36.5,117.125,80.625,0.7429107747104714,0.8388388386319119,60.0,0.0,0.0,0.4072916666666667,60.0,60.0,16.4375,48.0625,0.2739583333333333
amostra_18,31,19,False,10,centralizada,32.0625,38.0,80.8125,42.8125,0.6494411471481901,0.5112642597918691,60.0,0.0,0.0,0.5,60.0,60.0,18.625,78.0625,0.3104166666666667
amostra_18,31,19,False,11,adaptativa,4.5,40.6875,150.5625,109.875,0.7574768782950799,0.8862182358941498,60.0,0.1275432204542198,0.2691022181064876,0.3822916666666667,60.0,60.0,17.1875,54.3125,0.2864583333333333
amostra_18,31,19,False,11,centralizada,37.75,42.6875,102.3125,59.625,0.6918889133116082,0.600507424858045,60.0,0.14186919010936005,0.2580092725282835,0.453125,60.0,60.0,16.5,90.8125,0.27499999999999997
amostra_19,67,10,False,00,adaptativa,0.0,33.625,132.4375,98.8125,0.7337987578700008,0.9345119863038542,60.0,0.0,0.0,0.4114583333333333,60.0,60.0,16.4375,42.3125,0.2739583333333333
amostra_19,67,10,False,00,centralizada,121.375,0.0,0.0,0.0,0.6376863319946234,0.25,60.0,0.0,0.0,0.5583333333333335,60.0,60.0,18.5625,129.4375,0.30937499999999996
amostra_19,67,10,False,01,adaptativa,0.0,32.5625,140.3125,107.75,0.7306769684160682,0.9584151229669856,60.0,0.12509227526862965,0.25585976875634564,0.39375000000000004,60.0,60.0,15.5,41.375,0.25833333333333336
amostra_19,67,10,False,01,centralizada,127.0625,0.0,0.0,0.0,0.6202679466470592,0.25,60.0,0.18693611126208898,0.30275302752467703,0.5177083333333333,60.0,60.0,18.0625,135.625,0.30104166666666665
amostra_19,67,10,False,10,adaptativa,2.8125,43.0,138.3125,95.3125,0.7284528877379182,0.9232551441093378,60.0,0.0,0.0,0.4302083333333333,60.0,60.0,16.5625,54.875,0.27604166666666663
amostra_19,67,10,False,10,centralizada,17.75,39.8125,106.0625,66.25,0.6929067181689786,0.6223023619483845,60.0,0.0,0.0,0.4864583333333333,60.0,60.0,17.6875,65.5625,0.2947916666666667
amostra_19,67,10,False,11,adaptativa,3.6875,40.0,147.3125,107.3125,0.7473084224118803,0.9476328405540619,60.0,0.10223062994573899,0.21395371996485252,0.39166666666666666,60.0,60.0,16.6875,53.125,0.27812499999999996
amostra_19,67,10,False,11,centralizada,19.125,38.25,109.1875,70.9375,0.7053344613732685,0.6955040702214759,60.0,0.13163066266866516,0.259429063967444,0.421875,60.0,60.0,16.375,66.3125,0.2729166666666667
amostra_20,64,19,False,00,adaptativa,0.0625,32.4375,117.4375,85.0,0.752413831978255,0.9370810867522182,60.0,0.0,0.0,0.38749999999999996,60.0,60.0,16.25,40.0625,0.2708333333333333
amostra_20,64,19,False,00,centralizada,121.375,0.0,0.0,0.0,0.6376863319946234,0.25,60.0,0.0,0.0,0.5583333333333335,60.0,60.0,18.5625,129.4375,0.30937499999999996
amostra_20,64,19,False,01,adaptativa,0.1875,30.5625,128.0625,97.5,0.7465586775567579,0.9558233839481589,60.0,0.1073981413699774,0.23298556812371235,0.3791666666666667,60.0,60.0,15.75,39.375,0.26249999999999996
amostra_20,64,19,False,01,centralizada,127.0625,0.0,0.0,0.0,0.6202679466470592,0.25,60.0,0.18693611126208898,0.30275302752467703,0.5177083333333333,60.0,60.0,18.0625,135.625,0.30104166666666665
amostra_20,64,19,False,10,adaptativa,3.5625,43.5625,134.9375,91.375,0.7454491649077777,0.9192310155904977,60.0,0.0,0.0,0.4083333333333333,60.0,60.0,16.875,56.625,0.28125
amostra_20,64,19,False,10,centralizada,32.0625,38.0,80.8125,42.8125,0.6494411471481901,0.5112642597918691,60.0,0.0,0.0,0.5,60.0,60.0,18.625,78.0625,0.3104166666666667
amostra_20,64,19,False,11,adaptativa,2.25,43.0,146.875,103.875,0.7370573447598116,0.9561338842833601,60.0,0.12336999377689564,0.25112992516448673,0.38645833333333335,60.0,60.0,16.6875,54.1875,0.278125
amostra_20,64,19,False,11,centralizada,37.75,42.6875,102.3125,59.625,0.6918889133116082,0.600507424858045,60.0,0.14186919010936005,0.2580092725282835,0.453125,60.0,60.0,16.5,90.8125,0.27499999999999997
nominal,62,18,True,00,adaptativa,0.0625,38.8125,140.9375,102.125,0.730726375726326,0.9210090655971299,60.0,0.0,0.0,0.4302083333333333,60.0,60.0,15.5625,47.0625,0.259375
nominal,62,18,True,00,centralizada,118.5625,0.0,0.0,0.0,0.7010087629867267,0.25,60.0,0.0,0.0,0.5385416666666667,60.0,60.0,18.4375,126.9375,0.3072916666666667
nominal,62,18,True,01,adaptativa,0.0,36.9375,144.8125,107.875,0.7225855225654907,0.9479267305905456,60.0,0.13461748754212718,0.26912062271623616,0.40416666666666673,60.0,60.0,16.375,45.3125,0.27291666666666664
nominal,62,18,True,01,centralizada,131.0,0.0,0.0,0.0,0.6974526692852303,0.25,60.0,0.20674904648825088,0.33368957719178904,0.5208333333333334,60.0,60.0,17.9375,139.5625,0.2989583333333333
nominal,62,18,True,10,adaptativa,1.6875,35.875,121.875,86.0,0.7279569785890838,0.9246741222359698,60.0,0.0,0.0,0.4052083333333333,60.0,60.0,15.8125,45.6875,0.2635416666666667
nominal,62,18,True,10,centralizada,33.5625,34.6875,73.75,39.0625,0.7417518098048553,0.5068444134213377,60.0,0.0,0.0,0.4635416666666667,60.0,60.0,17.25,77.5625,0.2875
nominal,62,18,True,11,adaptativa,2.4375,40.25,148.4375,108.1875,0.7435244485775802,0.9357135564337891,60.0,0.08692328834485383,0.18950047661574893,0.3979166666666667,60.0,60.0,16.625,54.5625,0.27708333333333335
nominal,62,18,True,11,centralizada,35.625,37.4375,90.3125,52.875,0.7488282466395579,0.5696563858356761,60.0,0.1618076467547321,0.292583197210938,0.4447916666666667,60.0,60.0,16.5625,82.375,0.27604166666666663
