par,ai,ci,nominal,efeito,cenario,media,ic95_inf,ic95_sup,N_instancias
amostra_01,56,65,False,assistencia_fuga_desligada,contraste_A_menos_C,-0.005208333333333337,-0.054341180533580995,0.04392451386691432,4
amostra_01,56,65,False,assistencia_fuga_ligada,contraste_A_menos_C,0.013541666666666664,-0.04435316180227879,0.07143649513561212,4
amostra_01,56,65,False,fuga_assistencia_limiar,contraste_A_menos_C,0.0010416666666666664,-0.002273381568003862,0.004356714901337195,4
amostra_01,56,65,False,fuga_assistencia_logistica,contraste_A_menos_C,0.019791666666666666,-0.07695247520487172,0.11653580853820505,4
amostra_01,56,65,False,total_v2_menos_v1,contraste_A_menos_C,0.01458333333333333,-0.04484146840650498,0.07400813507317164,4
amostra_01,56,65,False,interacao,contraste_A_menos_C,0.018750000000000003,-0.07770973907527114,0.11520973907527114,4
amostra_01,56,65,False,assistencia_fuga_desligada,adaptativa,-0.013541666666666674,-0.05418763696297312,0.027104303629639774,4
amostra_01,56,65,False,assistencia_fuga_desligada,centralizada,-0.008333333333333337,-0.06353991890696428,0.046873252240297605,4
amostra_01,56,65,False,assistencia_fuga_ligada,adaptativa,0.013541666666666665,-0.07981093921536755,0.10689427254870087,4
amostra_01,56,65,False,assistencia_fuga_ligada,centralizada,1.734723475976807e-18,-0.09329372690684092,0.09329372690684092,4
amostra_01,56,65,False,fuga_assistencia_limiar,adaptativa,-0.005208333333333336,-0.07354980346115311,0.06313313679448643,4
amostra_01,56,65,False,fuga_assistencia_limiar,centralizada,-0.006250000000000002,-0.07221862693799311,0.0597186269379931,4
amostra_01,56,65,False,fuga_assistencia_logistica,adaptativa,0.021875,-0.016926644776379382,0.06067664477637938,4
amostra_01,56,65,False,fuga_assistencia_logistica,centralizada,0.0020833333333333346,-0.06046487166214531,0.06463153832881198,4
amostra_01,56,65,False,total_v2_menos_v1,adaptativa,0.008333333333333328,-0.0607809836032769,0.07744765026994356,4
amostra_01,56,65,False,total_v2_menos_v1,centralizada,-0.006250000000000002,-0.0443370045207203,0.0318370045207203,4
amostra_02,17,9,False,assistencia_fuga_desligada,contraste_A_menos_C,-0.01041666666666668,-0.07503885343957796,0.0542055201062446,4
amostra_02,17,9,False,assistencia_fuga_ligada,contraste_A_menos_C,0.024999999999999994,-0.010083172852487658,0.06008317285248765,4
amostra_02,17,9,False,fuga_assistencia_limiar,contraste_A_menos_C,-0.02291666666666667,-0.09564653831188433,0.04981320497855099,4
amostra_02,17,9,False,fuga_assistencia_logistica,contraste_A_menos_C,0.012500000000000004,-0.05870283234230222,0.08370283234230222,4
amostra_02,17,9,False,total_v2_menos_v1,contraste_A_menos_C,0.002083333333333324,-0.08858187228077068,0.09274853894743733,4
amostra_02,17,9,False,interacao,contraste_A_menos_C,0.03541666666666667,-0.04349726568355632,0.11433059901688966,4
amostra_02,17,9,False,assistencia_fuga_desligada,adaptativa,-0.030208333333333344,-0.0726184991583348,0.012201832491668119,4
amostra_02,17,9,False,assistencia_fuga_desligada,centralizada,-0.01979166666666666,-0.08438550415689194,0.04480217082355862,4
amostra_02,17,9,False,assistencia_fuga_ligada,adaptativa,-0.008333333333333335,-0.03130066122129681,0.014633994554630134,4
amostra_02,17,9,False,assistencia_fuga_ligada,centralizada,-0.033333333333333326,-0.08853991890696426,0.02187325224029761,4
amostra_02,17,9,False,fuga_assistencia_limiar,adaptativa,-0.03125,-0.09017958642506096,0.02767958642506097,4
amostra_02,17,9,False,fuga_assistencia_limiar,centralizada,-0.008333333333333331,-0.03193001960722364,0.01526335294055698,4
amostra_02,17,9,False,fuga_assistencia_logistica,adaptativa,-0.009374999999999994,-0.05073567947844406,0.03198567947844407,4
amostra_02,17,9,False,fuga_assistencia_logistica,centralizada,-0.021875,-0.12647864925469865,0.08272864925469867,4
amostra_02,17,9,False,total_v2_menos_v1,adaptativa,-0.03958333333333333,-0.08567720849750769,0.0065105418308410296,4
amostra_02,17,9,False,total_v2_menos_v1,centralizada,-0.04166666666666666,-0.11489847574931726,0.031565142415983946,4
amostra_03,62,68,False,assistencia_fuga_desligada,contraste_A_menos_C,0.008333333333333333,-0.02459540416784682,0.041262070834513484,4
amostra_03,62,68,False,assistencia_fuga_ligada,contraste_A_menos_C,-6.938893903907228e-18,-0.1044108636100988,0.1044108636100988,4
amostra_03,62,68,False,fuga_assistencia_limiar,contraste_A_menos_C,0.03229166666666667,-0.06802164179011114,0.1326049751234445,4
amostra_03,62,68,False,fuga_assistencia_logistica,contraste_A_menos_C,0.023958333333333328,-0.047115764800719745,0.09503243146738641,4
amostra_03,62,68,False,total_v2_menos_v1,contraste_A_menos_C,0.03229166666666666,-0.019455659343084776,0.0840389926764181,4
amostra_03,62,68,False,interacao,contraste_A_menos_C,-0.008333333333333342,-0.14560462001521815,0.1289379533485515,4
amostra_03,62,68,False,assistencia_fuga_desligada,adaptativa,0.004166666666666666,-0.012073686628647214,0.020407019961980546,4
amostra_03,62,68,False,assistencia_fuga_desligada,centralizada,-0.0041666666666666675,-0.021285502139671002,0.012952168806337665,4
amostra_03,62,68,False,assistencia_fuga_ligada,adaptativa,0.004166666666666664,-0.021795332761133962,0.030128666094467287,4
amostra_03,62,68,False,assistencia_fuga_ligada,centralizada,0.004166666666666662,-0.08722290629779172,0.09555623963112506,4
amostra_03,62,68,False,fuga_assistencia_limiar,adaptativa,0.013541666666666665,-0.03706034849062505,0.06414368182395838,4
amostra_03,62,68,False,fuga_assistencia_limiar,centralizada,-0.01875,-0.07565564588744511,0.038155645887445105,4
amostra_03,62,68,False,fuga_assistencia_logistica,adaptativa,0.013541666666666665,-0.026742194227406618,0.05382552756073995,4
amostra_03,62,68,False,fuga_assistencia_logistica,centralizada,-0.010416666666666664,-0.07835493876156704,0.05752160542823372,4
amostra_03,62,68,False,total_v2_menos_v1,adaptativa,0.017708333333333333,-0.03052153620430223,0.0659382028709689,4
amostra_03,62,68,False,total_v2_menos_v1,centralizada,-0.014583333333333332,-0.06579698410310894,0.036630317436442274,4
amostra_04,2,18,False,assistencia_fuga_desligada,contraste_A_menos_C,-0.01666666666666667,-0.055703617691936505,0.022370284358603165,4
amostra_04,2,18,False,assistencia_fuga_ligada,contraste_A_menos_C,0.002083333333333333,-0.05533498638657537,0.05950165305324204,4
amostra_04,2,18,False,fuga_assistencia_limiar,contraste_A_menos_C,0.013541666666666664,-0.05105217082355862,0.07813550415689194,4
amostra_04,2,18,False,fuga_assistencia_logistica,contraste_A_menos_C,0.03229166666666666,-0.04843503316262136,0.11301836649595469,4
amostra_04,2,18,False,total_v2_menos_v1,contraste_A_menos_C,0.015624999999999997,-0.0511987859572879,0.0824487859572879,4
amostra_04,2,18,False,interacao,contraste_A_menos_C,0.018750000000000006,-0.07094028259670432,0.10844028259670432,4
amostra_04,2,18,False,assistencia_fuga_desligada,adaptativa,-0.03645833333333333,-0.060286743853269334,-0.012629922813397327,4
amostra_04,2,18,False,assistencia_fuga_desligada,centralizada,-0.01979166666666666,-0.06679058691422796,0.02720725358089464,4
amostra_04,2,18,False,assistencia_fuga_ligada,adaptativa,-0.02083333333333333,-0.062060948618726595,0.020394281952059938,4
amostra_04,2,18,False,assistencia_fuga_ligada,centralizada,-0.02291666666666666,-0.07148712013389222,0.025653786800558902,4
amostra_04,2,18,False,fuga_assistencia_limiar,adaptativa,0.005208333333333332,-0.04481119317770456,0.05522785984437123,4
