par,ai,ci,nominal,canto,cenario,metrica,media,ic95_inf,ic95_sup,N_instancias
amostra_01,56,65,False,10,centralizada,numerador_falha,16.0,14.742027643014492,17.25797235698551,4
amostra_01,56,65,False,10,centralizada,bateria_media,0.7492037917339947,0.6266287516759536,0.8717788317920357,4
amostra_01,56,65,False,10,centralizada,confianca_media_final,0.9268807837567619,0.8858766353393392,0.9678849321741845,4
amostra_01,56,65,False,01,adaptativa,taxa_falha_efetiva,0.27083333333333337,0.18138844184654185,0.3602782248201249,4
amostra_01,56,65,False,01,adaptativa,N_req,138.125,60.26304849777483,215.98695150222517,4
amostra_01,56,65,False,01,adaptativa,N_success,104.25,33.078701443645315,175.42129855635469,4
amostra_01,56,65,False,01,adaptativa,N_fail,33.875,9.8030927610819,57.9469072389181,4
amostra_01,56,65,False,01,adaptativa,N_blocked,0.0,0.0,0.0,4
amostra_01,56,65,False,01,adaptativa,p2_bloqueio,42.6875,17.372596971116412,68.00240302888359,4
amostra_01,56,65,False,01,adaptativa,fracao_porta1,0.38125,0.23705492810716575,0.5254450718928342,4
amostra_01,56,65,False,01,adaptativa,fracao_fuga,0.11219473584055631,0.03690630618027203,0.1874831655008406,4
amostra_01,56,65,False,01,adaptativa,fracao_fuga_p1,0.2436889852836845,0.1733460249767444,0.3140319455906246,4
amostra_01,56,65,False,01,adaptativa,n_executadas,60.0,60.0,60.0,4
amostra_01,56,65,False,01,adaptativa,n_concluidas,60.0,60.0,60.0,4
amostra_01,56,65,False,01,adaptativa,denominador_falha,60.0,60.0,60.0,4
amostra_01,56,65,False,01,adaptativa,numerador_falha,16.25,10.883306510792508,21.616693489207492,4
amostra_01,56,65,False,01,adaptativa,bateria_media,0.7436420320272912,0.5222256014671219,0.9650584625874604,4
amostra_01,56,65,False,01,adaptativa,confianca_media_final,0.9517871485431615,0.8981242551057748,1.0054500419805483,4
