populacao,cenario,N,q_zero,q_menor_001,q_maior_099,q_meio_01_09
todas_decisoes,ambos,79327,0.8919913774629067,0.8921426500434909,0.09105348746328489,0.011458897979250444
todas_decisoes,adaptativa,40777,0.9138975402800599,0.9140692056796723,0.07141280623881109,0.009883022291978322
todas_decisoes,centralizada,38550,0.8688197146562905,0.8689494163424124,0.11182879377431906,0.013125810635538263
selecionou_p1,ambos,13334,0.3809809509524524,0.3817309134543273,0.5415479226038699,0.05069746512674366
selecionou_p1,adaptativa,5996,0.43812541694462975,0.4389593062041361,0.485657104736491,0.049699799866577715
selecionou_p1,centralizada,7338,0.3342872717361679,0.33496865630962114,0.5872172254020169,0.05151267375306623
