perfil_adaptativa,perfil_centralizada,metrica,estimando,pares_previstos,pares_retidos,pares_indefinidos,estatuto,media,ic95_inf,ic95_sup,N_instancias,sinal,evidencia,tau_inicial_A,tau_min_A,p_reporte_A,p_deteccao_A,tau_inicial_C,tau_min_C,p_reporte_C,p_deteccao_C,regiao
0,2,divida_latente_sobre_plano,observado,16,16,0,COMPLETO,0.0437427515717941,0.0224942703448213,0.0649912327987669,4,positivo,positivo,0.25,0.25,0.15,0.03,0.25,0.25,0.15,0.12,inclui_inversao_de_premissa
0,2,divida_latente_sobre_plano,pares_completos,16,16,0,COMPLETO,0.0437427515717941,0.0224942703448213,0.0649912327987669,4,positivo,positivo,0.25,0.25,0.15,0.03,0.25,0.25,0.15,0.12,inclui_inversao_de_premissa
0,2,taxa_falha_efetiva,observado,16,16,0,COMPLETO,0.0041666666666666,-0.0217953327611384,0.0301286660944718,4,positivo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.15,0.12,inclui_inversao_de_premissa
0,2,taxa_falha_efetiva,pares_completos,16,16,0,COMPLETO,0.0041666666666666,-0.0217953327611384,0.0301286660944718,4,positivo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.15,0.12,inclui_inversao_de_premissa
0,2,fracao_porta1,observado,16,16,0,COMPLETO,0.0,-0.0484193785959212,0.0484193785959212,4,zero,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.15,0.12,inclui_inversao_de_premissa
0,2,fracao_porta1,pares_completos,16,16,0,COMPLETO,0.0,-0.0484193785959212,0.0484193785959212,4,zero,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.15,0.12,inclui_inversao_de_premissa
0,3,atraso_relativo,observado,16,16,0,COMPLETO,0.0848810560964787,-0.2181475185072911,0.3879096307002486,4,positivo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.03,inclui_inversao_de_premissa
0,3,atraso_relativo,pares_completos,16,16,0,COMPLETO,0.0848810560964787,-0.2181475185072911,0.3879096307002486,4,positivo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.03,inclui_inversao_de_premissa
0,3,taxa_omissao,observado,16,16,0,COMPLETO,0.0979166666666666,0.0505683072565246,0.1452650260768087,4,positivo,positivo,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.03,inclui_inversao_de_premissa
0,3,taxa_omissao,pares_completos,16,16,0,COMPLETO,0.0979166666666666,0.0505683072565246,0.1452650260768087,4,positivo,positivo,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.03,inclui_inversao_de_premissa
0,3,divida_latente_sobre_plano,observado,16,16,0,COMPLETO,0.0417589360437835,0.0209180136321801,0.0625998584553869,4,positivo,positivo,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.03,inclui_inversao_de_premissa
0,3,divida_latente_sobre_plano,pares_completos,16,16,0,COMPLETO,0.0417589360437835,0.0209180136321801,0.0625998584553869,4,positivo,positivo,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.03,inclui_inversao_de_premissa
0,3,taxa_falha_efetiva,observado,16,16,0,COMPLETO,-0.0135416666666666,-0.0701568934124268,0.0430735600790935,4,negativo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.03,inclui_inversao_de_premissa
0,3,taxa_falha_efetiva,pares_completos,16,16,0,COMPLETO,-0.0135416666666666,-0.0701568934124268,0.0430735600790935,4,negativo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.03,inclui_inversao_de_premissa
0,3,fracao_porta1,observado,16,16,0,COMPLETO,-0.0104166666666666,-0.0580734877065469,0.0372401543732136,4,negativo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.03,inclui_inversao_de_premissa
0,3,fracao_porta1,pares_completos,16,16,0,COMPLETO,-0.0104166666666666,-0.0580734877065469,0.0372401543732136,4,negativo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.03,inclui_inversao_de_premissa
0,4,atraso_relativo,observado,16,16,0,COMPLETO,0.6267691554119741,-0.0304732941553983,1.2840116049793466,4,positivo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.075,inclui_inversao_de_premissa
0,4,atraso_relativo,pares_completos,16,16,0,COMPLETO,0.6267691554119741,-0.0304732941553983,1.2840116049793466,4,positivo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.075,inclui_inversao_de_premissa
0,4,taxa_omissao,observado,16,16,0,COMPLETO,0.1114583333333333,0.0545848830048274,0.1683317836618392,4,positivo,positivo,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.075,inclui_inversao_de_premissa
0,4,taxa_omissao,pares_completos,16,16,0,COMPLETO,0.1114583333333333,0.0545848830048274,0.1683317836618392,4,positivo,positivo,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.075,inclui_inversao_de_premissa
0,4,divida_latente_sobre_plano,observado,16,16,0,COMPLETO,0.0521436140075041,0.0275045860069903,0.0767826420080178,4,positivo,positivo,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.075,inclui_inversao_de_premissa
0,4,divida_latente_sobre_plano,pares_completos,16,16,0,COMPLETO,0.0521436140075041,0.0275045860069903,0.0767826420080178,4,positivo,positivo,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.075,inclui_inversao_de_premissa
0,4,taxa_falha_efetiva,observado,16,16,0,COMPLETO,-0.003125,-0.0314487845329381,0.0251987845329381,4,negativo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.075,inclui_inversao_de_premissa
0,4,taxa_falha_efetiva,pares_completos,16,16,0,COMPLETO,-0.003125,-0.0314487845329381,0.0251987845329381,4,negativo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.075,inclui_inversao_de_premissa
0,4,fracao_porta1,observado,16,16,0,COMPLETO,-0.0229166666666666,-0.0680468003831278,0.0222134670497944,4,negativo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.075,inclui_inversao_de_premissa
0,4,fracao_porta1,pares_completos,16,16,0,COMPLETO,-0.0229166666666666,-0.0680468003831278,0.0222134670497944,4,negativo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.075,inclui_inversao_de_premissa
0,5,atraso_relativo,observado,16,16,0,COMPLETO,0.6675289188266204,-0.0212613902980235,1.356319227951264,4,positivo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.12,inclui_inversao_de_premissa
0,5,atraso_relativo,pares_completos,16,16,0,COMPLETO,0.6675289188266204,-0.0212613902980235,1.356319227951264,4,positivo,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.45,0.12,inclui_inversao_de_premissa
