populacao,cenario,N,menor_001,maior_099,meio_01_09
todas_decisoes,ambos,79327,0.0,0.0919863350435539,0.14949512776230034
todas_decisoes,adaptativa,40777,0.0,0.07212399146577728,0.14606273144174411
todas_decisoes,centralizada,38550,0.0,0.11299610894941635,0.15312581063553826
selecionou_p1,ambos,13334,0.0,0.5470226488675566,0.17946602669866507
selecionou_p1,adaptativa,5996,0.0,0.49049366244162773,0.19396264176117411
selecionou_p1,centralizada,7338,0.0,0.5932134096484055,0.16762060506950122
