perfil_adaptativa,perfil_centralizada,metrica,estimando,pares_previstos,pares_retidos,pares_indefinidos,estatuto,media,ic95_inf,ic95_sup,N_instancias,sinal,evidencia
0,12,atraso_relativo,observado,16,16,0,COMPLETO,0.08488105609647871,-0.21814751850729114,0.3879096307002486,4,positivo,inclui_zero
0,12,atraso_relativo,pares_completos,16,16,0,COMPLETO,0.08488105609647871,-0.21814751850729114,0.3879096307002486,4,positivo,inclui_zero
0,12,taxa_omissao,observado,16,16,0,COMPLETO,0.09791666666666667,0.0505683072565246,0.14526502607680875,4,positivo,positivo
0,12,taxa_omissao,pares_completos,16,16,0,COMPLETO,0.09791666666666667,0.0505683072565246,0.14526502607680875,4,positivo,positivo
0,12,divida_latente_sobre_plano,observado,16,16,0,COMPLETO,0.04175893604378356,0.020918013632180137,0.06259985845538697,4,positivo,positivo
0,12,divida_latente_sobre_plano,pares_completos,16,16,0,COMPLETO,0.04175893604378356,0.020918013632180137,0.06259985845538697,4,positivo,positivo
0,12,taxa_falha_efetiva,observado,16,16,0,COMPLETO,-0.013541666666666667,-0.07015689341242685,0.04307356007909352,4,negativo,inclui_zero
0,12,taxa_falha_efetiva,pares_completos,16,16,0,COMPLETO,-0.013541666666666667,-0.07015689341242685,0.04307356007909352,4,negativo,inclui_zero
0,12,fracao_porta1,observado,16,16,0,COMPLETO,-0.010416666666666661,-0.05807348770654697,0.03724015437321365,4,negativo,inclui_zero
0,12,fracao_porta1,pares_completos,16,16,0,COMPLETO,-0.010416666666666661,-0.05807348770654697,0.03724015437321365,4,negativo,inclui_zero
0,13,atraso_relativo,observado,16,16,0,COMPLETO,0.6267691554119741,-0.030473294155398345,1.2840116049793466,4,positivo,inclui_zero
0,13,atraso_relativo,pares_completos,16,16,0,COMPLETO,0.6267691554119741,-0.030473294155398345,1.2840116049793466,4,positivo,inclui_zero
0,13,taxa_omissao,observado,16,16,0,COMPLETO,0.11145833333333333,0.05458488300482741,0.16833178366183923,4,positivo,positivo
0,13,taxa_omissao,pares_completos,16,16,0,COMPLETO,0.11145833333333333,0.05458488300482741,0.16833178366183923,4,positivo,positivo
0,13,divida_latente_sobre_plano,observado,16,16,0,COMPLETO,0.052143614007504106,0.027504586006990364,0.07678264200801785,4,positivo,positivo
0,13,divida_latente_sobre_plano,pares_completos,16,16,0,COMPLETO,0.052143614007504106,0.027504586006990364,0.07678264200801785,4,positivo,positivo
0,13,taxa_falha_efetiva,observado,16,16,0,COMPLETO,-0.0031250000000000028,-0.03144878453293819,0.025198784532938185,4,negativo,inclui_zero
0,13,taxa_falha_efetiva,pares_completos,16,16,0,COMPLETO,-0.0031250000000000028,-0.03144878453293819,0.025198784532938185,4,negativo,inclui_zero
0,13,fracao_porta1,observado,16,16,0,COMPLETO,-0.02291666666666666,-0.06804680038312783,0.022213467049794496,4,negativo,inclui_zero
0,13,fracao_porta1,pares_completos,16,16,0,COMPLETO,-0.02291666666666666,-0.06804680038312783,0.022213467049794496,4,negativo,inclui_zero
0,14,atraso_relativo,observado,16,16,0,COMPLETO,0.6675289188266204,-0.02126139029802354,1.3563192279512641,4,positivo,inclui_zero
