metrica,fator,nivel,n_inst,media,ic95_inf,ic95_sup,N_inst,exclui_zero
taxa_omissao,RS,0.2008,1,-0.2083333333333333,,,1,False
divida_latente_sobre_plano,RS,0.2008,1,-0.05316457469074911,,,1,False
taxa_falha_efetiva,RS,0.2008,1,-0.03750000000000001,,,1,False
fracao_porta1,RS,0.2008,1,-0.07222222222222223,,,1,False
atraso_relativo,RS,0.2023,1,-0.9558823529411765,,,1,False
taxa_omissao,RS,0.2023,1,-0.20833333333333334,,,1,False
divida_latente_sobre_plano,RS,0.2023,1,-0.06791232691549691,,,1,False
taxa_falha_efetiva,RS,0.2023,1,-0.011111111111111134,,,1,False
fracao_porta1,RS,0.2023,1,-0.06111111111111112,,,1,False
atraso_relativo,RS,0.2061,1,-1.3333333333333333,,,1,False
taxa_omissao,RS,0.2061,1,-0.2263888888888889,,,1,False
divida_latente_sobre_plano,RS,0.2061,1,-0.061783445670545646,,,1,False
taxa_falha_efetiva,RS,0.2061,1,0.002777777777777752,,,1,False
fracao_porta1,RS,0.2061,1,-0.0513888888888889,,,1,False
atraso_relativo,RS,0.2091,1,-1.3544600938967137,,,1,False
taxa_omissao,RS,0.2091,1,-0.22222222222222224,,,1,False
divida_latente_sobre_plano,RS,0.2091,1,-0.07377170390526719,,,1,False
taxa_falha_efetiva,RS,0.2091,1,-0.015277777777777758,,,1,False
fracao_porta1,RS,0.2091,1,-0.05416666666666666,,,1,False
atraso_relativo,RS,0.2125,1,-0.8194444444444443,,,1,False
taxa_omissao,RS,0.2125,1,-0.22916666666666666,,,1,False
divida_latente_sobre_plano,RS,0.2125,1,-0.08123153643627878,,,1,False
taxa_falha_efetiva,RS,0.2125,1,-0.04722222222222224,,,1,False
fracao_porta1,RS,0.2125,1,-0.056944444444444464,,,1,False
atraso_relativo,RS,0.5023,1,-1.0022831050228311,,,1,False
taxa_omissao,RS,0.5023,1,-0.26944444444444443,,,1,False
divida_latente_sobre_plano,RS,0.5023,1,-0.1013245272050136,,,1,False
taxa_falha_efetiva,RS,0.5023,1,-0.044444444444444474,,,1,False
fracao_porta1,RS,0.5023,1,-0.05555555555555555,,,1,False
atraso_relativo,RS,0.5027,1,-1.3495370370370372,,,1,False
taxa_omissao,RS,0.5027,1,-0.2763888888888889,,,1,False
divida_latente_sobre_plano,RS,0.5027,1,-0.10623320899032357,,,1,False
taxa_falha_efetiva,RS,0.5027,1,-0.06805555555555556,,,1,False
fracao_porta1,RS,0.5027,1,-0.08333333333333333,,,1,False
atraso_relativo,RS,0.5038,1,-1.1033755274261605,,,1,False
taxa_omissao,RS,0.5038,1,-0.23055555555555554,,,1,False
divida_latente_sobre_plano,RS,0.5038,1,-0.07680416830271704,,,1,False
taxa_falha_efetiva,RS,0.5038,1,-0.05000000000000002,,,1,False
fracao_porta1,RS,0.5038,1,-0.09027777777777779,,,1,False
atraso_relativo,RS,0.5057,1,-0.9066265060240966,,,1,False
taxa_omissao,RS,0.5057,1,-0.21111111111111114,,,1,False
divida_latente_sobre_plano,RS,0.5057,1,-0.059513501947276747,,,1,False
taxa_falha_efetiva,RS,0.5057,1,-0.020833333333333332,,,1,False
fracao_porta1,RS,0.5057,1,-0.14305555555555557,,,1,False
atraso_relativo,RS,0.5061,1,-1.596045197740113,,,1,False
taxa_omissao,RS,0.5061,1,-0.2291666666666667,,,1,False
divida_latente_sobre_plano,RS,0.5061,1,-0.11648851978708506,,,1,False
taxa_falha_efetiva,RS,0.5061,1,-0.0472222222222222,,,1,False
fracao_porta1,RS,0.5061,1,-0.12361111111111112,,,1,False
atraso_relativo,RS,0.5074,2,-0.9619810027418723,-3.448288642242012,1.5243266367582673,2,False
taxa_omissao,RS,0.5074,2,-0.22291666666666665,-0.319977952847745,-0.1258553804855883,2,True
divida_latente_sobre_plano,RS,0.5074,2,-0.06773797579494945,-0.16326558605432362,0.02778963446442473,2,False
taxa_falha_efetiva,RS,0.5074,2,-0.04444444444444444,-0.09738696417957807,0.008498075290689189,2,False
fracao_porta1,RS,0.5074,2,-0.12847222222222224,-0.3137710412951904,0.056826596850745925,2,False
atraso_relativo,RS,0.509,1,-1.1156716417910448,,,1,False
taxa_omissao,RS,0.509,1,-0.24583333333333335,,,1,False
divida_latente_sobre_plano,RS,0.509,1,-0.09205694026052387,,,1,False
taxa_falha_efetiva,RS,0.509,1,-0.06527777777777781,,,1,False
fracao_porta1,RS,0.509,1,-0.09722222222222225,,,1,False
atraso_relativo,RS,0.5096,1,-1.2096354166666667,,,1,False
taxa_omissao,RS,0.5096,1,-0.275,,,1,False
divida_latente_sobre_plano,RS,0.5096,1,-0.11711163232439337,,,1,False
taxa_falha_efetiva,RS,0.5096,1,0.02361111111111111,,,1,False
fracao_porta1,RS,0.5096,1,-0.03749999999999998,,,1,False
