metrica,media_dentro,ic95_inf_dentro,ic95_sup_dentro,N_inst_dentro,media_fora,ic95_inf_fora,ic95_sup_fora,N_inst_fora,mesmo_sinal,exclui_zero_fora,sobrepoe
atraso_relativo,-1.023421033555509,-1.1138695579329883,-0.9329725091780297,16,-1.1386730824332398,-1.2086426202161504,-1.0687035446503292,48,True,True,True
taxa_omissao,-0.22821180555555554,-0.24283913027240436,-0.2135844808387067,16,-0.22528935185185187,-0.23320969259814386,-0.21736901110555987,48,True,True,True
divida_latente_sobre_plano,-0.07781457642052281,-0.08620066729702622,-0.0694284855440194,16,-0.08155447021322083,-0.08651033694587022,-0.07659860348057144,48,True,True,True
taxa_falha_efetiva,-0.043055555555555555,-0.05684316653959242,-0.02926794457151869,16,-0.03703703703703704,-0.04463464044750394,-0.029439433626570147,48,True,True,True
fracao_porta1,-0.11649305555555556,-0.13660540098370882,-0.09638071012740229,16,-0.0966724537037037,-0.1092165523012376,-0.0841283551061698,48,True,True,True
