lei,cenario,TW,TL,TU,TR,E_total
crowder_eq3,adaptativa,433.015625,10.319579311816858,49.520833333333336,80.13663180837382,0.7586862062333132
crowder_eq3,centralizada,564.6458333333334,0.0,140.78125,98.57459165903293,0.7067130346128633
unitario,adaptativa,433.015625,102.859375,49.520833333333336,80.13663180837382,0.6558684628165047
unitario,centralizada,564.6458333333334,0.0,140.78125,98.57459165903293,0.7067130346128633
