lei,arquivo,cenario,E_total,TW,TL,TU,TR
crowder_eq3,j6010_1.sm,adaptativa,0.775550647583195,395.3333333333333,9.697877324171737,47.0,59.22217654572771
crowder_eq3,j6010_1.sm,centralizada,0.7120289707053078,523.1666666666666,0.0,130.66666666666666,84.99032250030008
crowder_eq3,j6013_1.sm,adaptativa,0.7589098092909295,440.4166666666667,6.69598606339035,22.666666666666668,112.24120492262307
crowder_eq3,j6013_1.sm,centralizada,0.7359802848828073,563.6666666666666,0.0,86.5,119.48157971848174
crowder_eq3,j6016_1.sm,adaptativa,0.7352751610962401,510.0833333333333,10.348885690078665,54.583333333333336,120.50701501122315
crowder_eq3,j6016_1.sm,centralizada,0.6886364006316391,649.0,0.0,154.91666666666666,142.29307034822452
crowder_eq3,j6019_1.sm,adaptativa,0.7668933021128046,456.75,7.92511798309341,41.75,90.86114243937767
crowder_eq3,j6019_1.sm,centralizada,0.7340318870895791,578.3333333333334,0.0,116.41666666666667,97.01685994025983
crowder_eq3,j6021_1.sm,adaptativa,0.7845086641042581,414.5,7.235804803216319,27.5,79.96366305614859
crowder_eq3,j6021_1.sm,centralizada,0.7439757691497498,539.25,0.0,93.75,96.56339408828326
crowder_eq3,j6024_1.sm,adaptativa,0.7715584083681986,345.9166666666667,9.836428778707567,49.833333333333336,44.58364527365445
crowder_eq3,j6024_1.sm,centralizada,0.7065729460263448,466.6666666666667,0.0,132.5,66.8805088125618
crowder_eq3,j6027_1.sm,adaptativa,0.7563960924812984,404.3333333333333,13.00720181384404,54.25,65.99319142424885
crowder_eq3,j6027_1.sm,centralizada,0.6926489978310494,535.4166666666666,0.0,160.25,83.69939581546005
crowder_eq3,j602_1.sm,adaptativa,0.7581633334216494,429.6666666666667,8.585175963798974,47.916666666666664,81.64008227516884
crowder_eq3,j602_1.sm,centralizada,0.7112680175665468,556.75,0.0,128.83333333333334,100.45506670498185
crowder_eq3,j6032_1.sm,adaptativa,0.7562243777583199,444.75,10.316443352436798,61.083333333333336,72.66748587995322
crowder_eq3,j6032_1.sm,centralizada,0.714559515840412,574.1666666666666,0.0,142.75,89.05179348504942
crowder_eq3,j6035_1.sm,adaptativa,0.7509584933422307,448.0,10.970127658359168,55.5,83.57486873617755
crowder_eq3,j6035_1.sm,centralizada,0.7077712713949923,595.0833333333334,0.0,150.0,99.13830510480521
crowder_eq3,j6038_1.sm,adaptativa,0.776673765838749,441.5833333333333,8.913123818782765,44.166666666666664,76.22985126467456
crowder_eq3,j6038_1.sm,centralizada,0.7394062589069471,577.8333333333334,0.0,120.08333333333333,90.6196501688093
crowder_eq3,j6040_1.sm,adaptativa,0.7499409302329055,463.8333333333333,12.907378158222032,63.5,79.14350857689296
crowder_eq3,j6040_1.sm,centralizada,0.6918857528675012,620.9166666666666,0.0,165.75,115.88480563789
crowder_eq3,j6043_1.sm,adaptativa,0.7452353245775628,384.5,15.78727469644874,55.75,60.691952380389175
crowder_eq3,j6043_1.sm,centralizada,0.6632767117040815,506.4166666666667,0.0,194.5,71.86540254893023
crowder_eq3,j6046_1.sm,adaptativa,0.7266116377240976,389.8333333333333,12.509844417454074,49.583333333333336,86.55637474174877
crowder_eq3,j6046_1.sm,centralizada,0.6610429241444943,517.1666666666666,0.0,164.75,102.09226868525718
crowder_eq3,j604_1.sm,adaptativa,0.7465352140707769,508.0833333333333,11.247899163678278,65.75,98.94383862491198
crowder_eq3,j604_1.sm,centralizada,0.7015115020625678,656.5,0.0,157.5,124.3200967391686
crowder_eq3,j607_1.sm,adaptativa,0.7795441377297939,450.6666666666667,9.128699303386798,51.5,69.36610778106058
crowder_eq3,j607_1.sm,centralizada,0.7028113430017914,574.0,0.0,153.33333333333334,92.84094624606398
unitario,j6010_1.sm,adaptativa,0.6667239964619455,395.3333333333333,95.66666666666667,47.0,59.22217654572771
unitario,j6010_1.sm,centralizada,0.7120289707053078,523.1666666666666,0.0,130.66666666666666,84.99032250030008
unitario,j6013_1.sm,adaptativa,0.6838114114692693,440.4166666666667,73.83333333333333,22.666666666666668,112.24120492262307
unitario,j6013_1.sm,centralizada,0.7359802848828073,563.6666666666666,0.0,86.5,119.48157971848174
unitario,j6016_1.sm,adaptativa,0.6530046239935715,510.0833333333333,99.91666666666667,54.583333333333336,120.50701501122315
unitario,j6016_1.sm,centralizada,0.6886364006316391,649.0,0.0,154.91666666666666,142.29307034822452
unitario,j6019_1.sm,adaptativa,0.6878334005306526,456.75,77.66666666666667,41.75,90.86114243937767
unitario,j6019_1.sm,centralizada,0.7340318870895791,578.3333333333334,0.0,116.41666666666667,97.01685994025983
unitario,j6021_1.sm,adaptativa,0.6974161031183249,414.5,77.66666666666667,27.5,79.96366305614859
unitario,j6021_1.sm,centralizada,0.7439757691497498,539.25,0.0,93.75,96.56339408828326
unitario,j6024_1.sm,adaptativa,0.6527983637175203,345.9166666666667,95.75,49.833333333333336,44.58364527365445
unitario,j6024_1.sm,centralizada,0.7065729460263448,466.6666666666667,0.0,132.5,66.8805088125618
unitario,j6027_1.sm,adaptativa,0.6191902607582026,404.3333333333333,136.83333333333334,54.25,65.99319142424885
unitario,j6027_1.sm,centralizada,0.6926489978310494,535.4166666666666,0.0,160.25,83.69939581546005
unitario,j602_1.sm,adaptativa,0.6731234626032783,429.6666666666667,82.33333333333333,47.916666666666664,81.64008227516884
unitario,j602_1.sm,centralizada,0.7112680175665468,556.75,0.0,128.83333333333334,100.45506670498185
unitario,j6032_1.sm,adaptativa,0.6658044934641465,444.75,94.25,61.083333333333336,72.66748587995322
unitario,j6032_1.sm,centralizada,0.714559515840412,574.1666666666666,0.0,142.75,89.05179348504942
unitario,j6035_1.sm,adaptativa,0.645424379339762,448.0,109.75,55.5,83.57486873617755
unitario,j6035_1.sm,centralizada,0.7077712713949923,595.0833333333334,0.0,150.0,99.13830510480521
unitario,j6038_1.sm,adaptativa,0.6843797703913964,441.5833333333333,89.33333333333333,44.166666666666664,76.22985126467456
unitario,j6038_1.sm,centralizada,0.7394062589069471,577.8333333333334,0.0,120.08333333333333,90.6196501688093
unitario,j6040_1.sm,adaptativa,0.6356336683696916,463.8333333333333,125.58333333333333,63.5,79.14350857689296
unitario,j6040_1.sm,centralizada,0.6918857528675012,620.9166666666666,0.0,165.75,115.88480563789
unitario,j6043_1.sm,adaptativa,0.5803826838968983,384.5,167.75,55.75,60.691952380389175
unitario,j6043_1.sm,centralizada,0.6632767117040815,506.4166666666667,0.0,194.5,71.86540254893023
unitario,j6046_1.sm,adaptativa,0.5960204943754671,389.8333333333333,131.33333333333334,49.583333333333336,86.55637474174877
unitario,j6046_1.sm,centralizada,0.6610429241444943,517.1666666666666,0.0,164.75,102.09226868525718
unitario,j604_1.sm,adaptativa,0.6585063971871727,508.0833333333333,104.16666666666667,65.75,98.94383862491198
unitario,j604_1.sm,centralizada,0.7015115020625678,656.5,0.0,157.5,124.3200967391686
unitario,j607_1.sm,adaptativa,0.6938418953867757,450.6666666666667,83.91666666666667,51.5,69.36610778106058
unitario,j607_1.sm,centralizada,0.7028113430017914,574.0,0.0,153.33333333333334,92.84094624606398
