configuracao,cenario,TW,TL,TU,TR,E_total,degrau
legado,adaptativa,547.1927083333334,10.489583333333334,5.942708333333333,52.508906312877905,0.8885319344131773,0
legado,centralizada,696.796875,0.0,126.265625,68.86531966000787,0.7839008771073722,0
controle_motor,adaptativa,547.1927083333334,10.489583333333334,5.942708333333333,52.508906312877905,0.8885319344131773,1
controle_motor,centralizada,696.796875,0.0,126.265625,68.86531966000787,0.7839008771073722,1
C4_tempo_apenas,adaptativa,492.5625,10.776041666666666,5.911458333333333,49.05746488425327,0.8825784118721476,2
C4_tempo_apenas,centralizada,554.4739583333334,0.0,143.57291666666666,64.02010224312524,0.7318196434857359,2
C4_completo,adaptativa,492.296875,10.78125,5.859375,64.60433960669164,0.859688410847692,3
C4_completo,centralizada,554.796875,0.0,144.53645833333334,95.91101548106185,0.7026171576539576,3
C4_C1,adaptativa,500.921875,10.854166666666666,6.817708333333333,68.76327337379747,0.8546109448727867,4
C4_C1,centralizada,564.6458333333334,0.0,140.78125,98.57459165903293,0.7067130346128633,4
C4_C1_comunicacao,adaptativa,490.7552083333333,41.71875,17.869791666666668,73.16486393842389,0.7886944404037828,5
C4_C1_comunicacao,centralizada,564.6458333333334,0.0,140.78125,98.57459165903293,0.7067130346128633,5
C4_C1_Crowder,adaptativa,452.6302083333333,43.473958333333336,18.4375,68.65672880759318,0.7773500125319418,6
C4_C1_Crowder,centralizada,564.6458333333334,0.0,140.78125,98.57459165903293,0.7067130346128633,6
C4_C1_Crowder_C6,adaptativa,433.015625,102.859375,49.520833333333336,80.13663180837382,0.6558684628165047,7
C4_C1_Crowder_C6,centralizada,564.6458333333334,0.0,140.78125,98.57459165903293,0.7067130346128633,7
MVP_corrigido,adaptativa,433.015625,102.859375,49.520833333333336,80.13663180837382,0.6558684628165047,8
MVP_corrigido,centralizada,564.6458333333334,0.0,140.78125,98.57459165903293,0.7067130346128633,8
MVP_corrigido_Di_yaml,adaptativa,433.1041666666667,102.61458333333333,49.5,80.26031249401613,0.6560545098663625,9
MVP_corrigido_Di_yaml,centralizada,564.6510416666666,0.0,140.78125,98.60751479756063,0.7066815410221704,9
