lei,centralizada,adaptativa,media,ic95_inf,ic95_sup,n_instancias
unitario,0.7067130346128632,0.6558684628165047,-0.05084457179635853,-0.05977342717986634,-0.041915716412850725,16
crowder_eq3,0.7067130346128632,0.7586862062333131,0.051973171620449905,0.043252847572020026,0.060693495668879785,16
