distribuicao,erros,publicado,calculado,delta,passou
binomial,0,62.33,62.329642841623055,-0.00035715837694283437,True
binomial,1,25.82,25.820198696717892,0.0001986967178915222,True
binomial,2,5.134,5.134116971717007,0.000116971717006642,True
binomial,3,0.652,0.6522247476184153,0.00022474761841528856,True
binomial,4,0.059,0.05944083422180637,0.00044083422180637294,True
binomial,5,0.004,0.004136748511563346,0.00013674851156334628,True
binomial,6,0.0,0.00022848768506144332,0.00022848768506144332,True
binomial,7,0.0,1.0276454212743285e-05,1.0276454212743285e-05,True
binomial,8,0.0,3.831340431557995e-07,3.831340431557995e-07,True
beta_binomial,0,67.475,67.51923333082462,0.04423333082462477,False
beta_binomial,1,18.334,18.31248637173426,-0.021513628265740437,False
beta_binomial,2,5.639,5.626435332256443,-0.012564667743557578,False
beta_binomial,3,1.765,1.759777279901495,-0.005222720098504885,False
beta_binomial,4,0.549,0.5463191197852987,-0.0026808802147013644,False
beta_binomial,5,0.167,0.1665191222162946,-0.0004808777837053968,True
beta_binomial,6,0.05,0.04951096282763701,-0.0004890371723629897,True
beta_binomial,7,0.014,0.014291927867549133,0.00029192786754913234,True
beta_binomial,8,0.0,0.003989000133932151,0.003989000133932151,False
p_dependente,0,66.416,66.45758428586795,0.04158428586795537,False
p_dependente,1,19.719,19.700936716962143,-0.018063283037857758,False
p_dependente,2,5.69,5.675635605708112,-0.014364394291888516,False
p_dependente,3,1.593,1.5865012078296516,-0.006498792170348322,False
p_dependente,4,0.432,0.4295485013367282,-0.0024514986632718228,False
p_dependente,5,0.113,0.11243535266983216,-0.000564647330167839,False
p_dependente,6,0.029,0.028392239406262763,-0.0006077605937372388,False
p_dependente,7,0.007,0.006900658028993433,-9.9341971006567e-05,True
p_dependente,8,0.002,0.0016100817850183888,-0.00038991821498161124,True
