origem,p,binomial_zero,p_dependente_zero
p_literal,0.0163,62.329642841623055,66.45758428586795
fracao_tabela1,0.01633003867640739,62.28207716986236,66.41483673197064
media_erros_sobre_n,0.016332,62.27897266353814,66.41204652235409
