metrica,sentido,braco,media_referencia_centralizada,media_braco,efeito_total_adaptativa,fracao_do_efeito_total_pct,dif_absoluta,dif_relativa_pct,p_valor,d_cohen_pareado,prop_instancias_com_dif,n_instancias
atraso_relativo,menor e melhor,centralizada,3.134532505799728,3.134532505799728,-1.1353992113688003,-0.0,0.0,0.0,,,0.0,16
atraso_relativo,menor e melhor,adaptativa,3.134532505799728,1.9991332944309277,-1.1353992113688003,100.0,-1.1353992113688003,-36.222282246810536,3.0517578125e-05,-5.54647837551483,1.0,16
atraso_relativo,menor e melhor,so_tau_inicial,3.134532505799728,2.537769388086084,-1.1353992113688003,52.55976151279914,-0.5967631177136437,-19.0383451634166,3.0517578125e-05,-2.855828554614112,1.0,16
atraso_relativo,menor e melhor,so_tau_min,3.134532505799728,3.134532505799728,-1.1353992113688003,-0.0,0.0,0.0,,,0.0,16
atraso_relativo,menor e melhor,so_p_reporte,3.134532505799728,2.818332652555906,-1.1353992113688003,27.84922255341554,-0.3161998532438221,-10.087623996840593,3.0517578125e-05,-1.9303825615015322,1.0,16
atraso_relativo,menor e melhor,so_p_deteccao,3.134532505799728,2.6980200805671872,-1.1353992113688003,38.445722073938725,-0.4365124252325411,-13.925917961446427,3.0517578125e-05,-2.895007702714042,1.0,16
atraso_relativo,menor e melhor,so_par_tau,3.134532505799728,2.537769388086084,-1.1353992113688003,52.55976151279914,-0.5967631177136437,-19.0383451634166,3.0517578125e-05,-2.855828554614112,1.0,16
atraso_relativo,menor e melhor,sem_par_tau,3.134532505799728,2.678779413701146,-1.1353992113688003,40.14033896933407,-0.45575309209858217,-14.539746876298665,3.0517578125e-05,-2.944959227714318,1.0,16
E_total,maior e melhor,centralizada,0.7839008771073722,0.7839008771073722,0.10463105730580514,0.0,0.0,0.0,,,0.0,16
E_total,maior e melhor,adaptativa,0.7839008771073722,0.8885319344131772,0.10463105730580514,100.0,0.10463105730580514,13.347485678533518,3.0517578125e-05,3.7524440453758268,1.0,16
