cenario,0.2,0.4,0.6,0.8,1.0,amplitude,razao_vs_centralizada
centralizada,0.19999999999999993,0.3468719683724948,0.49525230816256266,0.6405495825973168,0.7955922582600744,0.5955922582600744,1.0
adaptativa,0.19999999999999993,0.2658127271023262,0.3463134572294212,0.436126699163409,0.539907177500562,0.3399071775005621,0.5707044925223599
