celula,arquivo,semente,A,B,C,D,atraso_relativo,E_total,TW,TL,TU,TR,n_com_erro,taxa_omissao,S_UR_maximo,retrabalho_sobre_plano,divida_latente_sobre_plano,p2_ajuda
0000,j6010_1.sm,0,0,0,0,0,2.5176470588235293,0.7928507567632851,663.0,0.0,118.0,55.22295160140271,9,0.15,25.900005370714545,0.1709688904068195,0.0801857751415311,0
0000,j6010_1.sm,1,0,0,0,0,2.764705882352941,0.7912961500915328,565.0,0.0,91.0,58.018386080412405,10,0.1666666666666666,27.597251091721034,0.1796234863170662,0.0854404058567214,0
0000,j6010_1.sm,2,0,0,0,0,4.1647058823529415,0.7981596141656981,654.0,0.0,97.0,68.38498063900967,13,0.2166666666666666,33.34530908477753,0.2117182063127234,0.1032362510364629,0
0000,j6010_1.sm,3,0,0,0,0,2.2823529411764705,0.7840002016739748,602.0,0.0,122.0,43.85694533576248,7,0.1166666666666666,12.6715267544996,0.1357800165193884,0.0392307329860668,0
0000,j6010_1.sm,4,0,0,0,0,2.8705882352941177,0.7494349965596603,620.0,0.0,103.0,104.2898955161666,18,0.3,27.79857291322944,0.3228789334865838,0.0860636932298125,0
0000,j6010_1.sm,5,0,0,0,0,2.4352941176470586,0.7799547378210466,583.0,0.0,94.0,70.47927248794271,19,0.3166666666666666,19.533007124238733,0.2182020820060145,0.0604737062669929,0
0000,j6010_1.sm,6,0,0,0,0,2.247058823529412,0.8262657232208831,610.0,0.0,79.0,49.26129156386479,8,0.1333333333333333,22.329163572337063,0.1525117385878167,0.0691305373756565,0
0000,j6010_1.sm,7,0,0,0,0,2.7058823529411766,0.7525106970268436,636.0,0.0,167.0,42.17070988203179,10,0.1666666666666666,15.401290633750923,0.1305594733189838,0.047682014345978,0
0000,j6010_1.sm,8,0,0,0,0,2.2588235294117647,0.6872947945865095,649.0,0.0,220.0,75.28184981446209,9,0.15,22.64493484730145,0.2330707424596349,0.0701081574219859,0
0000,j6010_1.sm,9,0,0,0,0,2.670588235294117,0.8484306750700897,608.0,0.0,59.0,49.61718259983056,10,0.1666666666666666,21.921646589316737,0.153613568420528,0.0678688748895255,0
0000,j6010_1.sm,10,0,0,0,0,2.5058823529411764,0.7097652382341401,661.0,0.0,188.0,82.29384815257293,15,0.25,25.060154096069223,0.2547797156426407,0.0775856163964991,0
0000,j6010_1.sm,11,0,0,0,0,2.4705882352941178,0.7826528377443965,588.0,0.0,107.0,56.29095768005445,12,0.2,20.01346466576012,0.1742754107741623,0.061961190915666,0
0000,j6013_1.sm,0,0,0,0,0,4.739130434782608,0.8367978581320425,700.0,0.0,95.0,41.52221763878311,9,0.15,13.98693738782737,0.1221241695258326,0.0411380511406687,0
0000,j6013_1.sm,1,0,0,0,0,5.318840579710145,0.8546299955535999,714.0,0.0,62.0,59.44926309015797,14,0.2333333333333333,17.804946045020635,0.1748507737945822,0.0523674883677077,0
0000,j6013_1.sm,2,0,0,0,0,4.956521739130435,0.8589681365010834,686.0,0.0,21.0,91.63265102515804,18,0.3,25.758534672274287,0.2695077971328177,0.0757603960949243,0
0000,j6013_1.sm,3,0,0,0,0,4.27536231884058,0.7902832456521172,694.0,0.0,114.0,70.16615601831822,10,0.1666666666666666,10.78699510543891,0.2063710471127006,0.0317264561924673,0
0000,j6013_1.sm,4,0,0,0,0,4.217391304347826,0.8025105545418701,662.0,0.0,93.0,69.91126908345332,13,0.2166666666666666,14.61554958198457,0.2056213796572156,0.0429869105352487,0
0000,j6013_1.sm,5,0,0,0,0,5.2898550724637685,0.7888548105513925,718.0,0.0,80.0,112.18016293534863,17,0.2833333333333333,24.084392117397712,0.3299416556922019,0.0708364474041109,0
0000,j6013_1.sm,6,0,0,0,0,4.130434782608695,0.8800759560597662,720.0,0.0,15.0,83.11120397329051,14,0.2333333333333333,26.704174099995427,0.2444447175685015,0.0785416885293983,0
0000,j6013_1.sm,7,0,0,0,0,4.217391304347826,0.7793112109722334,697.0,0.0,82.0,115.37953693807935,15,0.25,37.561345658980855,0.3393515792296451,0.110474546055826,0
0000,j6013_1.sm,8,0,0,0,0,4.449275362318841,0.69962321860581,681.0,0.0,214.0,78.3810741116886,11,0.1833333333333333,24.496847276542105,0.2305325709167311,0.0720495508133591,0
0000,j6013_1.sm,9,0,0,0,0,5.0,0.7817526329655623,676.0,0.0,97.0,91.72366256779732,16,0.2666666666666666,45.69470805292978,0.2697754781405804,0.1343962001556758,0
0000,j6013_1.sm,10,0,0,0,0,4.507246376811594,0.7477816277080737,723.0,0.0,141.0,102.8598066737364,17,0.2833333333333333,29.080958905088472,0.3025288431580482,0.0855322320737896,0
0000,j6013_1.sm,11,0,0,0,0,4.057971014492754,0.9071512879322808,684.0,0.0,21.0,49.00874043741745,11,0.1833333333333333,12.602190315790253,0.1441433542276984,0.0370652656346772,0
0000,j6016_1.sm,0,0,0,0,0,2.921875,0.8570078912735247,849.0,0.0,104.0,37.65598887120528,10,0.1666666666666666,19.021282467351163,0.1031670927978226,0.0521131026502771,0
0000,j6016_1.sm,1,0,0,0,0,4.265625,0.8069087217938585,810.0,0.0,92.0,101.83101349960522,12,0.2,25.592287742913676,0.2789890780811102,0.0701158568299004,0
0000,j6016_1.sm,2,0,0,0,0,2.84375,0.8394357995830629,819.0,0.0,99.0,57.65531563794024,10,0.1666666666666666,30.282088146959385,0.1579597688710691,0.0829646250601627,0
0000,j6016_1.sm,3,0,0,0,0,3.4375,0.7969262223548871,818.0,0.0,141.0,67.44382510446287,12,0.2,32.07816598926507,0.1847776030259257,0.087885386271959,0
