etapa,arquivo,cenario,P_max,semente,P_realizada_media,mu_cog_medio,defeitos_gerados,S_UR_maximo,fracao_heuristica
confirmatorio,j6010_1.sm,centralizada,0.2,1045,0.2,0.987196328130188,12,15.0,0.485838779956427
confirmatorio,j6010_1.sm,centralizada,0.2,1046,0.1999999999999999,0.9821709276366342,14,17.5,0.4229934924078091
confirmatorio,j6010_1.sm,centralizada,0.2,1047,0.1999999999999999,0.973422915858992,11,13.5,0.3933054393305439
confirmatorio,j6010_1.sm,centralizada,0.2,1048,0.2,0.9733239132493972,12,14.0,0.2587991718426501
confirmatorio,j6010_1.sm,centralizada,0.2,1049,0.2,0.9827330851368824,11,11.5,0.3582089552238806
confirmatorio,j6010_1.sm,centralizada,0.2,1050,0.1999999999999999,0.9786000289268652,14,12.5,0.2648305084745763
confirmatorio,j6010_1.sm,centralizada,0.2,1051,0.1999999999999999,0.9524657242800026,20,22.85481202949346,0.3232323232323232
confirmatorio,j6010_1.sm,centralizada,0.2,1052,0.1999999999999999,0.9903657449473956,12,12.0,0.462719298245614
confirmatorio,j6010_1.sm,centralizada,0.2,1053,0.1999999999999999,0.9855739614300628,11,13.0,0.3679653679653679
confirmatorio,j6010_1.sm,centralizada,0.2,1054,0.1999999999999999,0.9596503013540508,8,11.685860299845544,0.4174950298210735
confirmatorio,j6010_1.sm,centralizada,0.2,1055,0.2,0.9712863976892528,9,7.5,0.1469979296066252
confirmatorio,j6010_1.sm,centralizada,0.2,1056,0.1999999999999999,0.9685326789372768,13,6.5,0.2809917355371901
confirmatorio,j6010_1.sm,centralizada,0.2,1057,0.2,0.9860380930166998,16,9.0,0.543046357615894
confirmatorio,j6010_1.sm,centralizada,0.2,1058,0.1999999999999999,0.9690989016713656,11,9.0,0.267223382045929
confirmatorio,j6010_1.sm,centralizada,0.2,1059,0.2,0.9599723568420008,19,13.5273109261843,0.367063492063492
confirmatorio,j6010_1.sm,centralizada,0.2,1060,0.1999999999999999,0.9880818330394768,15,22.5,0.3790849673202614
confirmatorio,j6010_1.sm,centralizada,0.2,1061,0.1999999999999999,0.983566329515494,13,12.0,0.2725321888412017
confirmatorio,j6010_1.sm,centralizada,0.2,1062,0.1999999999999999,0.9614271031626505,17,27.0,0.4291581108829568
confirmatorio,j6010_1.sm,centralizada,0.2,1063,0.1999999999999999,0.984440870276552,13,16.0,0.3771551724137931
