metrica,media_centralizada,media_adaptativa,variacao_percentual,d_semente,d_instancia,favoraveis_semente,favoraveis_instancia,p_semente,p_instancia,n_semente,n_instancia
n_com_erro,13.020833333333332,3.8229166666666665,-70.64,-2.3995247996511235,-7.815444732066754,0.9791666666666666,1.0,9.231481494112706e-33,0.00043680902321148305,192,16
taxa_omissao,0.21701388888888884,0.06371527777777775,-70.64,-2.399524799651124,-7.815444732066755,0.9791666666666666,1.0,1.0243422677688389e-32,3.0517578125e-05,192,16
divida_latente_sobre_plano,0.07412735814984966,0.020144458403516783,-72.8245294230041,-2.0457224643090894,-6.725609296516638,0.984375,1.0,3.7822927526820494e-33,3.0517578125e-05,192,16
atraso_relativo,3.134532505799728,1.9991332944309277,-36.222282246810536,-1.9879109374656825,-5.54647837551483,1.0,1.0,2.9429521885415853e-33,3.0517578125e-05,192,16
E_total,0.7839008771073722,0.8885319344131772,13.347485678533502,1.9009181702780897,3.7524440453758268,0.9739583333333334,1.0,2.2661370697308586e-32,3.0517578125e-05,192,16
retrabalho_sobre_plano,0.20309877307027008,0.15446817485451853,-23.94430920512054,-0.7286834054941885,-3.0736131015502792,0.7708333333333334,1.0,2.3829502485717224e-17,3.0517578125e-05,192,16
retrabalho_sobre_esforco_realizado,0.0770044237565273,0.0846140173868061,9.882021394431602,0.28762445241289303,1.2846685517413916,0.3958333333333333,0.0625,0.00023957421093292786,9.1552734375e-05,192,16
