cenario,tipo,grandeza,media_A_nominal,media_B_tcc1,dif_absoluta,dif_relativa_pct,p_valor,d_cohen_pareado,n_instancias
centralizada,contador,p2_ajuda,0.0,0.0,0.0,,,,
centralizada,contador,p2_bloqueio,126.265625,126.265625,0.0,0.0,,,
centralizada,contador,hiato_encontrado,126.265625,126.265625,0.0,0.0,,,
centralizada,contador,hiato_sem_colega_capaz,44.84375,11.385416666666666,-33.458333333333336,-74.61091753774681,,,
centralizada,contador,hiato_sem_colega_livre,11.385416666666666,11.385416666666666,0.0,0.0,,,
centralizada,contador,hiato_colega_capaz_sem_confianca,81.421875,114.88020833333333,33.45833333333333,41.092560608968206,,,
centralizada,contador,p1_omissao,38.640625,38.640625,0.0,0.0,,,
centralizada,contador,p3_analitica,21.359375,21.359375,0.0,0.0,,,
centralizada,metrica,atraso_relativo,3.134532505799728,3.134532505799728,0.0,0.0,,,16.0
centralizada,metrica,E_total,0.7839008771073722,0.7839008771073722,0.0,0.0,,,16.0
centralizada,metrica,TL,0.0,0.0,0.0,,,,16.0
centralizada,metrica,TU,126.265625,126.265625,0.0,0.0,,,16.0
centralizada,metrica,TR,68.86531966000788,68.86531966000788,0.0,0.0,,,16.0
centralizada,metrica,TW,696.796875,696.796875,0.0,0.0,,,16.0
centralizada,metrica,n_com_erro,13.020833333333332,13.020833333333332,0.0,0.0,,,16.0
centralizada,metrica,taxa_omissao,0.21701388888888884,0.21701388888888884,0.0,0.0,,,16.0
centralizada,metrica,retrabalho_sobre_plano,0.20309877307027008,0.20309877307027008,0.0,0.0,,,16.0
centralizada,metrica,divida_latente_sobre_plano,0.07412735814984966,0.07412735814984966,0.0,0.0,,,16.0
centralizada,metrica,S_UR_maximo,25.112262752683552,25.112262752683552,0.0,0.0,,,16.0
adaptativa,contador,p2_ajuda,10.489583333333334,10.21875,-0.2708333333333339,-2.581926514399211,,,
adaptativa,contador,p2_bloqueio,5.942708333333333,6.890625,0.947916666666667,15.950920245398779,,,
adaptativa,contador,hiato_encontrado,16.432291666666668,17.109375,0.6770833333333321,4.120443740095079,,,
adaptativa,contador,hiato_sem_colega_capaz,5.942708333333333,6.890625,0.947916666666667,15.950920245398779,,,
adaptativa,contador,hiato_sem_colega_livre,1.9479166666666667,6.890625,4.942708333333333,253.74331550802137,,,
adaptativa,contador,hiato_colega_capaz_sem_confianca,0.0,0.0,0.0,,,,
adaptativa,contador,p1_omissao,19.166666666666668,19.90625,0.7395833333333321,3.8586956521739064,,,
adaptativa,contador,p3_analitica,40.833333333333336,40.09375,-0.7395833333333357,-1.811224489795924,,,
adaptativa,metrica,atraso_relativo,1.9991332944309277,1.9977071271123883,-0.0014261673185393675,-0.07133928100303785,0.860260009765625,-0.030528661846866527,16.0
adaptativa,metrica,E_total,0.8885319344131772,0.8879332948784538,-0.0005986395347234857,-0.06737400328991572,0.93988037109375,-0.049421652839399116,16.0
adaptativa,metrica,TL,10.489583333333334,10.21875,-0.27083333333333354,-2.5819265143992074,0.3457785861511603,-0.3644255086887692,16.0
adaptativa,metrica,TU,5.942708333333333,6.890625,0.9479166666666669,15.950920245398777,0.8202088262254849,0.17381544048989175,16.0
adaptativa,metrica,TR,52.50890631287791,52.97290020386275,0.4639938909848422,0.8836479819634842,0.781951904296875,0.09028493879267462,16.0
adaptativa,metrica,TW,547.1927083333333,551.28125,4.088541666666661,0.7471849687324497,0.004180908203125,0.8505112015154561,16.0
adaptativa,metrica,n_com_erro,3.8229166666666665,3.734375,-0.08854166666666669,-2.3160762942779294,0.81530405947669,-0.13755558082784816,16.0
adaptativa,metrica,taxa_omissao,0.06371527777777775,0.0622395833333333,-0.0014756944444444457,-2.316076294277932,0.7561715028057225,-0.13755558082784822,16.0
adaptativa,metrica,retrabalho_sobre_plano,0.15446817485451853,0.15614249649207024,0.0016743216375517088,1.083926601145266,0.743560791015625,0.1088619271115047,16.0
adaptativa,metrica,divida_latente_sobre_plano,0.020144458403516783,0.0204872224343749,0.0003427640308581166,1.7015301379275478,0.705718994140625,0.1099984034425906,16.0
adaptativa,metrica,S_UR_maximo,6.82348248352241,6.931529921718685,0.10804743819627532,1.5834647257788401,0.743560791015625,0.1014345813433234,16.0
