F_ancora,mediana_retrabalho_sobre_plano,criterio_9a_aprova,n_execucoes
0.05,0.07496141968847345,True,16
0.1,0.17520082080815602,True,16
0.15,0.21805221704078576,True,16
0.2,0.29223181787638425,True,16
0.25,0.36324206901584094,True,16
