metrica,sentido,configuracao,media_centralizada,media_adaptativa,efeito_nominal_absoluto,efeito_restante_pct_do_nominal,dif_absoluta,dif_relativa_pct,p_valor,d_cohen_pareado,prop_instancias_com_dif,n_instancias,veredito
atraso_relativo,menor e melhor,nominal,3.134532505799728,1.9991332944309277,-1.1353992113688003,100.0,-1.1353992113688003,-36.222282246810536,3.0517578125e-05,-5.54647837551483,1.0,16,
atraso_relativo,menor e melhor,sem_assistencia,3.134532505799728,2.310500483906922,-1.1353992113688003,72.57641309257032,-0.8240320218928062,-26.288833195001978,3.0517578125e-05,-4.425153462568245,1.0,16,DIMINUI (resta 73%)
atraso_relativo,menor e melhor,assistencia_universal,2.859956405630625,1.9991332944309277,-1.1353992113688003,75.81677903069154,-0.8608231111996976,-30.099168977013996,3.0517578125e-05,-4.152729922486257,1.0,16,DIMINUI (resta 76%)
E_total,maior e melhor,nominal,0.7839008771073722,0.8885319344131772,0.10463105730580514,100.0,0.10463105730580514,13.347485678533518,3.0517578125e-05,3.7524440453758268,1.0,16,
E_total,maior e melhor,sem_assistencia,0.7839008771073722,0.7361670892273,0.10463105730580514,-45.62105087073784,-0.04773378788007222,-6.089263231368224,3.0517578125e-05,-2.986247677285355,1.0,16,INVERTE
E_total,maior e melhor,assistencia_universal,0.8979906437722661,0.8885319344131772,0.10463105730580514,-9.040059044270023,-0.009458709359088789,-1.053319366374997,0.000579833984375,-1.1594997284711175,1.0,16,INVERTE
TL,informativa,nominal,0.0,10.489583333333334,10.489583333333334,100.00000000000001,10.489583333333334,,0.00043680902321148305,6.443840540614198,1.0,16,
TL,informativa,sem_assistencia,0.0,0.0,10.489583333333334,0.0,0.0,0.0,,,0.0,16,DESAPARECE (< 5% do nominal)
TL,informativa,assistencia_universal,9.973958333333332,10.489583333333334,10.489583333333334,4.915590863952334,0.515625,5.169712793733682,0.006968145590365646,0.7994971245563759,0.9375,16,DESAPARECE (< 5% do nominal)
TU,menor e melhor,nominal,126.265625,5.942708333333333,-120.32291666666666,100.0,-120.32291666666666,-95.29348677968898,3.0517578125e-05,-4.4932606136434945,1.0,16,
TU,menor e melhor,sem_assistencia,126.265625,145.19791666666669,-120.32291666666666,-15.734568435633284,18.93229166666667,14.994018892051319,9.1552734375e-05,1.2295390094114875,1.0,16,INVERTE
TU,menor e melhor,assistencia_universal,6.447916666666666,5.942708333333333,-120.32291666666666,0.41987706692061294,-0.5052083333333333,-7.835218093699515,0.21429529073886844,-0.3151477511419408,1.0,16,DESAPARECE (< 5% do nominal)
TR,menor e melhor,nominal,68.86531966000788,52.50890631287791,-16.356413347129973,100.0,-16.356413347129973,-23.751306794018447,3.0517578125e-05,-3.142964173418213,1.0,16,
TR,menor e melhor,sem_assistencia,68.86531966000788,64.60519189179831,-16.356413347129973,26.04561084265512,-4.260127768209573,-6.18617293761515,0.005157470703125,-0.8503515865440814,1.0,16,DIMINUI (resta 26%)
TR,menor e melhor,assistencia_universal,59.635513144947055,52.50890631287791,-16.356413347129973,43.5707185971773,-7.1266068320691485,-11.950273345929933,0.000213623046875,-1.1624721736589325,1.0,16,DIMINUI (resta 44%)
TW,informativa,nominal,696.796875,547.1927083333333,-149.60416666666669,100.0,-149.60416666666669,-21.47026946219681,3.0517578125e-05,-6.498852419526266,1.0,16,
TW,informativa,sem_assistencia,696.796875,572.9895833333333,-149.60416666666669,82.75657986352876,-123.80729166666667,-17.76806069439773,3.0517578125e-05,-6.2028422708626,1.0,16,DIMINUI (resta 83%)
TW,informativa,assistencia_universal,665.7291666666667,547.1927083333333,-149.60416666666669,79.23339367776074,-118.53645833333334,-17.80550774526678,3.0517578125e-05,-9.670079155545679,1.0,16,DIMINUI (resta 79%)
n_com_erro,menor e melhor,nominal,13.020833333333332,3.8229166666666665,-9.197916666666666,100.0,-9.197916666666666,-70.64,0.00043680902321148305,-7.815444732066754,1.0,16,
n_com_erro,menor e melhor,sem_assistencia,13.020833333333332,4.026041666666667,-9.197916666666666,97.7916194790487,-8.994791666666668,-69.08000000000001,3.0517578125e-05,-9.469325131494227,1.0,16,DIMINUI (resta 98%)
n_com_erro,menor e melhor,assistencia_universal,12.442708333333334,3.8229166666666665,-9.197916666666666,93.71460928652321,-8.619791666666666,-69.27584763499371,0.0004358423668112835,-6.4265181634902016,1.0,16,DIMINUI (resta 94%)
taxa_omissao,menor e melhor,nominal,0.21701388888888884,0.06371527777777775,-0.1532986111111111,100.0,-0.1532986111111111,-70.64,3.0517578125e-05,-7.815444732066755,1.0,16,
taxa_omissao,menor e melhor,sem_assistencia,0.21701388888888884,0.06710069444444441,-0.1532986111111111,97.7916194790487,-0.14991319444444445,-69.08000000000001,3.0517578125e-05,-9.469325131494228,1.0,16,DIMINUI (resta 98%)
taxa_omissao,menor e melhor,assistencia_universal,0.20737847222222217,0.06371527777777775,-0.1532986111111111,93.71460928652323,-0.14366319444444445,-69.27584763499374,3.0517578125e-05,-6.426518163490205,1.0,16,DIMINUI (resta 94%)
retrabalho_sobre_plano,menor e melhor,nominal,0.20309877307027008,0.15446817485451853,-0.04863059821575157,100.0,-0.04863059821575157,-23.944309205120547,3.0517578125e-05,-3.0736131015502792,1.0,16,
retrabalho_sobre_plano,menor e melhor,sem_assistencia,0.20309877307027008,0.1901176125994446,-0.04863059821575157,26.693400754056228,-0.012981160470825485,-6.391550413913204,0.005157470703125,-0.8774219104519335,1.0,16,DIMINUI (resta 27%)
retrabalho_sobre_plano,menor e melhor,assistencia_universal,0.1755720212493425,0.15446817485451853,-0.04863059821575157,43.39623029352007,-0.021103846394824016,-12.020050942429442,0.00030517578125,-1.1734470318477792,1.0,16,DIMINUI (resta 43%)
divida_latente_sobre_plano,menor e melhor,nominal,0.07412735814984966,0.020144458403516783,-0.053982899746332885,100.0,-0.053982899746332885,-72.8245294230041,3.0517578125e-05,-6.725609296516638,1.0,16,
divida_latente_sobre_plano,menor e melhor,sem_assistencia,0.07412735814984966,0.02359200506952596,-0.053982899746332885,93.61363194232008,-0.05053535308032371,-68.17368693777765,3.0517578125e-05,-6.409744114550949,1.0,16,DIMINUI (resta 94%)
divida_latente_sobre_plano,menor e melhor,assistencia_universal,0.06589744293791133,0.020144458403516783,-0.053982899746332885,84.75458848892718,-0.045752984534394546,-69.43059168092923,3.0517578125e-05,-5.759190792789486,1.0,16,DIMINUI (resta 85%)
S_UR_maximo,menor e melhor,nominal,25.112262752683552,6.82348248352241,-18.288780269161144,100.0,-18.288780269161144,-72.82808582116625,3.0517578125e-05,-6.4857647609398485,1.0,16,
S_UR_maximo,menor e melhor,sem_assistencia,25.112262752683552,8.00615604483645,-18.288780269161144,93.53333823301337,-17.106106707847104,-68.11853983974068,3.0517578125e-05,-6.484033913488211,1.0,16,DIMINUI (resta 94%)
S_UR_maximo,menor e melhor,assistencia_universal,22.351660893033625,6.82348248352241,-18.288780269161144,84.90548949125436,-15.528178409511215,-69.47214564422327,3.0517578125e-05,-5.33572988010581,1.0,16,DIMINUI (resta 85%)
