modelo,termo,coeficiente,erro_padrao,p_valor,razao_de_chances,ic95_inferior,ic95_superior
M4_completo,C(project)[T.PC1],-0.093137,0.218505,0.6699269854756991,0.911068,0.593689,1.398114
M4_completo,C(project)[T.PC2],-1.152148,0.307606,0.00018001684649227278,0.315957,0.172899,0.577383
M4_completo,C(project)[T.PC3],0.365225,0.195184,0.061319719806751556,1.440838,0.982821,2.112301
M4_completo,C(project)[T.PC4],0.678139,0.190166,0.00036242321771834656,1.970207,1.357195,2.860102
M4_completo,C(project)[T.PC5],1.176345,0.180079,6.472924113058934e-11,3.242501,2.278225,4.614912
M4_completo,log_CYCLOMATIC_COMPLEXITY,-0.052395,0.068019,0.4411235877971541,0.948954,0.830515,1.084284
M4_completo,log_LOC_TOTAL,0.822749,0.043712,4.9879582210800946e-79,2.27675,2.089814,2.480408
M4_completo,log_DESIGN_COMPLEXITY,0.190465,0.057165,0.000862677467080898,1.209812,1.081581,1.353245
M4_completo,log_ESSENTIAL_COMPLEXITY,-0.049335,0.041257,0.23177757992375225,0.951862,0.877923,1.03203
M4_completo,log_HALSTEAD_DIFFICULTY,-0.255049,0.050491,4.3866093965138904e-07,0.774879,0.701868,0.855484
