braco,p_reporte,atraso_relativo,E_total,TL,TU,TR,TW,n_com_erro,taxa_omissao,retrabalho_sobre_plano,divida_latente_sobre_plano,S_UR_maximo
centralizada,0.15,3.134532505799728,0.7839008771073722,0.0,126.265625,68.86531966000788,696.796875,13.020833333333332,0.21701388888888884,0.20309877307027008,0.07412735814984966,25.112262752683552
pr_0.3000,0.3,3.0524727542820616,0.78604759843268,0.0,124.34895833333333,67.6990255763587,696.3333333333333,10.630208333333332,0.17717013888888883,0.1996536031638755,0.06542228655956438,22.12074633715761
pr_0.4500,0.45,3.005421406010531,0.7862227628196359,0.0,124.5625,68.3053701744075,697.9114583333333,8.494791666666668,0.14157986111111107,0.2008881309511203,0.05401015639586343,18.32739544034409
pr_0.6000,0.6,2.8941851587850804,0.7857424392337873,0.0,124.70833333333334,68.72976787743065,696.875,6.130208333333334,0.10217013888888885,0.2020296241440324,0.043056008131876704,14.598376461717
so_p_reporte,0.75,2.818332652555906,0.7883858245654378,0.0,122.98958333333333,67.20774366388343,697.2135416666667,3.765625,0.06276041666666662,0.19791933506647608,0.02976264503343264,10.095208776355943
