grupo,n,media_taxa_omissao,var_legado_taxa_omissao,var_pareada_taxa_omissao,media_atraso_relativo,var_legado_atraso_relativo,var_pareada_atraso_relativo,media_retrabalho_sobre_plano,var_legado_retrabalho_sobre_plano,var_pareada_retrabalho_sobre_plano,media_E_total,var_legado_E_total,var_pareada_E_total
vertice=0,4,0.025,6.944444444444446e-05,6.944444444444444e-05,2.2901960784313724,0.001518508585835462,0.0009210940390092779,0.05446380245447956,0.0003032797392964093,0.0008906308812659619,0.9467252405832577,5.4948917788146815e-05,5.64536539994306e-05
vertice=1,4,0.025,0.00011574074074074076,6.944444444444444e-05,1.492071611253197,0.0007477275353597479,0.002049240912866882,0.04859657985063347,5.012033963475293e-06,7.82959554661601e-07,0.9288002867477317,2.544159445727526e-05,2.2863450223603673e-05
vertice=2,4,0.04583333333333334,0.0001099537037037037,1.7361111111111135e-05,2.498209718670077,0.0012289732973140332,0.0013942870598700917,0.07834611126085159,0.00021820895665460144,3.978313476184526e-05,0.9468648293344237,5.826654387211943e-05,1.8137353154091853e-05
vertice=3,4,0.016666666666666666,4.6296296296296294e-05,6.944444444444446e-05,1.4975277067348678,0.0014698142127973187,0.0004326967452535672,0.04352271013163273,5.754705026906959e-05,4.358896008616575e-05,0.9349549314781131,4.94637297807126e-05,5.409305444140715e-05
vertice=4,4,0.04583333333333334,0.00029513888888888884,1.7361111111111104e-05,2.2042199488491048,0.010219598903722513,0.005985456008267847,0.06170920492619706,0.00011141163796044128,0.00023188421628658856,0.9464417161971188,2.571078078235306e-05,4.892891472476438e-05
vertice=5,4,0.029166666666666667,6.365740740740742e-05,1.7361111111111104e-05,1.4556265984654733,0.00018559763379263515,0.00010378624187730661,0.0461896024728124,5.218494482588478e-05,0.00012175056773653558,0.9363210963217503,4.9994244507587614e-05,6.431772342967707e-05
vertice=6,4,0.037500000000000006,0.00015625,1.7361111111111104e-05,2.2476982097186697,0.015012215383206552,0.014603269863488609,0.053977498628803466,0.00017872953975503055,0.000529164586938297,0.9499560957040359,4.0908165010185815e-05,0.00011005250409773148
vertice=7,4,0.029166666666666667,6.365740740740742e-05,1.7361111111111104e-05,1.4556265984654733,0.00018559763379263515,1.8534749976198266e-05,0.04673811247344416,5.154362406867529e-05,0.00011124487745255745,0.9361312825407111,4.986396412590124e-05,5.9276932230802894e-05
vertice=8,4,0.025,6.944444444444446e-05,6.944444444444444e-05,2.2901960784313724,0.001518508585835462,0.0009210940390092779,0.14523680654527882,0.0021566559238855782,0.006333375155669067,0.907836165859936,0.00030669035507600054,0.0007704262551013995
vertice=9,4,0.025,0.00011574074074074076,6.944444444444444e-05,1.492071611253197,0.0007477275353597479,0.002049240912866882,0.12959087960168925,3.564113040693533e-05,5.5677123887047624e-06,0.8794000017752515,1.1283825540080505e-05,2.4339253599818363e-05
vertice=10,4,0.04583333333333334,0.0001099537037037037,1.7361111111111135e-05,2.498209718670077,0.0012289732973140332,0.0013942870598700917,0.2089229633622709,0.0015517081362104983,0.0002829022916397879,0.8970720626691008,0.00021615296182136764,3.647913070561772e-05
vertice=11,4,0.016666666666666666,4.6296296296296294e-05,6.944444444444446e-05,1.4975277067348678,0.0014698142127973187,0.0004326967452535672,0.11606056035102061,0.00040922346858005026,0.0003099659383905117,0.8915270930527792,0.00016793112524723038,0.00016892720143284797
vertice=12,4,0.04583333333333334,0.00029513888888888884,1.7361111111111104e-05,2.2042199488491048,0.010219598903722513,0.005985456008267847,0.1645578798031922,0.0007922605366075828,0.001648954426926854,0.9018484405356444,0.00016416036812969478,0.0003570665068128312
vertice=13,4,0.029166666666666667,6.365740740740742e-05,1.7361111111111104e-05,1.4556265984654733,0.00018559763379263515,0.00010378624187730661,0.12317227326083306,0.00037109294098406986,0.0008657818150153649,0.8891498839324135,0.00018287523412471168,0.00034923546727160654
vertice=14,4,0.037500000000000006,0.00015625,1.7361111111111104e-05,2.2476982097186697,0.015012215383206552,0.014603269863488609,0.14393999634347593,0.0012709656160357736,0.003762948173783448,0.9105181645490158,0.0002617742594338429,0.0007584883701357375
vertice=15,4,0.029166666666666667,6.365740740740742e-05,1.7361111111111104e-05,1.4556265984654733,0.00018559763379263515,1.8534749976198266e-05,0.1246349665958511,0.0003665324378216911,0.0007910746841070757,0.8885669959079932,0.00018079807300775387,0.00032096448889985606
vertice=16,4,0.15,0.0003240740740740739,0.0006249999999999997,2.268670076726343,0.002562115608193936,0.0001895610165931556,0.23542561079424978,0.0001000399365321285,0.0001235544356507768,0.8840504413599137,1.4554844089307038e-05,2.4938726454667293e-05
vertice=17,4,0.15833333333333333,0.0003935185185185186,0.00027777777777777767,1.418073316283035,0.0004158499457457465,0.00023027350975231948,0.16574789018767377,8.530721634333925e-05,0.000194277407555038,0.8636103278890264,5.806104958075729e-05,6.36276691937948e-05
vertice=18,4,0.15416666666666665,6.365740740740737e-05,1.7361111111111104e-05,2.45,0.01037401578618277,0.005061236808003898,0.23276352884735832,0.0002761290955655852,0.0001050457027767384,0.8926974310322098,2.2674628339721044e-05,7.15118570097355e-06
vertice=19,4,0.13749999999999998,0.000665509259259259,0.00015624999999999992,1.4868712702472295,0.0006865397851197275,6.980011323258766e-05,0.17832345495317567,0.00012476530625390094,0.00034875980464178563,0.8633928630830972,7.915197737974657e-05,0.00014647719125189111
vertice=20,4,0.15833333333333333,0.0006712962962962962,0.0,2.2315856777493606,0.003571470015289072,0.001260764545263583,0.20972992544979696,0.00020186327809454017,0.000302270677503936,0.8836831918540445,3.889481000662927e-05,8.862660313546973e-07
vertice=21,4,0.1625,0.00034143518518518523,0.0008506944444444441,1.4703324808184144,0.0005485433235774989,2.0415297591662854e-05,0.17808867361455943,6.211847867964336e-05,1.061771105654662e-05,0.8576417768025205,4.679063582453672e-05,1.0848781053869284e-05
vertice=22,4,0.15,0.0006018518518518519,6.944444444444442e-05,2.2315856777493606,0.003571470015289072,0.001260764545263583,0.20966134088520194,0.0002021719204383039,0.00029989056801239616,0.8859608387742032,6.0293645993205e-05,1.7855103094451231e-06
vertice=23,4,0.1625,0.00034143518518518523,0.0008506944444444441,1.4762148337595908,0.0008148288659274324,0.00010817418631339064,0.17876496786011467,7.247015752958812e-05,1.548247148339308e-05,0.8589122611289608,3.2537470691115455e-05,4.093599066310346e-06
vertice=24,4,0.15,0.0003240740740740739,0.0006249999999999997,2.268670076726343,0.002562115608193936,0.0001895610165931556,0.6278016287846662,0.0007113951042284665,0.0008786093201833006,0.7560113761906015,5.4451390678810176e-05,0.00011779270514645471
vertice=25,4,0.15833333333333333,0.0003935185185185186,0.00027777777777777767,1.418073316283035,0.0004158499457457465,0.00023027350975231948,0.4419943738337969,0.0006066290939970817,0.001381528231502495,0.7324625136924249,0.0001551048685516246,0.00023519260268743013
vertice=26,4,0.15416666666666665,6.365740740740737e-05,1.7361111111111104e-05,2.45,0.01037401578618277,0.005061236808003898,0.6207027435929556,0.0019635846795774984,0.0007469916641901467,0.770876974785798,0.00011920734243159852,7.445634660908372e-07
vertice=27,4,0.13749999999999998,0.000665509259259259,0.00015624999999999992,1.4868712702472295,0.0006865397851197275,6.980011323258766e-05,0.4755292132084685,0.0008872199555832941,0.00248006972189714,0.7286292751007799,0.00019107489200506934,0.00045313170137671957
vertice=28,4,0.15833333333333333,0.0006712962962962962,0.0,2.2315856777493606,0.003571470015289072,0.001260764545263583,0.5592798011994586,0.0014354721997833974,0.0021494803733613206,0.764166667152259,0.00011079723181330873,2.308622427960032e-05
vertice=29,4,0.1625,0.00034143518518518523,0.0008506944444444441,1.4703324808184144,0.0005485433235774989,2.0415297591662854e-05,0.4749031296388252,0.00044173140394413135,7.550372306877468e-05,0.7215474308668461,0.00010820910100476271,3.172142412933584e-05
vertice=30,4,0.15,0.0006018518518518519,6.944444444444442e-05,2.2315856777493606,0.003571470015289072,0.001260764545263583,0.5590969090272053,0.0014376669897834945,0.002132555150310379,0.7683846707194055,0.00016703292257845773,3.443448603936968e-07
vertice=31,4,0.1625,0.00034143518518518523,0.0008506944444444441,1.4762148337595908,0.0008148288659274324,0.00010817418631339064,0.47670658096030594,0.000515343342432629,0.00011009757499301707,0.7223573924182389,9.282874344617821e-05,2.32537672867243e-05
