desenho,ponto,instancia,semente,risco.F_ancora,retrabalho.f_retrabalho,agentes.tau_sat,agentes.k_heuristico,fuzzy.mu_minimo,taxa_omissao,atraso_relativo,retrabalho_sobre_plano,E_total,concluiu,divida_pendente,violacoes,makespan
legado,0,j6010_1.sm,0,0.14968796615122526,0.43389155040178545,1.1048114094662704,0.07187237495971936,0.5907660208252148,0.06666666666666667,1.4705882352941178,0.13842461646315127,0.8762196020442511,True,0,0,125
legado,0,j6010_1.sm,1,0.14968796615122526,0.43389155040178545,1.1048114094662704,0.07187237495971936,0.5907660208252148,0.1,1.6352941176470588,0.19066216412711068,0.8556992190891265,True,0,0,139
legado,0,j6010_1.sm,2,0.14968796615122526,0.43389155040178545,1.1048114094662704,0.07187237495971936,0.5907660208252148,0.08333333333333333,1.7411764705882353,0.2529889156412812,0.836274089827017,True,0,0,148
legado,0,j6010_1.sm,3,0.14968796615122526,0.43389155040178545,1.1048114094662704,0.07187237495971936,0.5907660208252148,0.1,1.7058823529411764,0.1810405678442364,0.8713767931335351,True,0,0,145
legado,0,j6032_1.sm,0,0.14968796615122526,0.43389155040178545,1.1048114094662704,0.07187237495971936,0.5907660208252148,0.13333333333333333,1.6666666666666667,0.16054632684092285,0.8867959543837652,True,0,0,115
legado,0,j6032_1.sm,1,0.14968796615122526,0.43389155040178545,1.1048114094662704,0.07187237495971936,0.5907660208252148,0.15,1.6231884057971016,0.1897474453903245,0.8626913803502241,True,0,0,112
legado,0,j6032_1.sm,2,0.14968796615122526,0.43389155040178545,1.1048114094662704,0.07187237495971936,0.5907660208252148,0.05,1.6666666666666667,0.12617843290358977,0.8995366378633826,True,0,0,115
legado,0,j6032_1.sm,3,0.14968796615122526,0.43389155040178545,1.1048114094662704,0.07187237495971936,0.5907660208252148,0.03333333333333333,1.681159420289855,0.1990313274277021,0.8441171004837406,True,0,0,116
legado,57,j6010_1.sm,0,0.18412862809506858,0.3622669380319584,0.8297516284947133,0.15328172701031434,0.5935122104907176,0.1,1.611764705882353,0.19176026172921543,0.8559506049016252,True,0,0,137
legado,57,j6010_1.sm,1,0.18412862809506858,0.3622669380319584,0.8297516284947133,0.15328172701031434,0.5935122104907176,0.11666666666666667,1.6941176470588235,0.18611215903715994,0.8605387552179761,True,0,0,144
legado,57,j6010_1.sm,2,0.18412862809506858,0.3622669380319584,0.8297516284947133,0.15328172701031434,0.5935122104907176,0.1,1.6823529411764706,0.16472970778189924,0.8785127247027636,True,0,0,143
legado,57,j6010_1.sm,3,0.18412862809506858,0.3622669380319584,0.8297516284947133,0.15328172701031434,0.5935122104907176,0.1,1.8470588235294119,0.19861224788389104,0.8673486834898343,True,0,0,157
legado,57,j6032_1.sm,0,0.18412862809506858,0.3622669380319584,0.8297516284947133,0.15328172701031434,0.5935122104907176,0.11666666666666667,1.6956521739130435,0.168888086073548,0.8858404100240742,True,0,0,117
legado,57,j6032_1.sm,1,0.18412862809506858,0.3622669380319584,0.8297516284947133,0.15328172701031434,0.5935122104907176,0.16666666666666666,1.7681159420289856,0.24493886149552999,0.8542206256659073,True,0,0,122
legado,57,j6032_1.sm,2,0.18412862809506858,0.3622669380319584,0.8297516284947133,0.15328172701031434,0.5935122104907176,0.06666666666666667,1.7246376811594204,0.17528023251564218,0.8832886036580252,True,0,0,119
legado,57,j6032_1.sm,3,0.18412862809506858,0.3622669380319584,0.8297516284947133,0.15328172701031434,0.5935122104907176,0.06666666666666667,1.6666666666666667,0.22571458208495834,0.8464366599030829,True,0,0,115
legado,114,j6010_1.sm,0,0.2188207971411154,0.5599966687188345,1.0302934593637543,0.07123628091333202,0.6073277656226095,0.11666666666666667,1.4470588235294117,0.28241989082394586,0.8014817510241669,True,0,0,123
legado,114,j6010_1.sm,1,0.2188207971411154,0.5599966687188345,1.0302934593637543,0.07123628091333202,0.6073277656226095,0.15,1.5529411764705883,0.39347745153625757,0.7494865733954261,True,0,0,132
legado,114,j6010_1.sm,2,0.2188207971411154,0.5599966687188345,1.0302934593637543,0.07123628091333202,0.6073277656226095,0.15,1.611764705882353,0.36125956068506976,0.7757786094880791,True,0,0,137
legado,114,j6010_1.sm,3,0.2188207971411154,0.5599966687188345,1.0302934593637543,0.07123628091333202,0.6073277656226095,0.11666666666666667,1.6823529411764706,0.35714666731700995,0.7902042056663612,True,0,0,143
legado,114,j6032_1.sm,0,0.2188207971411154,0.5599966687188345,1.0302934593637543,0.07123628091333202,0.6073277656226095,0.2,1.5942028985507246,0.25748478069093633,0.8258187587610141,True,0,0,110
legado,114,j6032_1.sm,1,0.2188207971411154,0.5599966687188345,1.0302934593637543,0.07123628091333202,0.6073277656226095,0.1,1.6376811594202898,0.34613040435902215,0.7928378878165883,True,0,0,113
legado,114,j6032_1.sm,2,0.2188207971411154,0.5599966687188345,1.0302934593637543,0.07123628091333202,0.6073277656226095,0.08333333333333333,1.681159420289855,0.3525783362822274,0.7949752632023092,True,0,0,116
legado,114,j6032_1.sm,3,0.2188207971411154,0.5599966687188345,1.0302934593637543,0.07123628091333202,0.6073277656226095,0.05,1.5507246376811594,0.21766165793360187,0.8356518046358283,True,0,0,107
legado,171,j6010_1.sm,0,0.11373753948882932,0.7604938566947859,0.9251877854571041,0.10509141297213453,0.6681167213125444,0.13333333333333333,1.423529411764706,0.21559239474866287,0.8348817151430737,True,0,0,121
legado,171,j6010_1.sm,1,0.11373753948882932,0.7604938566947859,0.9251877854571041,0.10509141297213453,0.6681167213125444,0.05,1.4,0.08711539534893833,0.9053979207274688,True,0,0,119
