desenho,ponto,risco.F_ancora,retrabalho.f_retrabalho,agentes.tau_sat,agentes.k_heuristico,fuzzy.mu_minimo,media_taxa_omissao,var_media_taxa_omissao,media_atraso_relativo,var_media_atraso_relativo,media_retrabalho_sobre_plano,var_media_retrabalho_sobre_plano,media_E_total,var_media_E_total,implausibilidade,erro_max_reproducao_legado
legado,0,0.14968796615122526,0.43389155040178545,1.1048114094662704,0.07187237495971936,0.5907660208252148,0.08958333333333335,0.00019779265873015874,1.6488277919863599,0.0008227707944440232,0.17982747457978987,0.0001946934165582936,0.8665888471468802,5.6558894977991954e-05,2.282514797937255,2.220446049250313e-16
legado,57,0.18412862809506858,0.3622669380319584,0.8297516284947133,0.15328172701031434,0.5935122104907176,0.10416666666666666,0.00012648809523809523,1.7112958226768968,0.0006270327175312103,0.19450451732523052,9.865787930004968e-05,0.8665171334454111,2.6804981586971714e-05,4.7523085275192924,9.522005579853943e-17
legado,114,0.2188207971411154,0.5599966687188345,1.0302934593637543,0.07123628091333202,0.6073277656226095,0.12083333333333333,0.0002653769841269841,1.5947357203751067,0.0007637971327008878,0.3210198437035089,0.00046447394661141856,0.7957793567487217,9.121656913070135e-05,6.202606141791965,8.782037597132586e-17
legado,171,0.11373753948882932,0.7604938566947859,0.9251877854571041,0.10509141297213453,0.6681167213125444,0.08125,0.00019283234126984123,1.4581415174765557,0.00040299317770030356,0.1929637884117462,0.00038432532921120493,0.8495559862103327,0.00011913545615944454,4.934937315698842,2.220446049250313e-16
legado,228,0.11422824372137172,0.5005753994229606,1.0002762546698036,0.08575664885473969,0.6554708552113134,0.06458333333333333,0.00024243551587301585,1.5140451832907078,0.0005409098014089815,0.15019233893970513,0.00018000435934414173,0.8769078305908623,4.347843414643332e-05,2.9457913922027346,8.153200337090993e-17
legado,285,0.2145575064695892,0.49210649538317597,1.0030390672040825,0.11802130605552978,0.6116862233799796,0.125,0.0002976190476190476,1.6199701619778346,0.000306550740315401,0.26324349192894964,0.00018276580318424038,0.826240150595362,3.995544637768415e-05,4.514312603648219,5.551115123125783e-17
legado,342,0.13947387048521953,0.7317914132780086,1.0438776957619387,0.13314981685524793,0.6411664148496984,0.075,0.0002579365079365079,1.5778559249786872,0.00029603005626432384,0.27204311002403386,0.0005455317619594677,0.820354242863492,0.00011683153965638423,3.422541593211501,8.422895627496763e-17
legado,399,0.23106062339588435,0.6031295286142702,1.0045669686798675,0.06244220018051548,0.5861137235775545,0.10416666666666667,0.00012648809523809523,1.677003410059676,0.0024128144252252223,0.3481321533492523,0.0006203059427687755,0.7901924390161691,0.00012716691242017694,5.828220472735527,9.522005579853943e-17
alternativa,0,0.21363883332164738,0.4583944044241327,0.762124391879713,0.07283617897641113,0.6438799769192227,0.125,0.00029761904761904754,1.5546675191815855,0.0004485441550503595,0.23330513164281996,6.635674777758935e-05,0.8320781540352729,1.4176798603935542e-05,5.125788608408898,
alternativa,57,0.19024675970938382,0.5694953928061176,0.7607699225497042,0.15314008771835252,0.5827048763340822,0.09583333333333334,9.672619047619047e-05,1.7216112531969308,0.0009258064395556952,0.29308780165293685,0.0002633152985870624,0.8249603481723695,4.7141959940558264e-05,5.209588152943997,
alternativa,114,0.19203722766923775,0.7852407977643634,1.0177330426780609,0.1349823603226773,0.6008957616691533,0.09791666666666667,0.0004309275793650793,1.630157715260017,0.0009022313936879839,0.41142770306402227,0.0011076506925478333,0.7662358340462361,0.0001225977015782117,7.96934162914335,
alternativa,171,0.20046544662387394,0.38849289000356463,0.8327707137816421,0.07089887027302365,0.6144429115111201,0.11458333333333334,0.0001729910714285714,1.6065004262574596,0.0004003491848572331,0.2038405807743811,6.738621507475834e-05,0.8535889770555927,8.19303512546488e-06,1.2574662999458708,
alternativa,228,0.1445577868015583,0.462929608395535,1.2670725494451802,0.06349269683742241,0.6688906376100354,0.07916666666666666,0.00028521825396825393,1.4937766410912192,0.0003063405576471293,0.1775952123704053,0.00015969928956111225,0.8575190147500159,4.1942664280040824e-05,3.783203660943552,
alternativa,285,0.13155852197405343,0.6545953859729254,0.753112704996973,0.1435447599355632,0.6541506296300205,0.08125,0.0001729910714285714,1.5433503836317135,0.0001859354142338942,0.23156976252326417,0.00030913760957345656,0.8392615085762086,9.04801220919893e-05,1.9835048057118165,
alternativa,342,0.16477282648731947,0.566573901458596,1.0151256781955007,0.10457213136972354,0.608804499158279,0.08333333333333334,0.00017857142857142857,1.639087809036658,0.0014404935034542372,0.2493253875295663,0.00031001054120818845,0.8308949939733243,6.151960950919693e-05,3.288900170467586,
alternativa,399,0.15815002381759158,0.5530767101663006,0.9578415091480044,0.14624321691328912,0.6111833888733963,0.08541666666666667,0.0003416418650793651,1.6225703324808185,0.0006402250380859567,0.20087497905448165,0.00019893236150645858,0.8578180251261058,6.178272926193063e-05,1.6054229198712386,
