parametro,erro_normalizado_legado,erro_normalizado_alternativa,prior_min,prior_max,caixa_onda2_min,caixa_onda2_max
risco.F_ancora,8.881784197001252e-16,0.9858265427900449,0.05,0.25,0.1108425499554446,0.2429237465994173
retrabalho.f_retrabalho,3.3306690738754696e-16,0.9207250329184972,0.3,0.8,0.303183040738251,0.7886494689800303
agentes.tau_sat,6.661338147750939e-16,0.9632047777065249,0.7,1.4,0.7506930335381325,1.376650630436239
agentes.k_heuristico,1.2212453270876722e-15,0.9195655685878973,0.06,0.16,0.0609498807275527,0.1585336557812169
fuzzy.mu_minimo,8.881784197001252e-16,0.9568599508641177,0.4,0.7,0.5779097830067533,0.6709936538424002
