concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,E_plano,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,configuracao,arquivo,semente,cenario,atraso_relativo,violacoes,tarefas_pendentes,dividas_pendentes
True,208,85,0.7529245786357962,0.0,16.5335401341406,279.0,525.0,0.0,133.0,39.28099586180779,50,10,1,0,0.16666666666666666,323.0,0.12161299028423464,0.051187430755853254,0.056334528109802065,33,0,0,133,27,133,42,8,91,0.6268507180531939,0.4857196752206667,16,60,0.6268507180531939,nenhuma,39.28099586180778,0.0,45,0,terminal,0.25,sem_assistencia,j6010_1.sm,0,centralizada,2.447058823529412,[],0,0
True,146,85,0.6743459059349416,0.0,2.5,316.0,425.0,0.0,169.0,36.24035032994246,58,2,9,0,0.03333333333333333,323.0,0.11219922702768563,0.007739938080495356,0.05750242794034049,28,0,0,169,32,169,42,1,127,0.6268507180531939,0.4857196752206667,16,60,0.6268507180531939,nenhuma,36.24035032994246,0.0,41,0,terminal,0.7999999999999999,sem_assistencia,j6010_1.sm,0,adaptativa,1.7176470588235293,[],0,0
True,185,85,0.842467203913938,1.7763568394002505e-15,17.626408679228348,268.0,512.0,0.0,60.0,35.738791042960536,51,9,1,0,0.15,323.0,0.11064641189771064,0.05457092470349334,0.058806170627397375,27,0,0,60,33,60,27,7,33,0.6586427040007742,0.39362113220747674,14,60,0.6586427040007742,nenhuma,35.738791042960536,0.0,39,0,terminal,0.25,sem_assistencia,j6010_1.sm,1,centralizada,2.176470588235294,[],0,0
True,140,85,0.7299544178452888,0.0,0.0,323.0,422.0,0.0,119.0,37.118290242941356,60,0,11,0,0.0,323.0,0.11491730725368841,0.0,0.06420535532156095,20,0,0,119,40,119,44,14,75,0.6586427040007742,0.39362113220747674,14,60,0.6586427040007742,nenhuma,37.118290242941356,0.0,41,0,terminal,0.7999999999999999,sem_assistencia,j6010_1.sm,1,adaptativa,1.6470588235294117,[],0,0
True,153,85,0.7758792582705023,1.7763568394002505e-15,19.604304295339595,270.0,517.0,0.0,106.0,43.34079270585849,52,8,2,0,0.13333333333333333,323.0,0.1341820207611718,0.06069444054284705,0.0650429827804199,33,0,0,106,27,106,42,10,64,0.7659648859265082,0.2570239140832174,4,60,0.7659648859265082,nenhuma,43.34079270585849,0.0,47,0,terminal,0.25,sem_assistencia,j6010_1.sm,2,centralizada,1.8,[],0,0
True,161,85,0.7394378291607497,0.0,4.5,311.0,458.0,0.0,91.0,70.38946310039714,57,3,13,0,0.05,323.0,0.2179240343665546,0.01393188854489164,0.11364330085316235,32,0,0,91,28,91,41,18,50,0.7659648859265082,0.2570239140832174,4,60,0.7659648859265082,nenhuma,70.38946310039712,0.0,77,0,terminal,0.7999999999999999,sem_assistencia,j6010_1.sm,2,adaptativa,1.8941176470588235,[],0,0
True,194,85,0.6647981034095154,0.0,14.902691316760672,249.0,527.0,0.0,208.0,57.72187645723195,49,11,0,0,0.18333333333333332,323.0,0.17870549986759118,0.046138363209785364,0.07281478936244053,43,0,0,208,17,208,61,2,147,0.794910294566222,0.24332019624229823,3,60,0.794910294566222,nenhuma,57.72187645723195,0.0,62,0,terminal,0.25,sem_assistencia,j6010_1.sm,3,centralizada,2.2823529411764705,[],0,0
True,148,85,0.6444680240655349,0.0,1.0,321.0,425.0,0.0,196.0,38.458629644567694,59,1,8,0,0.016666666666666666,323.0,0.11906696484386282,0.0030959752321981426,0.058318487188947644,34,0,0,196,26,196,65,12,131,0.794910294566222,0.24332019624229823,3,60,0.794910294566222,nenhuma,38.45862964456769,0.0,42,0,terminal,0.7999999999999999,sem_assistencia,j6010_1.sm,3,adaptativa,1.7411764705882353,[],0,0
True,227,85,0.7378170816056261,0.0,15.978309674002745,266.0,531.0,0.0,147.0,41.69057539904884,49,11,1,0,0.18333333333333332,323.0,0.1290729888515444,0.04946845100310447,0.057928472074172364,34,0,0,147,26,147,37,2,110,0.7496468789669437,0.35303232464984247,6,60,0.7496468789669437,nenhuma,41.69057539904884,0.0,46,0,terminal,0.25,sem_assistencia,j6010_1.sm,4,centralizada,2.6705882352941175,[],0,0
True,161,85,0.6916680454233459,0.0,5.639383651876548,306.0,451.0,0.0,163.0,38.04689299179443,57,3,8,0,0.05,323.0,0.11779223836468863,0.017459392111072905,0.058349933725200996,34,0,0,163,26,163,50,6,113,0.7496468789669437,0.35303232464984247,6,60,0.7496468789669437,nenhuma,38.04689299179443,0.0,42,0,terminal,0.7999999999999999,sem_assistencia,j6010_1.sm,4,adaptativa,1.8941176470588235,[],0,0
True,165,85,0.8062003214450789,8.881784197001252e-16,14.29731988713678,255.0,517.0,0.0,69.0,55.27982369605121,48,12,5,0,0.2,323.0,0.17114496500325452,0.04426414825738941,0.08620234358449473,29,0,0,69,31,69,28,2,41,0.6863255838987572,0.3910769205246226,9,60,0.6863255838987572,nenhuma,55.27982369605121,0.0,63,0,terminal,0.25,sem_assistencia,j6010_1.sm,5,centralizada,1.9411764705882353,[],0,0
