configuracao,metrica,n_instancias,media_centralizada,media_adaptativa,media_diferenca,ic95_inferior,ic95_superior,n_positivo,n_negativo,n_zero,n_pares_censurados
C4_C1,E_plano,16,339.25,339.25,0.0,0.0,0.0,0,0,16,0
C4_C1,E_total,16,0.7067130346128633,0.8546109448727867,0.1478979102599234,0.1289583419637706,0.16683747855607622,16,0,0,0
C4_C1,N_blocked,16,90.10416666666666,0.0,-90.10416666666666,-100.67370474055662,-79.5346285927767,0,16,0,0
C4_C1,N_fail,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1,N_req,16,0.0,10.854166666666666,10.854166666666666,9.920530420514337,11.787802912818995,16,0,0,0
C4_C1,N_success,16,0.0,10.854166666666666,10.854166666666666,9.920530420514337,11.787802912818995,16,0,0,0
C4_C1,S_PV_final,16,225.24479166666669,309.765625,84.52083333333334,77.92178650574806,91.11988016091863,16,0,0,0
C4_C1,S_UR_final,16,1.5491080640472887e-15,5.898059818321144e-17,-1.4901274658640773e-15,-2.096083019055414e-15,-8.841719126727406e-16,0,16,0,0
C4_C1,S_UR_maximo,16,35.14699954028097,8.05166244198547,-27.095337098295502,-30.538081258283704,-23.6525929383073,0,16,0,0
C4_C1,TL,16,0.0,10.854166666666666,10.854166666666666,9.920530420514337,11.787802912818995,16,0,0,0
C4_C1,TR,16,98.57459165903293,68.76327337379746,-29.811318285235473,-35.43994332047505,-24.182693249995893,1,15,0,0
C4_C1,TU,16,140.78125,6.817708333333334,-133.96354166666666,-148.5492804948424,-119.37780283849091,0,16,0,0
C4_C1,TW,16,564.6458333333333,500.92187500000006,-63.723958333333336,-67.70152474245681,-59.74639192420987,0,16,0,0
C4_C1,atraso_relativo,16,3.0608024318896927,1.951132963459448,-1.1096694684302446,-1.2279602536430057,-0.9913786832174837,0,16,0,0
C4_C1,competencia_maxima_final,16,0.6784269160974062,0.9039569208486972,0.22553000475129098,0.20003920107914272,0.25102080842343927,16,0,0,0
C4_C1,competencia_maxima_inicial,16,0.6784269160974062,0.6784269160974062,0.0,0.0,0.0,0,0,16,0
C4_C1,competencia_minima_inicial,16,0.36053696648776334,0.36053696648776334,0.0,0.0,0.0,0,0,16,0
C4_C1,concluiu,16,1.0,1.0,0.0,0.0,0.0,0,0,16,0
C4_C1,confianca_media_final,16,0.25,0.7999999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,16,0,0,0
C4_C1,divida_latente_sobre_plano,16,0.1032721848447554,0.023647989448401532,-0.07962419539635385,-0.0883926271673996,-0.0708557636253081,0,16,0,0
C4_C1,dividas_pendentes,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1,extensoes_horizonte,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1,hiato_colega_capaz_sem_confianca,16,90.10416666666666,0.0,-90.10416666666666,-100.67370474055662,-79.5346285927767,0,16,0,0
C4_C1,hiato_encontrado,16,140.78125,17.671875,-123.10937499999999,-137.24351300387104,-108.97523699612894,0,16,0,0
C4_C1,hiato_sem_colega_capaz,16,50.677083333333336,6.817708333333334,-43.859375,-49.514924486540316,-38.203825513459684,0,16,0,0
C4_C1,hiato_sem_colega_livre,16,13.192708333333332,2.520833333333333,-10.671875,-14.478774895471282,-6.864975104528718,0,15,1,0
C4_C1,makespan,16,231.73958333333334,147.88541666666669,-83.85416666666666,-89.73679695761757,-77.97153637571574,0,16,0,0
C4_C1,makespan_cpm,16,77.1875,77.1875,0.0,0.0,0.0,0,0,16,0
C4_C1,n_adiamentos,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1,n_com_erro,16,18.75,4.911458333333334,-13.838541666666668,-14.75095325144496,-12.926130081888376,0,16,0,0
C4_C1,n_limpas,16,41.25,55.08854166666667,13.838541666666668,12.926130081888376,14.75095325144496,16,0,0,0
C4_C1,n_reportadas,16,2.96875,12.848958333333332,9.880208333333332,8.841598829588744,10.91881783707792,16,0,0,0
C4_C1,n_tarefas,16,60.0,60.0,0.0,0.0,0.0,0,0,16,0
C4_C1,ocupacao_retrabalho,16,107.4375,75.30208333333334,-32.13541666666667,-37.97134504448087,-26.299488288852473,1,15,0,0
C4_C1,p1_fuga,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1,p1_omissao,16,38.21875,21.276041666666668,-16.942708333333336,-18.78936096330343,-15.09605570336324,0,16,0,0
C4_C1,p2_ajuda,16,0.0,10.854166666666666,10.854166666666666,9.920530420514337,11.787802912818995,16,0,0,0
C4_C1,p2_bloqueio,16,140.78125,6.817708333333334,-133.96354166666666,-148.5492804948424,-119.37780283849091,0,16,0,0
C4_C1,p3_analitica,16,21.78125,38.723958333333336,16.942708333333336,15.09605570336324,18.78936096330343,16,0,0,0
C4_C1,retrabalho_gerado,16,98.57459165903293,68.76327337379746,-29.811318285235473,-35.43994332047505,-24.182693249995893,1,15,0,0
C4_C1,retrabalho_pendente,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1,retrabalho_sobre_esforco_realizado,16,0.12144735548643036,0.11507812826865108,-0.006369227217779279,-0.013595187386641058,0.0008567329510825008,3,13,0,0
C4_C1,retrabalho_sobre_plano,16,0.2892036315045449,0.20142197973948067,-0.08778165176506426,-0.1037750106591072,-0.07178829287102133,1,15,0,0
C4_C1,tarefas_acima_da_competencia_maxima_inicial,16,14.541666666666666,14.541666666666666,0.0,0.0,0.0,0,0,16,0
C4_C1,tarefas_pendentes,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4_C1,taxa_omissao,16,0.3125,0.08185763888888889,-0.23064236111111114,-0.24584922085741603,-0.21543550136480624,0,16,0,0
C4_C1_Crowder,E_plano,16,339.25,339.25,0.0,0.0,0.0,0,0,16,0
C4_C1_Crowder,E_total,16,0.7067130346128633,0.7773500125319417,0.07063697791907847,0.05492316272865326,0.08635079310950368,15,1,0,0
C4_C1_Crowder,N_blocked,16,130.5625,0.0,-130.5625,-144.2341052398465,-116.89089476015349,0,16,0,0
C4_C1_Crowder,N_fail,16,0.0,10.078125,10.078125,8.29981135933224,11.85643864066776,16,0,0,0
C4_C1_Crowder,N_req,16,0.0,53.552083333333336,53.552083333333336,48.98521137577041,58.11895529089626,16,0,0,0
C4_C1_Crowder,N_success,16,0.0,43.47395833333333,43.47395833333333,39.52937946631072,47.418537200355935,16,0,0,0
