grupo,n,media_taxa_omissao,var_legado_taxa_omissao,var_pareada_taxa_omissao,media_atraso_relativo,var_legado_atraso_relativo,var_pareada_atraso_relativo,media_retrabalho_sobre_plano,var_legado_retrabalho_sobre_plano,var_pareada_retrabalho_sobre_plano,media_E_total,var_legado_E_total,var_pareada_E_total
F=0.12,64,0.06770833333333333,1.3761436287477955e-05,1.5225974462365592e-05,1.6220028772378519,7.62972448860944e-05,7.863982056110353e-05,0.20958335749368873,3.625038950047765e-05,4.820060850218115e-05,0.8535597827757306,8.987537291700925e-06,1.2271010559833916e-05
F=0.18,64,0.09322916666666667,1.814907820767196e-05,2.792303707437276e-05,1.6242274083546462,5.8626460808839746e-05,4.415785504680378e-05,0.19588895007706758,1.2603776077646582e-05,1.5797286536486417e-05,0.8591142173182428,4.9991033986563726e-06,7.098185392031272e-06
F=0.24,64,0.13098958333333333,2.1751982404651676e-05,2.5234427503360206e-05,1.6369831628303495,0.00010446097674864452,8.924161769125186e-05,0.20162371703176407,1.3873236625412158e-05,1.823337779981033e-05,0.8545951662434687,4.156855730855327e-06,4.481926463447089e-06
