mu,seed,N,media,CV,erro_rel_media,erro_rel_CV,passou
0.0128,20260919,200000,0.012784449266702197,1.1232805670817103,0.001214901038890992,0.005946400812645636,True
0.0163,20260920,200000,0.016321290707200713,1.1273082132186143,0.0013061783558721007,0.0023821121959164415,True
0.0256,20260921,200000,0.025502318381208224,1.129088508841158,0.00381568823405376,0.000806629344107912,True
0.038400000000000004,20260922,200000,0.03840425897263425,1.1286068552162245,0.000110910745683368,0.0012328714900666782,True
0.05,20260923,200000,0.05018574427109139,1.1294851114882065,0.0037148854218276295,0.00045565355025967147,True
0.0512,20260924,200000,0.05139141387333629,1.1269952669460261,0.003738552213599311,0.0026590557999767173,True
0.09675,20260925,200000,0.09671402158595466,1.1291928985770745,0.0003718699126133984,0.0007142490468365903,True
0.1,20260926,200000,0.09997231959210896,1.1275921486892042,0.0002768040789103976,0.0021308418679607533,True
0.1024,20260927,200000,0.1021968006185574,1.133401472349845,0.001984368959400351,0.0030101525219867753,True
0.11835000000000001,20260928,200000,0.11849938929789909,1.1271647274027699,0.0012622669868955771,0.0025090907940088503,True
0.14925,20260929,200000,0.14914346283354565,1.1329182677185667,0.0007138168606656281,0.002582537804041385,True
0.15,20260930,200000,0.15035566210814838,1.1291394776925003,0.002371080720989349,0.0007615241659287841,True
0.1935,20260931,200000,0.19307371098363782,1.130807269964235,0.002203044012207722,0.0007143981984383263,True
0.2,20260932,200000,0.2003332759611725,1.1291468338143975,0.0016663798058624835,0.0007550143235419693,True
0.23670000000000002,20260933,200000,0.23627426638487933,1.1318632155572086,0.0017986211031715271,0.00164886332496339,True
0.25,20260934,200000,0.25022696040699594,1.1293661843814577,0.0009078416279837409,0.0005608987774708973,True
0.29025,20260935,200000,0.2912140135023681,1.127411806116804,0.003321321282921952,0.0022904370647751637,True
0.2985,20260936,200000,0.29968461665580987,1.1277781247397756,0.003968565011088332,0.001966261292233873,True
0.35505,20260937,200000,0.354636431354519,1.1302645192532437,0.0011648180410673836,0.0002340878347291131,True
0.387,20260938,200000,0.38627787703998157,1.1314964253244837,0.0018659508010812065,0.0013242701986582173,True
