base,heterogeneidade,metrica,estatuto,N_pares,media,ic95_inf,ic95_sup,N_instancias
historica_0.2,nenhuma,taxa_omissao,COMPLETO,16,-0.29791666666666666,-0.3476792104239295,-0.24815412290940378,4
historica_0.2,nenhuma,divida_latente_sobre_plano,COMPLETO,16,-0.08891753888973127,-0.1124407743528098,-0.06539430342665273,4
historica_0.2,nenhuma,taxa_falha_efetiva,COMPLETO,16,-0.01666666666666666,-0.0827462585728159,0.04941292523948257,4
historica_0.2,nenhuma,fracao_porta1,COMPLETO,16,-0.09375,-0.21630221155709334,0.028802211557093338,4
historica_0.25,beta_cv113,atraso_relativo,REJEITADA_DOMINIO,0,,,,0
historica_0.25,beta_cv113,taxa_omissao,REJEITADA_DOMINIO,0,,,,0
historica_0.25,beta_cv113,divida_latente_sobre_plano,REJEITADA_DOMINIO,0,,,,0
historica_0.25,beta_cv113,taxa_falha_efetiva,REJEITADA_DOMINIO,0,,,,0
historica_0.25,beta_cv113,fracao_porta1,REJEITADA_DOMINIO,0,,,,0
historica_0.25,nenhuma,atraso_relativo,COMPLETO,16,-1.01542743527617,-1.6879591872545656,-0.34289568329777453,4
historica_0.25,nenhuma,taxa_omissao,COMPLETO,16,-0.3489583333333333,-0.44494219511482064,-0.252974471551846,4
historica_0.25,nenhuma,divida_latente_sobre_plano,COMPLETO,16,-0.10910740290044478,-0.15275973704589244,-0.06545506875499713,4
historica_0.25,nenhuma,taxa_falha_efetiva,COMPLETO,16,-0.025000000000000012,-0.0734193785959212,0.023419378595921175,4
historica_0.25,nenhuma,fracao_porta1,COMPLETO,16,-0.05,-0.13559417736503665,0.03559417736503663,4
longo,beta_cv113,atraso_relativo,COMPLETO,16,-0.9844185761006665,-1.6792537878941134,-0.28958336430721965,4
longo,beta_cv113,taxa_omissao,COMPLETO,16,-0.12604166666666666,-0.15587710077870665,-0.0962062325546267,4
longo,beta_cv113,divida_latente_sobre_plano,COMPLETO,16,-0.05623695127093842,-0.08518250683242976,-0.027291395709447084,4
longo,beta_cv113,taxa_falha_efetiva,COMPLETO,16,-0.06979166666666667,-0.11616286029856515,-0.023420473034768192,4
longo,beta_cv113,fracao_porta1,COMPLETO,16,-0.17395833333333335,-0.2762961865093738,-0.07162048015729292,4
longo,nenhuma,atraso_relativo,COMPLETO,16,-1.076609324444245,-1.4517303854425014,-0.7014882634459885,4
longo,nenhuma,taxa_omissao,COMPLETO,16,-0.13229166666666667,-0.17705504829575133,-0.087528285037582,4
longo,nenhuma,divida_latente_sobre_plano,COMPLETO,16,-0.05968139436859289,-0.09992288349809661,-0.019439905239089166,4
longo,nenhuma,taxa_falha_efetiva,COMPLETO,16,-0.09270833333333334,-0.12710611896854207,-0.058310547698124604,4
longo,nenhuma,fracao_porta1,COMPLETO,16,-0.18958333333333333,-0.23238042201585163,-0.14678624465081502,4
