base,cenario,metrica,estatuto,N_pares,antes,depois,media,ic95_inf,ic95_sup,N_instancias
historica_0.2,centralizada,divida_latente_sobre_plano,REJEITADA_DOMINIO,0,,,,,,
historica_0.2,centralizada,taxa_falha_efetiva,REJEITADA_DOMINIO,0,,,,,,
historica_0.2,centralizada,fracao_porta1,REJEITADA_DOMINIO,0,,,,,,
historica_0.25,adaptativa,atraso_relativo,REJEITADA_DOMINIO,0,,,,,,
historica_0.25,adaptativa,taxa_omissao,REJEITADA_DOMINIO,0,,,,,,
historica_0.25,adaptativa,divida_latente_sobre_plano,REJEITADA_DOMINIO,0,,,,,,
historica_0.25,adaptativa,taxa_falha_efetiva,REJEITADA_DOMINIO,0,,,,,,
historica_0.25,adaptativa,fracao_porta1,REJEITADA_DOMINIO,0,,,,,,
historica_0.25,centralizada,atraso_relativo,REJEITADA_DOMINIO,0,,,,,,
historica_0.25,centralizada,taxa_omissao,REJEITADA_DOMINIO,0,,,,,,
historica_0.25,centralizada,divida_latente_sobre_plano,REJEITADA_DOMINIO,0,,,,,,
historica_0.25,centralizada,taxa_falha_efetiva,REJEITADA_DOMINIO,0,,,,,,
historica_0.25,centralizada,fracao_porta1,REJEITADA_DOMINIO,0,,,,,,
longo,adaptativa,atraso_relativo,COMPLETO,16,1.8178506372673657,1.8045891382868937,-0.01326149898047195,-0.16131296688668445,0.13478996892574052,4.0
longo,adaptativa,taxa_omissao,COMPLETO,16,0.03333333333333334,0.027083333333333334,-0.006250000000000001,-0.03304521586929541,0.020545215869295405,4.0
longo,adaptativa,divida_latente_sobre_plano,COMPLETO,16,0.015273123664292895,0.015067702039437766,-0.00020542162485512913,-0.008050513656725131,0.0076396704070148735,4.0
longo,adaptativa,taxa_falha_efetiva,COMPLETO,16,0.10833333333333334,0.11145833333333334,0.0031249999999999993,-0.058686798292662684,0.06493679829266269,4.0
longo,adaptativa,fracao_porta1,COMPLETO,16,0.3489583333333333,0.3614583333333333,0.012500000000000004,-0.06231538266881468,0.0873153826688147,4.0
longo,centralizada,atraso_relativo,COMPLETO,16,2.8944599617116107,2.78900771438756,-0.10545224732405038,-1.0039597407231622,0.7930552460750615,4.0
longo,centralizada,taxa_omissao,COMPLETO,16,0.16562500000000002,0.15312499999999998,-0.012500000000000004,-0.06181888666627341,0.0368188866662734,4.0
longo,centralizada,divida_latente_sobre_plano,COMPLETO,16,0.07495451803288578,0.07130465331037618,-0.003649864722509601,-0.019483969016634493,0.012184239571615293,4.0
longo,centralizada,taxa_falha_efetiva,COMPLETO,16,0.20104166666666667,0.18125,-0.01979166666666667,-0.07210224547010577,0.03251891213677244,4.0
longo,centralizada,fracao_porta1,COMPLETO,16,0.5385416666666667,0.5354166666666667,-0.0031249999999999924,-0.03246520579100782,0.026215205791007834,4.0
