metrica,configuracao,DEPOIS_centralizada,DEPOIS_adaptativa,DEPOIS_contraste,DEPOIS_pct_restante,ANTES_contraste,ANTES_pct_restante
atraso_relativo,assistencia_universal,2.9685762363947474,2.038805964693079,-0.9297702717016683,90.84924397845481,-0.8608231111996976,75.81677903069154
atraso_relativo,nominal,3.0608024318896927,2.0373813983341833,-1.0234210335555094,100.00000000000004,-1.1353992113688005,100.0
atraso_relativo,sem_assistencia,3.0608024318896927,2.1713302765539932,-0.8894721553356995,86.9116547512755,-0.8240320218928062,72.57641309257032
atraso_relativo,sem_filtro_competencia,3.0608024318896927,2.0451265171583835,-1.0156759147313092,99.24321285470438,,
E_total,assistencia_universal,0.6845568619955168,0.6559065827180666,-0.02865027927745023,56.34874730030109,-0.0094587093590887,-9.040059044270023
E_total,nominal,0.7067130346128632,0.6558684628165047,-0.050844571796358484,99.9999999999999,0.1046310573058051,100.0
E_total,sem_assistencia,0.7067130346128632,0.6632301789349546,-0.04348285567790855,85.52113655724165,-0.0477337878800722,-45.62105087073784
E_total,sem_filtro_competencia,0.7067130346128632,0.682662914566883,-0.024050120045980172,47.30125399089826,,
TL,assistencia_universal,93.84895833333334,102.84895833333333,8.999999999999986,8.749810116967934,0.515625,4.915590863952334
TL,nominal,0.0,102.859375,102.859375,100.0,10.489583333333334,100.0
TL,sem_assistencia,0.0,0.0,0.0,0.0,0.0,0.0
TL,sem_filtro_competencia,0.0,113.890625,113.890625,110.7245936503114,,
TU,assistencia_universal,47.234375,49.52083333333333,2.2864583333333286,-2.5054217555073572,-0.5052083333333333,0.4198770669206129
TU,nominal,140.78125,49.520833333333336,-91.26041666666666,100.0,-120.32291666666666,100.0
TU,sem_assistencia,140.78125,159.22916666666666,18.447916666666657,-20.214587375870323,18.93229166666667,-15.734568435633284
TU,sem_filtro_competencia,140.78125,13.03125,-127.75,139.98402008903093,,
TR,assistencia_universal,82.98235537373142,80.14206944001705,-2.8402859337143695,15.404556451579621,-7.1266068320691485,43.5707185971773
TR,nominal,98.57459165903293,80.13663180837382,-18.437959850659112,99.99999999999997,-16.356413347129973,100.0
TR,sem_assistencia,98.57459165903293,86.63721496852743,-11.937376690505502,64.74347914408094,-4.260127768209573,26.04561084265512
TR,sem_filtro_competencia,98.57459165903293,76.71945683281552,-21.85513482621741,118.53336813419806,,
TW,assistencia_universal,479.0416666666667,433.08333333333337,-45.958333333333314,34.91473113599493,-118.53645833333334,79.23339367776074
TW,nominal,564.6458333333333,433.015625,-131.63020833333326,99.99999999999994,-149.60416666666669,100.0
TW,sem_assistencia,564.6458333333333,474.18229166666663,-90.46354166666663,68.72551735053217,-123.80729166666669,82.75657986352876
TW,sem_filtro_competencia,564.6458333333333,427.82291666666663,-136.82291666666663,103.9449214576821,,
n_com_erro,assistencia_universal,16.713541666666664,5.052083333333333,-11.661458333333332,85.16546215290984,-8.619791666666666,93.7146092865232
n_com_erro,nominal,18.75,5.057291666666666,-13.692708333333334,100.0,-9.197916666666666,100.0
n_com_erro,sem_assistencia,18.75,5.3125,-13.4375,98.13617344998097,-8.994791666666668,97.7916194790487
n_com_erro,sem_filtro_competencia,18.75,4.96875,-13.78125,100.646633701027,,
taxa_omissao,assistencia_universal,0.27855902777777775,0.08420138888888885,-0.1943576388888889,85.16546215290984,-0.1436631944444444,93.71460928652324
taxa_omissao,nominal,0.3125,0.08428819444444441,-0.2282118055555556,100.0,-0.1532986111111111,100.0
taxa_omissao,sem_assistencia,0.3125,0.08854166666666663,-0.22395833333333337,98.13617344998097,-0.1499131944444444,97.7916194790487
taxa_omissao,sem_filtro_competencia,0.3125,0.08281249999999997,-0.22968750000000004,100.646633701027,,
retrabalho_sobre_plano,assistencia_universal,0.24425281876542956,0.23496887299328476,-0.009283945772144808,17.112931341642245,-0.021103846394824,43.39623029352007
retrabalho_sobre_plano,nominal,0.2892036315045449,0.2349525766338142,-0.05425105487073073,100.00000000000003,-0.0486305982157515,100.0
retrabalho_sobre_plano,sem_assistencia,0.2892036315045449,0.25399118358293515,-0.03521244792160977,64.9064760224735,-0.0129811604708254,26.693400754056228
retrabalho_sobre_plano,sem_filtro_competencia,0.2892036315045449,0.22538412895124826,-0.06381950255329666,117.63734862919368,,
divida_latente_sobre_plano,assistencia_universal,0.09199545778008075,0.025457608424232524,-0.06653784935584822,85.5082073521376,-0.0457529845343945,84.75458848892718
divida_latente_sobre_plano,nominal,0.10327218484475534,0.025457608424232524,-0.07781457642052281,100.0,-0.0539828997463328,100.0
divida_latente_sobre_plano,sem_assistencia,0.10327218484475534,0.027220075122535287,-0.07605210972222005,97.7350429965999,-0.0505353530803237,93.61363194232008
divida_latente_sobre_plano,sem_filtro_competencia,0.10327218484475534,0.024439479700648567,-0.07883270514410677,101.30840360561989,,
S_UR_maximo,assistencia_universal,31.25154181229606,8.667447708101468,-22.58409410419459,85.28880793499336,-15.528178409511217,84.90548949125436
S_UR_maximo,nominal,35.14699954028097,8.667447708101468,-26.479551832179503,100.0,-18.288780269161144,100.0
S_UR_maximo,sem_assistencia,35.14699954028097,9.255631756639843,-25.89136778364113,97.7787235514176,-17.106106707847104,93.53333823301335
S_UR_maximo,sem_filtro_competencia,35.14699954028097,8.298712826467916,-26.848286713813057,101.39252689762463,,
