configuracao,metrica,numero,ANTES,DEPOIS,delta,CONTROLE_mesmo_ambiente,delta_vs_controle
C4_C1,n_com_erro,media_centralizada,13.020833333333332,18.75,5.729166666666668,13.020833333333332,5.729166666666668
C4_C1,n_com_erro,media_adaptativa,3.8229166666666665,4.911458333333334,1.0885416666666674,3.8229166666666665,1.0885416666666674
C4_C1,n_com_erro,variacao_percentual,-70.64,-73.80555555555554,-3.1655555555555424,-70.64,-3.1655555555555424
C4_C1,n_com_erro,d_instancia,-7.815444732066754,-8.081920987935423,-0.2664762558686684,-7.815444732066754,-0.2664762558686684
C4_C1,n_com_erro,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1,n_com_erro,p_instancia,0.0004368090232114,3.0517578125e-05,-0.0004062914450864,3.0517578125e-05,0.0
C4_C1,taxa_omissao,media_centralizada,0.2170138888888888,0.3125,0.09548611111111119,0.21701388888888884,0.09548611111111116
C4_C1,taxa_omissao,media_adaptativa,0.0637152777777777,0.08185763888888886,0.018142361111111158,0.06371527777777775,0.018142361111111116
C4_C1,taxa_omissao,variacao_percentual,-70.64,-73.80555555555556,-3.1655555555555566,-70.64,-3.1655555555555566
C4_C1,taxa_omissao,d_instancia,-7.815444732066755,-8.081920987935426,-0.2664762558686711,-7.815444732066755,-0.2664762558686711
C4_C1,taxa_omissao,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1,taxa_omissao,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4_C1,divida_latente_sobre_plano,media_centralizada,0.0741273581498496,0.10327218484475534,0.029144826694905743,0.07412735814984966,0.029144826694905673
C4_C1,divida_latente_sobre_plano,media_adaptativa,0.0201444584035167,0.023647989448401484,0.003503531044884784,0.020144458403516783,0.003503531044884701
C4_C1,divida_latente_sobre_plano,variacao_percentual,-72.8245294230041,-77.1012983951579,-4.276768972153803,-72.8245294230041,-4.276768972153803
C4_C1,divida_latente_sobre_plano,d_instancia,-6.725609296516638,-4.838805829951858,1.8868034665647802,-6.725609296516638,1.8868034665647802
C4_C1,divida_latente_sobre_plano,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4_C1,divida_latente_sobre_plano,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4_C1,atraso_relativo,media_centralizada,3.134532505799728,3.0608024318896927,-0.07373007391003528,3.1345325057997275,-0.07373007391003483
C4_C1,atraso_relativo,media_adaptativa,1.9991332944309277,1.9511329634594479,-0.04800033097147982,1.9991332944309277,-0.04800033097147982
