etapa,canal,tau_sat,s_transicao,cenario,metrica,censuradas,fracao_indefinida,media,ic95_inferior,ic95_superior,n_instancias,estatuto,valor_rotulado
grade,ativo,1.0,0.01,adaptativa,taxa_falha_efetiva,0,0,0.3083333333333333,0.2502805377809503,0.3663861288857163,4,COMPLETO,+0.308333 [COMPLETO]
grade,ativo,1.0,0.01,centralizada,taxa_falha_efetiva,7,0,0.2322916666666666,0.0292060649425914,0.4353772683907418,4,CENSURADO: 7 execucoes; nao terminal,+0.232292 [CENSURADO: 7 execucoes; nao terminal]
grade,ativo,1.0,0.01,adaptativa,fracao_porta1,0,0,0.2458333333333333,0.1079230767746642,0.3837435898920024,4,COMPLETO,+0.245833 [COMPLETO]
grade,ativo,1.0,0.01,centralizada,fracao_porta1,7,4,0.4291666666666666,0.0420765219434983,0.816256811389835,4,CENSURADO: 7 execucoes; nao terminal; INDEFINIDO/PARCIAL: 4 sem denominador,+0.429167 [CENSURADO: 7 execucoes; nao terminal; INDEFINIDO/PARCIAL: 4 sem denominador]
grade,ativo,1.0,0.25,adaptativa,atraso_relativo,0,0,1.9582766392216688,1.0172479058295578,2.89930537261378,4,COMPLETO,+1.958277 [COMPLETO]
grade,ativo,1.0,0.25,centralizada,atraso_relativo,0,0,3.0090263756150817,1.7499862280707976,4.268066523159366,4,COMPLETO,+3.009026 [COMPLETO]
grade,ativo,1.0,0.25,adaptativa,taxa_omissao,0,0,0.0614583333333333,0.0448830921599778,0.0780335745066888,4,COMPLETO,+0.061458 [COMPLETO]
grade,ativo,1.0,0.25,centralizada,taxa_omissao,0,0,0.26875,0.2232963486388513,0.3142036513611487,4,COMPLETO,+0.268750 [COMPLETO]
grade,ativo,1.0,0.25,adaptativa,divida_latente_sobre_plano,0,0,0.0233048256335251,0.010666556787717,0.0359430944793333,4,COMPLETO,+0.023305 [COMPLETO]
grade,ativo,1.0,0.25,centralizada,divida_latente_sobre_plano,0,0,0.0912896438634741,0.0639123172780608,0.1186669704488874,4,COMPLETO,+0.091290 [COMPLETO]
grade,ativo,1.0,0.25,adaptativa,taxa_falha_efetiva,0,0,0.259375,0.2237221738148104,0.2950278261851896,4,COMPLETO,+0.259375 [COMPLETO]
grade,ativo,1.0,0.25,centralizada,taxa_falha_efetiva,0,0,0.3072916666666667,0.2638573654326153,0.3507259679007181,4,COMPLETO,+0.307292 [COMPLETO]
grade,ativo,1.0,0.25,adaptativa,fracao_porta1,0,0,0.4302083333333333,0.3357633906707652,0.5246532759959014,4,COMPLETO,+0.430208 [COMPLETO]
grade,ativo,1.0,0.25,centralizada,fracao_porta1,0,0,0.5385416666666667,0.4532261238974551,0.6238572094358783,4,COMPLETO,+0.538542 [COMPLETO]
grade,ativo,1.0,0.6,adaptativa,atraso_relativo,0,0,1.688140476760244,0.6500011016339513,2.7262798518865363,4,COMPLETO,+1.688140 [COMPLETO]
grade,ativo,1.0,0.6,centralizada,atraso_relativo,0,0,2.7946730904413633,1.71953218068009,3.869814000202637,4,COMPLETO,+2.794673 [COMPLETO]
grade,ativo,1.0,0.6,adaptativa,taxa_omissao,0,0,0.0677083333333333,0.0426802680166299,0.0927363986500367,4,COMPLETO,+0.067708 [COMPLETO]
grade,ativo,1.0,0.6,centralizada,taxa_omissao,0,0,0.2520833333333333,0.1598161450321689,0.3443505216344977,4,COMPLETO,+0.252083 [COMPLETO]
grade,ativo,1.0,0.6,adaptativa,divida_latente_sobre_plano,0,0,0.0193105329449652,0.0140133572832169,0.0246077086067134,4,COMPLETO,+0.019311 [COMPLETO]
grade,ativo,1.0,0.6,centralizada,divida_latente_sobre_plano,0,0,0.0791275422664263,0.0504921921092659,0.1077628924235867,4,COMPLETO,+0.079128 [COMPLETO]
grade,ativo,1.0,0.6,adaptativa,taxa_falha_efetiva,0,0,0.2458333333333333,0.2064228144564517,0.2852438522102148,4,COMPLETO,+0.245833 [COMPLETO]
grade,ativo,1.0,0.6,centralizada,taxa_falha_efetiva,0,0,0.2916666666666667,0.1820526363328282,0.4012806970005051,4,COMPLETO,+0.291667 [COMPLETO]
grade,ativo,1.0,0.6,adaptativa,fracao_porta1,0,0,0.5666666666666667,0.5346402580663938,0.5986930752669395,4,COMPLETO,+0.566667 [COMPLETO]
grade,ativo,1.0,0.6,centralizada,fracao_porta1,0,0,0.6229166666666667,0.5596695773538505,0.6861637559794829,4,COMPLETO,+0.622917 [COMPLETO]
grade,ativo,1.4,0.01,adaptativa,atraso_relativo,0,0,2.580469587402721,1.8741582061838615,3.2867809686215805,4,COMPLETO,+2.580470 [COMPLETO]
grade,ativo,1.4,0.01,centralizada,atraso_relativo,11,0,177.08501647385373,80.7030279407795,273.46700500692793,4,CENSURADO: 11 execucoes; nao terminal,+177.085016 [CENSURADO: 11 execucoes; nao terminal]
grade,ativo,1.4,0.01,adaptativa,taxa_omissao,0,0,0.0739583333333333,0.0507529956906355,0.097163670976031,4,COMPLETO,+0.073958 [COMPLETO]
grade,ativo,1.4,0.01,centralizada,taxa_omissao,11,0,0.1197916666666666,-0.0270092098609018,0.2665925431942351,4,CENSURADO: 11 execucoes; nao terminal,+0.119792 [CENSURADO: 11 execucoes; nao terminal]
grade,ativo,1.4,0.01,adaptativa,divida_latente_sobre_plano,0,0,0.0237348709317331,0.0133914871700562,0.0340782546934101,4,COMPLETO,+0.023735 [COMPLETO]
grade,ativo,1.4,0.01,centralizada,divida_latente_sobre_plano,11,0,0.04499540445161,-0.0170557679985324,0.1070465769017525,4,CENSURADO: 11 execucoes; nao terminal,+0.044995 [CENSURADO: 11 execucoes; nao terminal]
grade,ativo,1.4,0.01,adaptativa,taxa_falha_efetiva,0,0,0.2979166666666666,0.2551195779841483,0.3407137553491849,4,COMPLETO,+0.297917 [COMPLETO]
grade,ativo,1.4,0.01,centralizada,taxa_falha_efetiva,11,0,0.1375,-0.0323995909449506,0.3073995909449506,4,CENSURADO: 11 execucoes; nao terminal,+0.137500 [CENSURADO: 11 execucoes; nao terminal]
grade,ativo,1.4,0.01,adaptativa,fracao_porta1,0,0,0.19375,0.0909656834304679,0.296534316569532,4,COMPLETO,+0.193750 [COMPLETO]
grade,ativo,1.4,0.01,centralizada,fracao_porta1,11,8,,,,4,CENSURADO: 11 execucoes; nao terminal; INDEFINIDO/PARCIAL: 8 sem denominador,NA [CENSURADO: 11 execucoes; nao terminal; INDEFINIDO/PARCIAL: 8 sem denominador]
grade,ativo,1.4,0.25,adaptativa,atraso_relativo,0,0,2.1753653568597535,1.350648536004626,3.000082177714881,4,COMPLETO,+2.175365 [COMPLETO]
grade,ativo,1.4,0.25,centralizada,atraso_relativo,0,0,3.3736151462237576,2.6545105847772557,4.09271970767026,4,COMPLETO,+3.373615 [COMPLETO]
grade,ativo,1.4,0.25,adaptativa,taxa_omissao,0,0,0.0624999999999999,0.0153066274522111,0.1096933725477888,4,COMPLETO,+0.062500 [COMPLETO]
grade,ativo,1.4,0.25,centralizada,taxa_omissao,0,0,0.2916666666666666,0.2015688840953543,0.3817644492379789,4,COMPLETO,+0.291667 [COMPLETO]
grade,ativo,1.4,0.25,adaptativa,divida_latente_sobre_plano,0,0,0.0186634010164336,0.0097400013574969,0.0275868006753704,4,COMPLETO,+0.018663 [COMPLETO]
grade,ativo,1.4,0.25,centralizada,divida_latente_sobre_plano,0,0,0.0948008527256797,0.0527541861062059,0.1368475193451534,4,COMPLETO,+0.094801 [COMPLETO]
grade,ativo,1.4,0.25,adaptativa,taxa_falha_efetiva,0,0,0.2677083333333333,0.1832558936170692,0.3521607730495974,4,COMPLETO,+0.267708 [COMPLETO]
grade,ativo,1.4,0.25,centralizada,taxa_falha_efetiva,0,0,0.35,0.2490133792390005,0.4509866207609994,4,COMPLETO,+0.350000 [COMPLETO]
grade,ativo,1.4,0.25,adaptativa,fracao_porta1,0,0,0.2802083333333334,0.2005781421458252,0.3598385245208416,4,COMPLETO,+0.280208 [COMPLETO]
grade,ativo,1.4,0.25,centralizada,fracao_porta1,0,0,0.509375,0.4480391417881641,0.5707108582118359,4,COMPLETO,+0.509375 [COMPLETO]
grade,ativo,1.4,0.6,adaptativa,atraso_relativo,0,0,1.8219741796413451,0.7388173383577805,2.90513102092491,4,COMPLETO,+1.821974 [COMPLETO]
grade,ativo,1.4,0.6,centralizada,atraso_relativo,0,0,2.7753122927915124,1.2883829814445436,4.262241604138481,4,COMPLETO,+2.775312 [COMPLETO]
grade,ativo,1.4,0.6,adaptativa,taxa_omissao,0,0,0.071875,0.0528314977396365,0.0909185022603634,4,COMPLETO,+0.071875 [COMPLETO]
grade,ativo,1.4,0.6,centralizada,taxa_omissao,0,0,0.2583333333333333,0.2489569609865475,0.267709705680119,4,COMPLETO,+0.258333 [COMPLETO]
grade,ativo,1.4,0.6,adaptativa,divida_latente_sobre_plano,0,0,0.0216799367648657,0.0172558078971253,0.0261040656326062,4,COMPLETO,+0.021680 [COMPLETO]
grade,ativo,1.4,0.6,centralizada,divida_latente_sobre_plano,0,0,0.0886753956079982,0.0612975672208178,0.1160532239951786,4,COMPLETO,+0.088675 [COMPLETO]
grade,ativo,1.4,0.6,adaptativa,taxa_falha_efetiva,0,0,0.2708333333333333,0.1723442228936116,0.3693224437730549,4,COMPLETO,+0.270833 [COMPLETO]
