metrica,configuracao,DEPOIS_centralizada,DEPOIS_adaptativa,DEPOIS_contraste,DEPOIS_pct_restante,ANTES_contraste,ANTES_pct_restante
atraso_relativo,assistencia_universal,2.7382333053163057,1.882539787581829,-0.8556935177344767,74.14769800480568,-0.8608231111996976,75.81677903069154
atraso_relativo,nominal,3.0365790103221184,1.882539787581829,-1.1540392227402894,99.99999999999997,-1.1353992113688005,100.0
atraso_relativo,sem_assistencia,3.0365790103221184,2.0918584899456736,-0.9447205203764448,81.86208074741054,-0.8240320218928062,72.57641309257032
atraso_relativo,sem_filtro_competencia,3.0365790103221184,1.9572529371751566,-1.0793260731469618,93.52594364895849,,
E_total,assistencia_universal,0.8741434363699168,0.8655583734230685,-0.008585062946848243,-6.549336060258394,-0.0094587093590887,-9.040059044270023
E_total,nominal,0.7344754229093101,0.8655583734230685,0.1310829505137584,100.00000000000003,0.1046310573058051,100.0
E_total,sem_assistencia,0.7344754229093101,0.6863764350566895,-0.04809898785262057,-36.69354989653832,-0.0477337878800722,-45.62105087073784
E_total,sem_filtro_competencia,0.7344754229093101,0.8505243337313753,0.11604891082206514,88.5308961746972,,
TL,assistencia_universal,8.572916666666666,9.135416666666666,0.5625,6.1573546180159635,0.515625,4.915590863952334
TL,nominal,0.0,9.135416666666666,9.135416666666666,100.0,10.489583333333334,100.0
TL,sem_assistencia,0.0,0.0,0.0,0.0,0.0,0.0
TL,sem_filtro_competencia,0.0,8.234375,8.234375,90.13683010262258,,
TU,assistencia_universal,15.958333333333334,17.010416666666664,1.0520833333333304,-0.8502757082123139,-0.5052083333333333,0.4198770669206129
TU,nominal,140.74479166666666,17.010416666666664,-123.734375,100.0,-120.32291666666666,100.0
TU,sem_assistencia,140.74479166666666,157.984375,17.239583333333343,-13.932735614766182,18.93229166666667,-15.734568435633284
TU,sem_filtro_competencia,140.74479166666666,26.921875000000004,-113.82291666666666,91.9897293429305,,
TR,assistencia_universal,60.2651900184462,51.49204745819196,-8.773142560254236,56.0585759215828,-7.1266068320691485,43.5707185971773
TR,nominal,67.14200362640875,51.49204745819196,-15.64995616821679,100.00000000000006,-16.356413347129973,100.0
TR,sem_assistencia,67.14200362640875,62.49232850743926,-4.6496751189694905,29.710467358448156,-4.260127768209573,26.04561084265512
TR,sem_filtro_competencia,67.14200362640875,54.41407407129182,-12.72792955511693,81.32885113739715,,
TW,assistencia_universal,585.2916666666667,497.35937499999994,-87.9322916666668,133.45190103549146,-118.53645833333334,79.23339367776074
TW,nominal,563.25,497.35937499999994,-65.89062500000006,100.00000000000006,-149.60416666666669,100.0
TW,sem_assistencia,563.25,472.875,-90.375,137.15911785629592,-123.80729166666669,82.75657986352876
TW,sem_filtro_competencia,563.25,496.84375,-66.40625,100.78254683424232,,
n_com_erro,assistencia_universal,12.515625,3.5729166666666665,-8.942708333333334,90.03670686942843,-8.619791666666666,93.7146092865232
n_com_erro,nominal,13.505208333333334,3.5729166666666665,-9.932291666666668,100.00000000000001,-9.197916666666666,100.0
n_com_erro,sem_assistencia,13.505208333333334,3.9322916666666665,-9.572916666666668,96.3817514420556,-8.994791666666668,97.7916194790487
n_com_erro,sem_filtro_competencia,13.505208333333334,3.802083333333333,-9.703125,97.69271106449922,,
taxa_omissao,assistencia_universal,0.20859374999999997,0.05954861111111108,-0.14904513888888887,90.03670686942841,-0.1436631944444444,93.71460928652324
taxa_omissao,nominal,0.22508680555555552,0.05954861111111108,-0.16553819444444445,100.0,-0.1532986111111111,100.0
taxa_omissao,sem_assistencia,0.22508680555555552,0.06553819444444442,-0.1595486111111111,96.38175144205557,-0.1499131944444444,97.7916194790487
taxa_omissao,sem_filtro_competencia,0.22508680555555552,0.06336805555555552,-0.16171875,97.6927110644992,,
retrabalho_sobre_plano,assistencia_universal,0.1772714685432597,0.15164107644381916,-0.02563039209944054,56.03082957655481,-0.021103846394824,43.39623029352007
retrabalho_sobre_plano,nominal,0.19738445074889133,0.15164107644381916,-0.045743374305072165,100.00000000000003,-0.0486305982157515,100.0
retrabalho_sobre_plano,sem_assistencia,0.19738445074889133,0.18341491866822837,-0.013969532080662955,30.538919117547426,-0.0129811604708254,26.693400754056228
retrabalho_sobre_plano,sem_filtro_competencia,0.19738445074889133,0.15991188061313621,-0.03747257013575511,81.91912097660895,,
divida_latente_sobre_plano,assistencia_universal,0.06908756679166526,0.019580624788310748,-0.049506942003354516,87.22432459450823,-0.0457529845343945,84.75458848892718
divida_latente_sobre_plano,nominal,0.07633880805141341,0.019580624788310748,-0.05675818326310266,99.99999999999999,-0.0539828997463328,100.0
divida_latente_sobre_plano,sem_assistencia,0.07633880805141341,0.02220598835003632,-0.054132819701377094,95.37447569532715,-0.0505353530803237,93.61363194232008
divida_latente_sobre_plano,sem_filtro_competencia,0.07633880805141341,0.02102422122785438,-0.055314586823559025,97.4565844842992,,
S_UR_maximo,assistencia_universal,23.43821274169946,6.62174295019606,-16.8164697915034,87.2065702509722,-15.528178409511217,84.90548949125436
S_UR_maximo,nominal,25.905232420206406,6.62174295019606,-19.283489470010345,100.0,-18.288780269161144,100.0
S_UR_maximo,sem_assistencia,25.905232420206406,7.545630241359214,-18.359602178847194,95.20892060225937,-17.106106707847104,93.53333823301335
S_UR_maximo,sem_filtro_competencia,25.905232420206406,7.152223900487582,-18.753008519718826,97.24904068261856,,
