modelo,metrica,grupo,parcela,pct_contraste
legado,E_total,portao_sem_rede,0.11146780951666206,106.53415189227724
legado,E_total,rede_sem_portao,-0.0516915601639147,-49.40364887342758
legado,E_total,portao_e_rede,0.04089703566921345,39.086898978459
legado,E_total,outros,0.003957772283842391,3.7825980026896793
legado,S_UR_maximo,portao_sem_rede,-0.2230684228699893,1.2197009291326637
legado,S_UR_maximo,rede_sem_portao,0.016784650722182715,-0.09177567052126001
legado,S_UR_maximo,portao_e_rede,-0.9596051384440824,5.246960837854152
legado,S_UR_maximo,outros,-17.122891358569284,93.6251139035346
legado,TL,portao_sem_rede,10.05208333333333,95.82919563058586
legado,TL,rede_sem_portao,-7.888609052210118e-31,-6.310887241768095e-30
legado,TL,portao_e_rede,0.4374999999999918,4.1708043694140216
legado,TL,outros,-5.206772513144357e-16,-4.963755325341192e-15
legado,TR,portao_sem_rede,-9.162930885719936,56.020416525654355
legado,TR,rede_sem_portao,-3.332836094372296,20.376325931852925
legado,TR,portao_e_rede,-2.9333546932005765,17.933972631691205
legado,TR,outros,-0.9272916738372756,5.669284910802196
legado,TU,portao_sem_rede,-117.30729166666666,97.49372348714397
legado,TU,rede_sem_portao,21.776041666666735,-18.09800017314524
legado,TU,portao_e_rede,-21.947916666666792,18.240844948489414
legado,TU,outros,-2.8437500000000524,2.363431737511948
legado,TW,portao_sem_rede,-30.437500000000025,20.345355800027868
legado,TW,rede_sem_portao,-124.6458333333329,83.31708675671882
legado,TW,portao_e_rede,4.6406249999989075,-3.1019356635558752
legado,TW,outros,0.8385416666662893,-0.5605068931901106
legado,atraso_relativo,portao_sem_rede,-0.2811315659888637,24.76059197275122
legado,atraso_relativo,rede_sem_portao,-0.3682789297942229,32.43607412323617
legado,atraso_relativo,portao_e_rede,-0.030235623487135106,2.662994934678884
legado,atraso_relativo,outros,-0.4557530920985835,40.14033896933418
legado,divida_latente_sobre_plano,portao_sem_rede,-0.0005490351957439885,1.0170539158212355
legado,divida_latente_sobre_plano,rede_sem_portao,7.752098443640802e-05,-0.14360285349759394
legado,divida_latente_sobre_plano,portao_e_rede,-0.002898511470265202,5.369314141858851
legado,divida_latente_sobre_plano,outros,-0.050612874064760206,93.7572347958177
legado,n_com_erro,portao_sem_rede,0.01562499999999789,-0.16987542468853967
legado,n_com_erro,rede_sem_portao,0.1562500000000036,-1.6987542468856565
legado,n_com_erro,portao_e_rede,-0.218750000000017,2.3782559456400456
legado,n_com_erro,outros,-9.151041666666666,99.49037372593429
legado,retrabalho_sobre_plano,portao_sem_rede,-0.026774815724558913,55.057549581790795
legado,retrabalho_sobre_plano,rede_sem_portao,-0.00973817903403875,20.024797948886068
legado,retrabalho_sobre_plano,portao_e_rede,-0.008874622020367507,18.24904966415369
legado,retrabalho_sobre_plano,outros,-0.003242981436786551,6.668602805170157
legado,taxa_omissao,portao_sem_rede,0.0002604166666666276,-0.16987542468854766
legado,taxa_omissao,rede_sem_portao,0.0026041666666667277,-1.698754246885661
legado,taxa_omissao,portao_e_rede,-0.0036458333333335754,2.3782559456400474
legado,taxa_omissao,outros,-0.1525173611111111,99.49037372593435
mvp,E_total,portao_sem_rede,0.13690991361920676,104.4452486632399
mvp,E_total,rede_sem_portao,-0.05377377907240098,-41.022710323229276
mvp,E_total,portao_e_rede,0.04227202474717095,32.24830123329748
