modelo,metrica,termo,ANTES_2x4_pct,DEPOIS_2x5_pct,nota
legado,E_total,SOMA_principais,104.49467712364611,73.63796828872152,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,E_total,SOMA_interacoes,-4.494677123646112,26.362031711276813,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,S_UR_maximo,SOMA_principais,161.6907270827003,160.66011424671908,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,S_UR_maximo,SOMA_interacoes,-61.69072708270035,-60.66011424671892,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,TL,SOMA_principais,99.00695134061569,95.08440913604767,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,TL,SOMA_interacoes,0.9930486593843126,4.9155908639522226,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,TR,SOMA_principais,105.46218559163988,110.0147094607517,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,TR,SOMA_interacoes,-5.462185591639849,-10.014709460751023,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,TU,SOMA_principais,102.57120595619428,89.54203099298762,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,TU,SOMA_interacoes,-2.57120595619427,10.457969007012471,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,TW,SOMA_principais,97.23576103606742,102.8686812421668,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,TW,SOMA_interacoes,2.7642389639325957,-2.868681242166081,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,atraso_relativo,SOMA_principais,118.85470614015344,113.4060126061409,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,atraso_relativo,SOMA_interacoes,-18.854706140153407,-13.406012606140427,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,divida_latente_sobre_plano,SOMA_principais,161.83737690168013,160.8535270325005,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
legado,divida_latente_sobre_plano,SOMA_interacoes,-61.83737690168013,-60.85352703250031,"bases diferentes: GN era absorvido em A; mudança de decomposição, não mudança automática de total"
