configuracao,metrica,numero,ANTES,DEPOIS,delta,CONTROLE_mesmo_ambiente,delta_vs_controle
C4,n_com_erro,media_centralizada,13.020833333333332,13.135416666666666,0.11458333333333393,13.020833333333332,0.11458333333333393
C4,n_com_erro,media_adaptativa,3.8229166666666665,3.786458333333333,-0.03645833333333348,3.8229166666666665,-0.03645833333333348
C4,n_com_erro,variacao_percentual,-70.64,-71.1736716891356,-0.5336716891356019,-70.64,-0.5336716891356019
C4,n_com_erro,d_instancia,-7.815444732066754,-8.883207345889874,-1.0677626138231195,-7.815444732066754,-1.0677626138231195
C4,n_com_erro,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4,n_com_erro,p_instancia,0.0004368090232114,3.0517578125e-05,-0.0004062914450864,3.0517578125e-05,0.0
C4,taxa_omissao,media_centralizada,0.2170138888888888,0.21892361111111108,0.001909722222222271,0.21701388888888884,0.0019097222222222432
C4,taxa_omissao,media_adaptativa,0.0637152777777777,0.06310763888888885,-0.000607638888888859,0.06371527777777775,-0.0006076388888889006
C4,taxa_omissao,variacao_percentual,-70.64,-71.17367168913562,-0.5336716891356161,-70.64,-0.5336716891356161
C4,taxa_omissao,d_instancia,-7.815444732066755,-8.883207345889879,-1.067762613823124,-7.815444732066755,-1.067762613823124
C4,taxa_omissao,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4,taxa_omissao,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4,divida_latente_sobre_plano,media_centralizada,0.0741273581498496,0.07464532435294624,0.0005179662030966453,0.07412735814984966,0.0005179662030965759
C4,divida_latente_sobre_plano,media_adaptativa,0.0201444584035167,0.01972450673306591,-0.0004199516704507904,0.020144458403516783,-0.00041995167045087364
C4,divida_latente_sobre_plano,variacao_percentual,-72.8245294230041,-73.57569693206459,-0.7511675090604939,-72.8245294230041,-0.7511675090604939
C4,divida_latente_sobre_plano,d_instancia,-6.725609296516638,-6.025132973676202,0.7004763228404363,-6.725609296516638,0.7004763228404363
C4,divida_latente_sobre_plano,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4,divida_latente_sobre_plano,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4,atraso_relativo,media_centralizada,3.134532505799728,2.7847123229381294,-0.34982018286159855,3.1345325057997275,-0.3498201828615981
C4,atraso_relativo,media_adaptativa,1.9991332944309277,1.7288780963607047,-0.270255198070223,1.9991332944309277,-0.270255198070223
C4,atraso_relativo,variacao_percentual,-36.222282246810536,-37.915378830349766,-1.69309658353923,-36.222282246810536,-1.69309658353923
C4,atraso_relativo,d_instancia,-5.54647837551483,-4.2385772772348504,1.30790109827998,-5.546478375514831,1.3079010982799808
C4,atraso_relativo,favoraveis_instancia,1.0,1.0,0.0,1.0,0.0
C4,atraso_relativo,p_instancia,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,0.0
C4,E_total,media_centralizada,0.7839008771073722,0.7318196434857358,-0.052081233621636414,0.7839008771073722,-0.052081233621636414
C4,E_total,media_adaptativa,0.8885319344131772,0.8646187306955574,-0.023913203717619846,0.8885319344131772,-0.023913203717619846
