fonte,modelo,metrica,termo,numero,ANTES,DEPOIS,delta,CONTROLE_mesmo_ambiente,delta_vs_controle
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,ABD,parcela_media,0.0,1.769030051699297e-15,1.769030051699297e-15,1.769030051699297e-15,0.0
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,ABD,pct_do_contraste,-0.0,-1.558068769104227e-13,-1.558068769104227e-13,-1.558068769104227e-13,0.0
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,ABD,p_valor,,,,,
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,ABD,n_instancias,16.0,16.0,0.0,16.0,0.0
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,ACD,parcela_media,-0.0019140695827911,-0.0019140695827905823,5.175981171445798e-16,-0.0019140695827905823,0.0
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,ACD,pct_do_contraste,0.1685811971353806,0.16858119713532674,-5.387357226993572e-14,0.16858119713532674,0.0
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,ACD,p_valor,0.781951904296875,0.781951904296875,0.0,0.781951904296875,0.0
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,ACD,n_instancias,16.0,16.0,0.0,16.0,0.0
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,BCD,parcela_media,0.0,-1.1215571940833597e-15,-1.1215571940833597e-15,-1.1215571940833597e-15,0.0
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,BCD,pct_do_contraste,-0.0,9.878086780871081e-14,9.878086780871081e-14,9.878086780871081e-14,0.0
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,BCD,p_valor,,,,,
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,BCD,n_instancias,16.0,16.0,0.0,16.0,0.0
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,ABCD,parcela_media,1.3877787807814457e-17,-3.201379327626154e-15,-3.2152571154339684e-15,-3.201379327626154e-15,0.0
modelo_10_fatorial_decomposicao.csv,legado,atraso_relativo,ABCD,pct_do_contraste,-1.222282671051343e-15,2.8196067916646475e-13,2.831829618375161e-13,2.8196067916646475e-13,0.0
