configuracao,metrica,n_instancias,media_centralizada,media_adaptativa,media_diferenca,ic95_inferior,ic95_superior,n_positivo,n_negativo,n_zero,n_pares_censurados
centro_fator_1.0,TW,4,657.0,541.6875,-115.3125,-166.84984809649552,-63.77515190350447,0,4,0,0
centro_fator_1.0,atraso_relativo,4,3.4199131718540454,2.2345779396808303,-1.1853352321732151,-1.3873160561740157,-0.9833544081724145,0,4,0,0
centro_fator_1.0,competencia_maxima_final,4,0.7115921506366745,0.8728576291998718,0.16126547856319712,0.09856894706580184,0.2239620100605924,4,0,0,0
centro_fator_1.0,competencia_maxima_inicial,4,0.7115921506366745,0.7115921506366745,0.0,0.0,0.0,0,0,4,0
centro_fator_1.0,competencia_minima_inicial,4,0.34492122943841474,0.34492122943841474,0.0,0.0,0.0,0,0,4,0
centro_fator_1.0,concluiu,4,1.0,1.0,0.0,0.0,0.0,0,0,4,0
centro_fator_1.0,confianca_media_final,4,0.25,0.7999999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,4,0,0,0
centro_fator_1.0,divida_latente_sobre_plano,4,0.08772198436340305,0.020819292851505744,-0.06690269151189729,-0.09462415494018953,-0.03918122808360505,0,4,0,0
centro_fator_1.0,dividas_pendentes,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_fator_1.0,extensoes_horizonte,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_fator_1.0,hiato_colega_capaz_sem_confianca,4,81.625,0.0,-81.625,-138.38776466072926,-24.862235339270747,0,4,0,0
centro_fator_1.0,hiato_encontrado,4,118.625,22.875,-95.75,-168.02011958972525,-23.47988041027476,0,4,0,0
centro_fator_1.0,hiato_sem_colega_capaz,4,37.0,15.1875,-21.8125,-39.220386141094096,-4.404613858905908,0,4,0,0
centro_fator_1.0,hiato_sem_colega_livre,4,4.0,6.5625,2.5625,0.49863286188747624,4.626367138112524,4,0,0,0
centro_fator_1.0,makespan,4,284.25,184.125,-100.125,-133.95252928422173,-66.29747071577827,0,4,0,0
centro_fator_1.0,makespan_cpm,4,84.5,84.5,0.0,0.0,0.0,0,0,4,0
centro_fator_1.0,n_adiamentos,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_fator_1.0,n_com_erro,4,17.5625,4.125,-13.4375,-15.649409886084166,-11.225590113915834,0,4,0,0
centro_fator_1.0,n_limpas,4,42.4375,55.875,13.4375,11.225590113915834,15.649409886084166,4,0,0,0
centro_fator_1.0,n_reportadas,4,2.1875,14.5,12.3125,10.676329742098778,13.948670257901222,4,0,0,0
centro_fator_1.0,n_tarefas,4,60.0,60.0,0.0,0.0,0.0,0,0,4,0
centro_fator_1.0,ocupacao_retrabalho,4,99.9375,82.9375,-17.0,-29.800036151798356,-4.199963848201644,0,4,0,0
centro_fator_1.0,p1_fuga,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_fator_1.0,p1_omissao,4,34.875,20.75,-14.125,-21.883062834932442,-6.366937165067559,0,4,0,0
centro_fator_1.0,p2_ajuda,4,0.0,7.6875,7.6875,5.4051669317680835,9.969833068231917,4,0,0,0
centro_fator_1.0,p2_bloqueio,4,118.625,15.1875,-103.4375,-177.45886752091693,-29.416132479083075,0,4,0,0
centro_fator_1.0,p3_analitica,4,25.125,39.25,14.125,6.366937165067559,21.883062834932442,4,0,0,0
centro_fator_1.0,retrabalho_gerado,4,91.02653826859967,74.72092557937368,-16.305612689225963,-26.983756164169563,-5.627469214282362,0,4,0,0
centro_fator_1.0,retrabalho_pendente,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
centro_fator_1.0,retrabalho_sobre_esforco_realizado,4,0.10565040923976632,0.11680289216220456,0.011152482922438235,-0.003832823674359857,0.02613778951923633,3,1,0,0
centro_fator_1.0,retrabalho_sobre_plano,4,0.2744586847363365,0.22547130541042681,-0.04898737932590971,-0.08057053098415745,-0.01740422766766197,0,4,0,0
centro_fator_1.0,tarefas_acima_da_competencia_maxima_inicial,4,10.0,10.0,0.0,0.0,0.0,0,0,4,0
