grupo,instancia,semente,risco.F_ancora,retrabalho.f_retrabalho,agentes.tau_sat,agentes.k_heuristico,fuzzy.mu_minimo,taxa_omissao,atraso_relativo,retrabalho_sobre_plano,E_total,TL,TU,TW,TR,concluiu,divida_pendente,violacoes,makespan,tau_portao,tau_rede
ponto=0,j6010_1.sm,0,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.016666666666666666,1.7647058823529411,0.10927567446181605,0.9092548985892092,12.0,5.0,524.0,35.29604285116658,True,0,0,150,,
ponto=0,j6010_1.sm,1,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.08333333333333333,1.8588235294117648,0.10803844363592734,0.9161258736078224,10.0,5.0,545.0,34.89641729440453,True,0,0,158,,
ponto=0,j6010_1.sm,2,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.05,2.0823529411764707,0.14703593416590716,0.9052413839103988,12.0,3.0,597.0,47.49260673558801,True,0,0,177,,
ponto=0,j6010_1.sm,3,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.05,2.1294117647058823,0.13564632018151893,0.9121122651889337,11.0,3.0,600.0,43.81376141863061,True,0,0,181,,
ponto=0,j6010_1.sm,4,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.05,2.164705882352941,0.13500297628323274,0.9088137688759559,15.0,3.0,614.0,43.605961339484175,True,0,0,184,,
ponto=0,j6010_1.sm,5,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.15,2.2941176470588234,0.22941312981073944,0.8719227027452496,15.0,3.0,627.0,74.10044092886884,True,0,0,195,,
ponto=0,j6010_1.sm,6,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.06666666666666667,1.8823529411764706,0.12035479783163343,0.9044673854390087,12.0,5.0,529.0,38.8745996996176,True,0,0,160,,
ponto=0,j6010_1.sm,7,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.03333333333333333,2.0352941176470587,0.11408476336568114,0.9134183311817463,10.0,5.0,547.0,36.84937856711501,True,0,0,173,,
ponto=0,j6010_1.sm,8,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.1,2.0823529411764707,0.20517830697450487,0.8659968282554552,17.0,4.0,564.0,66.27259315276507,True,0,0,177,,
ponto=0,j6010_1.sm,9,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.03333333333333333,1.6470588235294117,0.08441603596556806,0.9176925878049622,13.0,7.0,527.0,27.26637961687848,True,0,0,140,,
ponto=0,j6010_1.sm,10,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.016666666666666666,1.9764705882352942,0.12383660818819672,0.9081335908249096,17.0,4.0,603.0,39.999224444787544,True,0,0,168,,
ponto=0,j6010_1.sm,11,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.05,2.1882352941176473,0.21057162504155275,0.8727621704482499,15.0,3.0,590.0,68.01463488842154,True,0,0,186,,
ponto=0,j6010_1.sm,12,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.08333333333333333,1.6352941176470588,0.10792251822341765,0.9079624234765975,9.0,5.0,482.0,34.8589733861639,True,0,0,139,,
ponto=0,j6010_1.sm,13,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.05,1.8470588235294119,0.08852420681505788,0.919550614774181,12.0,7.0,544.0,28.593318801263695,True,0,0,157,,
ponto=0,j6010_1.sm,14,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.11666666666666667,2.0941176470588236,0.20778893049538877,0.868112950910333,17.0,4.0,580.0,67.11582455001057,True,0,0,178,,
ponto=0,j6010_1.sm,15,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.016666666666666666,1.9058823529411764,0.09554062047330784,0.9142130469647116,14.0,6.0,542.0,30.859620412878435,True,0,0,162,,
ponto=0,j6010_1.sm,16,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.08333333333333333,2.0588235294117645,0.19254155946079587,0.8848224871817004,12.0,3.0,593.0,62.190923705837065,True,0,0,175,,
ponto=0,j6010_1.sm,17,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.05,1.988235294117647,0.18590721345591218,0.8670313720093955,16.0,6.0,535.0,60.04802994625964,True,0,0,169,,
ponto=0,j6010_1.sm,18,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.03333333333333333,1.988235294117647,0.13831658548631007,0.8954602566874301,15.0,5.0,554.0,44.676257112078154,True,0,0,169,,
ponto=0,j6010_1.sm,19,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.08333333333333333,2.1882352941176473,0.1459777158617266,0.9019036008008479,15.0,3.0,599.0,47.15080222333769,True,0,0,186,,
ponto=0,j6010_1.sm,20,0.1088205091758658,0.4346215742836464,1.096005838699082,0.0711929408614906,0.4414343678546449,0.08333333333333333,2.2,0.13100510128018805,0.9140161849102881,10.0,3.0,588.0,42.31464771350074,True,0,0,187,,
