cenario,oportunidades,execucoes,taxa_P1_por_oportunidade,taxa_P1_entre_execucoes,q_medio_oportunidades,q_condicional_P1,q_medio_execucoes,q_condicional_P1_executada
adaptativa,2910,960,0.19106529209621992,0.5791666666666667,0.11314719838405109,0.5851762537534578,0.3403539732931745,0.5851762537534578
centralizada,2749,960,0.2353583121134958,0.6739583333333333,0.165153812887387,0.6963158729487863,0.46969441811755286,0.6963158729487863
