cenario,concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,E_plano,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,competencia_maxima_final,semente,atraso_relativo,tarefas_pendentes,dividas_pendentes,N_req,N_fail,N_blocked,N_success,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,confianca_media_final
adaptativa,1.0,154.359375,77.1875,0.6558684628165047,9.020562075079397e-17,8.667447708101468,307.578125,433.015625,102.859375,49.520833333333336,80.13663180837382,54.942708333333336,5.057291666666667,14.078125,0.0,0.08428819444444441,339.25,0.23495257663381422,0.02545760842423252,0.11844711411456003,31.229166666666668,0.0,102.859375,49.520833333333336,28.770833333333332,152.38020833333334,10.385416666666666,10.90625,0.020833333333333332,0.6784269160974062,0.36053696648776334,14.541666666666666,60.0,0.6784269160974062,5.5,2.0373813983341833,0.0,0.0,141.97395833333334,39.114583333333336,0.020833333333333332,102.859375,80.13663180837382,0.0,87.11458333333333,0.0,0.9363963210023942
centralizada,1.0,231.73958333333334,77.1875,0.7067130346128633,1.5491080640472887e-15,35.14699954028097,225.24479166666666,564.6458333333334,0.0,140.78125,98.57459165903293,41.25,18.75,2.96875,0.0,0.31249999999999994,339.25,0.2892036315045449,0.10327218484475535,0.12144735548643032,38.21875,0.0,0.0,140.78125,21.78125,140.78125,10.21875,13.192708333333334,130.5625,0.6784269160974062,0.36053696648776334,14.541666666666666,60.0,0.6784269160974062,5.5,3.0608024318896923,0.0,0.0,0.0,0.0,130.5625,0.0,98.57459165903293,0.0,107.4375,0.0,0.25
