ANTES_config,DEPOIS_config,cenario,metrica,ANTES,DEPOIS,delta,ic95_delta_inf,ic95_delta_sup,n_instancias
legado,controle_motor,adaptativa,competencia_minima_inicial,0.3605369664877633,0.3605369664877633,0.0,0.0,0.0,16
legado,controle_motor,centralizada,tarefas_acima_da_competencia_maxima_inicial,14.541666666666666,14.541666666666666,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,tarefas_acima_da_competencia_maxima_inicial,14.541666666666666,14.541666666666666,0.0,0.0,0.0,16
legado,controle_motor,centralizada,n_tarefas,60.0,60.0,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,n_tarefas,60.0,60.0,0.0,0.0,0.0,16
legado,controle_motor,centralizada,competencia_maxima_final,0.6784269160974062,0.6784269160974062,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,competencia_maxima_final,0.9040176605668715,0.9040176605668715,0.0,0.0,0.0,16
legado,controle_motor,centralizada,atraso_relativo,3.134532505799728,3.134532505799728,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,atraso_relativo,1.9991332944309275,1.9991332944309275,0.0,0.0,0.0,16
legado,controle_motor,centralizada,tarefas_pendentes,0.0,0.0,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,tarefas_pendentes,0.0,0.0,0.0,0.0,0.0,16
legado,controle_motor,centralizada,dividas_pendentes,0.0,0.0,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,dividas_pendentes,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,centralizada,concluiu,1.0,1.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,concluiu,1.0,1.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,centralizada,makespan,237.68229166666666,210.58854166666666,-27.09375,-34.90329145344534,-19.284208546554655,16
controle_motor,C4_tempo_apenas,adaptativa,makespan,151.90625,129.984375,-21.921875,-26.45594715659807,-17.38780284340193,16
controle_motor,C4_tempo_apenas,centralizada,makespan_cpm,77.1875,77.1875,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,makespan_cpm,77.1875,77.1875,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,centralizada,E_total,0.7839008771073722,0.7318196434857359,-0.05208123362163631,-0.06096955779693604,-0.04319290944633658,16
controle_motor,C4_tempo_apenas,adaptativa,E_total,0.8885319344131773,0.8825784118721476,-0.005953522541029786,-0.00876741562222144,-0.003139629459838133,16
controle_motor,C4_tempo_apenas,centralizada,S_UR_final,1.0125002688117963e-15,9.870576578308032e-16,-2.5442610980993142e-17,-6.427682414079721e-16,5.918830194459859e-16,16
controle_motor,C4_tempo_apenas,adaptativa,S_UR_final,1.7925475918427008e-17,2.544261098099317e-17,7.517135062566164e-18,-2.0383678612785424e-17,3.541794873791775e-17,16
controle_motor,C4_tempo_apenas,centralizada,S_UR_maximo,25.112262752683552,25.416481955759576,0.3042192030760217,-1.418247645515728,2.026686051667771,16
controle_motor,C4_tempo_apenas,adaptativa,S_UR_maximo,6.823482483522409,6.585722946665933,-0.23775953685647733,-0.9097382292744725,0.4342191555615178,16
controle_motor,C4_tempo_apenas,centralizada,S_PV_final,257.1979166666667,256.6875,-0.510416666666667,-5.075129281926412,4.0542959485930785,16
controle_motor,C4_tempo_apenas,adaptativa,S_PV_final,315.421875,316.3020833333333,0.8802083333333333,-1.2888977583959738,3.04931442506264,16
controle_motor,C4_tempo_apenas,centralizada,TW,696.796875,554.4739583333334,-142.32291666666666,-159.27023416299267,-125.37559917034066,16
controle_motor,C4_tempo_apenas,adaptativa,TW,547.1927083333334,492.5625,-54.63020833333333,-65.57175468457817,-43.6886619820885,16
controle_motor,C4_tempo_apenas,centralizada,TL,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,TL,10.489583333333334,10.776041666666666,0.28645833333333337,0.10019012414181563,0.47272654252485113,16
controle_motor,C4_tempo_apenas,centralizada,TU,126.265625,143.57291666666666,17.307291666666664,10.099889346888206,24.514693986445124,16
controle_motor,C4_tempo_apenas,adaptativa,TU,5.942708333333333,5.911458333333333,-0.031249999999999972,-0.616293059141083,0.553793059141083,16
controle_motor,C4_tempo_apenas,centralizada,TR,68.86531966000787,64.02010224312524,-4.845217416882646,-8.539640836455408,-1.1507939973098824,16
controle_motor,C4_tempo_apenas,adaptativa,TR,52.50890631287791,49.05746488425327,-3.4514414286246407,-5.315690769915877,-1.5871920873334047,16
controle_motor,C4_tempo_apenas,centralizada,n_limpas,46.979166666666664,46.864583333333336,-0.11458333333333337,-0.7647569300371102,0.5355902633704435,16
controle_motor,C4_tempo_apenas,adaptativa,n_limpas,56.177083333333336,56.296875,0.11979166666666667,-0.1661395430127784,0.40572287634611176,16
controle_motor,C4_tempo_apenas,centralizada,n_com_erro,13.020833333333334,13.135416666666666,0.11458333333333337,-0.5355902633704435,0.7647569300371102,16
controle_motor,C4_tempo_apenas,adaptativa,n_com_erro,3.8229166666666665,3.703125,-0.11979166666666667,-0.40572287634611176,0.1661395430127784,16
controle_motor,C4_tempo_apenas,centralizada,n_reportadas,2.140625,1.8645833333333333,-0.2760416666666667,-0.5086044015809812,-0.04347893175235218,16
controle_motor,C4_tempo_apenas,adaptativa,n_reportadas,9.989583333333334,9.901041666666666,-0.08854166666666667,-0.4311506300658626,0.2540672967325292,16
controle_motor,C4_tempo_apenas,centralizada,n_adiamentos,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,n_adiamentos,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,centralizada,taxa_omissao,0.21701388888888887,0.2189236111111111,0.001909722222222219,-0.008926504389507393,0.012745948833951831,16
controle_motor,C4_tempo_apenas,adaptativa,taxa_omissao,0.06371527777777775,0.06171874999999997,-0.001996527777777778,-0.0067620479391018624,0.002768992383546306,16
controle_motor,C4_tempo_apenas,centralizada,E_plano,339.25,339.25,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,E_plano,339.25,339.25,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,centralizada,retrabalho_sobre_plano,0.2030987730702701,0.1879349277065485,-0.015163845363721578,-0.026063077119864806,-0.004264613607578349,16
controle_motor,C4_tempo_apenas,adaptativa,retrabalho_sobre_plano,0.1544681748545185,0.14447614638981268,-0.009992028464705826,-0.015608602795658372,-0.00437545413375328,16
controle_motor,C4_tempo_apenas,centralizada,divida_latente_sobre_plano,0.07412735814984966,0.07464532435294624,0.0005179662030965638,-0.004523629345636422,0.005559561751829549,16
controle_motor,C4_tempo_apenas,adaptativa,divida_latente_sobre_plano,0.020144458403516783,0.019401928994244422,-0.0007425294092723606,-0.0026831458725421883,0.0011980870539974671,16
controle_motor,C4_tempo_apenas,centralizada,retrabalho_sobre_esforco_realizado,0.07700442375652732,0.0834694588475936,0.006465035091066303,0.0018705585918151945,0.01105951159031741,16
controle_motor,C4_tempo_apenas,adaptativa,retrabalho_sobre_esforco_realizado,0.08461401738680607,0.08739641032605543,0.0027823929392493257,0.00014184818848985694,0.005422937690008794,16
controle_motor,C4_tempo_apenas,centralizada,p1_omissao,38.640625,36.1875,-2.453125,-3.5897557020965754,-1.3164942979034246,16
controle_motor,C4_tempo_apenas,adaptativa,p1_omissao,19.166666666666668,18.489583333333332,-0.6770833333333334,-1.2679395168176972,-0.0862271498489694,16
controle_motor,C4_tempo_apenas,centralizada,p1_fuga,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,p1_fuga,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,centralizada,p2_ajuda,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,p2_ajuda,10.489583333333334,10.776041666666666,0.28645833333333337,0.10019012414181563,0.47272654252485113,16
controle_motor,C4_tempo_apenas,centralizada,p2_bloqueio,126.265625,143.57291666666666,17.307291666666664,10.099889346888206,24.514693986445124,16
controle_motor,C4_tempo_apenas,adaptativa,p2_bloqueio,5.942708333333333,5.911458333333333,-0.031249999999999972,-0.616293059141083,0.553793059141083,16
controle_motor,C4_tempo_apenas,centralizada,p3_analitica,21.359375,23.8125,2.453125,1.3164942979034246,3.5897557020965754,16
controle_motor,C4_tempo_apenas,adaptativa,p3_analitica,40.833333333333336,41.510416666666664,0.6770833333333334,0.0862271498489694,1.2679395168176972,16
controle_motor,C4_tempo_apenas,centralizada,hiato_encontrado,126.265625,143.57291666666666,17.307291666666664,10.099889346888206,24.514693986445124,16
controle_motor,C4_tempo_apenas,adaptativa,hiato_encontrado,16.432291666666668,16.6875,0.25520833333333337,-0.37870731069739005,0.8891239773640568,16
controle_motor,C4_tempo_apenas,centralizada,hiato_sem_colega_capaz,44.84375,49.677083333333336,4.833333333333334,2.3968943511228846,7.269772315543783,16
controle_motor,C4_tempo_apenas,adaptativa,hiato_sem_colega_capaz,5.942708333333333,5.911458333333333,-0.031249999999999972,-0.616293059141083,0.553793059141083,16
controle_motor,C4_tempo_apenas,centralizada,hiato_sem_colega_livre,11.385416666666666,11.473958333333334,0.08854166666666663,-0.9853505816577214,1.1624339149910545,16
controle_motor,C4_tempo_apenas,adaptativa,hiato_sem_colega_livre,1.9479166666666667,1.8385416666666667,-0.10937500000000001,-0.7295062282871075,0.5107562282871075,16
controle_motor,C4_tempo_apenas,centralizada,hiato_colega_capaz_sem_confianca,81.421875,93.89583333333333,12.473958333333334,7.502724923445576,17.44519174322109,16
controle_motor,C4_tempo_apenas,adaptativa,hiato_colega_capaz_sem_confianca,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,centralizada,competencia_maxima_inicial,0.6784269160974062,0.6784269160974062,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,competencia_maxima_inicial,0.6784269160974062,0.6784269160974062,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,centralizada,competencia_minima_inicial,0.3605369664877633,0.3605369664877633,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,competencia_minima_inicial,0.3605369664877633,0.3605369664877633,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,centralizada,tarefas_acima_da_competencia_maxima_inicial,14.541666666666666,14.541666666666666,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,tarefas_acima_da_competencia_maxima_inicial,14.541666666666666,14.541666666666666,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,centralizada,n_tarefas,60.0,60.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,n_tarefas,60.0,60.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,centralizada,competencia_maxima_final,0.6784269160974062,0.6784269160974062,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,competencia_maxima_final,0.9040176605668715,0.907222839633409,0.003205179066537344,-0.0019306514693086538,0.008341009602383341,16
controle_motor,C4_tempo_apenas,centralizada,atraso_relativo,3.134532505799728,2.784712322938129,-0.34982018286159866,-0.44515624975508483,-0.2544841159681125,16
controle_motor,C4_tempo_apenas,adaptativa,atraso_relativo,1.9991332944309275,1.7088376127425182,-0.29029568168840947,-0.35655518617017967,-0.22403617720663926,16
controle_motor,C4_tempo_apenas,centralizada,tarefas_pendentes,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,tarefas_pendentes,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,centralizada,dividas_pendentes,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,dividas_pendentes,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,centralizada,N_req,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,N_req,10.489583333333334,10.776041666666666,0.28645833333333337,0.10019012414181563,0.47272654252485113,16
controle_motor,C4_tempo_apenas,centralizada,N_fail,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,N_fail,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,centralizada,N_blocked,81.421875,93.89583333333333,12.473958333333334,7.502724923445576,17.44519174322109,16
controle_motor,C4_tempo_apenas,adaptativa,N_blocked,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,centralizada,N_success,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,N_success,10.489583333333334,10.776041666666666,0.28645833333333337,0.10019012414181563,0.47272654252485113,16
controle_motor,C4_tempo_apenas,centralizada,retrabalho_gerado,68.86531966000787,64.02010224312524,-4.8452174168826465,-8.53964083645541,-1.1507939973098829,16
controle_motor,C4_tempo_apenas,adaptativa,retrabalho_gerado,52.50890631287791,49.05746488425327,-3.451441428624641,-5.315690769915877,-1.587192087333405,16
controle_motor,C4_tempo_apenas,centralizada,retrabalho_pendente,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,retrabalho_pendente,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,centralizada,ocupacao_retrabalho,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,ocupacao_retrabalho,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,centralizada,extensoes_horizonte,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,extensoes_horizonte,0.0,0.0,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,centralizada,confianca_media_final,0.25,0.25,0.0,0.0,0.0,16
controle_motor,C4_tempo_apenas,adaptativa,confianca_media_final,0.7999999999999999,0.7999999999999999,0.0,0.0,0.0,16
C4_tempo_apenas,C4_completo,centralizada,concluiu,1.0,1.0,0.0,0.0,0.0,16
C4_tempo_apenas,C4_completo,adaptativa,concluiu,1.0,1.0,0.0,0.0,0.0,16
C4_tempo_apenas,C4_completo,centralizada,makespan,210.58854166666666,220.81770833333334,10.229166666666668,5.567833275822501,14.890500057510835,16
C4_tempo_apenas,C4_completo,adaptativa,makespan,129.984375,130.80729166666666,0.8229166666666666,-0.10992725053742702,1.7557605838707602,16
C4_tempo_apenas,C4_completo,centralizada,makespan_cpm,77.1875,77.1875,0.0,0.0,0.0,16
C4_tempo_apenas,C4_completo,adaptativa,makespan_cpm,77.1875,77.1875,0.0,0.0,0.0,16
C4_tempo_apenas,C4_completo,centralizada,E_total,0.7318196434857359,0.7026171576539575,-0.029202485831778292,-0.03344672829799078,-0.024958243365565805,16
C4_tempo_apenas,C4_completo,adaptativa,E_total,0.8825784118721476,0.8596884108476921,-0.02289000102445555,-0.031380490097217786,-0.014399511951693315,16
C4_tempo_apenas,C4_completo,centralizada,S_UR_final,9.870576578308032e-16,2.1984728852212734e-15,1.2114152273904702e-15,4.238323587344887e-16,1.9989980960464515e-15,16
