ai,ci,metrica,media,lo,hi,A_tau_inicial,A_tau_min,A_p_reporte,A_p_deteccao,C_tau_inicial,C_tau_min,C_p_reporte,C_p_deteccao
7,1,taxa_falha_efetiva,0.03125,-0.03337218677292257,0.09587218677292257,0.25,0.25,0.75,0.075,0.25,0.25,0.15,0.075
7,3,taxa_falha_efetiva,0.019791666666666673,-0.06739263133906512,0.10697596467239848,0.25,0.25,0.75,0.075,0.25,0.25,0.45,0.03
7,4,taxa_falha_efetiva,0.010416666666666671,-0.06923652241047262,0.09006985574380597,0.25,0.25,0.75,0.075,0.25,0.25,0.45,0.075
7,6,taxa_falha_efetiva,0.018750000000000003,-0.03359558086744485,0.07109558086744486,0.25,0.25,0.75,0.075,0.25,0.25,0.75,0.03
7,9,taxa_falha_efetiva,0.02916666666666666,-0.07594354075290988,0.1342768740862432,0.25,0.25,0.75,0.075,0.25,0.425,0.15,0.03
7,10,taxa_falha_efetiva,0.021875,-0.05340409360685574,0.09715409360685573,0.25,0.25,0.75,0.075,0.25,0.425,0.15,0.075
7,13,taxa_falha_efetiva,0.01770833333333334,-0.06777878435582703,0.10319545102249371,0.25,0.25,0.75,0.075,0.25,0.425,0.45,0.075
7,15,taxa_falha_efetiva,0.017708333333333336,-0.02470183249167553,0.060118499158342206,0.25,0.25,0.75,0.075,0.25,0.425,0.75,0.03
7,16,taxa_falha_efetiva,0.019791666666666673,-0.048977275777024355,0.08856060911035771,0.25,0.25,0.75,0.075,0.25,0.425,0.75,0.075
7,18,taxa_falha_efetiva,0.018750000000000003,-0.10593577588421212,0.14343577588421214,0.25,0.25,0.75,0.075,0.25,0.6,0.15,0.03
7,19,taxa_falha_efetiva,0.01979166666666666,-0.0917273968604205,0.1313107301937538,0.25,0.25,0.75,0.075,0.25,0.6,0.15,0.075
7,21,taxa_falha_efetiva,0.02604166666666667,-0.046864276168794114,0.09894760950212746,0.25,0.25,0.75,0.075,0.25,0.6,0.45,0.03
7,22,taxa_falha_efetiva,0.007291666666666667,-0.07887833450532539,0.09346166783865872,0.25,0.25,0.75,0.075,0.25,0.6,0.45,0.075
7,24,taxa_falha_efetiva,0.02395833333333334,-0.054185916142860314,0.102102582809527,0.25,0.25,0.75,0.075,0.25,0.6,0.75,0.03
7,25,taxa_falha_efetiva,0.0031249999999999993,-0.07215409360685573,0.07840409360685574,0.25,0.25,0.75,0.075,0.25,0.6,0.75,0.075
8,0,taxa_falha_efetiva,0.008333333333333333,-0.04157621973610517,0.05824288640277183,0.25,0.25,0.75,0.12,0.25,0.25,0.15,0.03
8,1,taxa_falha_efetiva,0.03020833333333333,0.007002995690635571,0.053413670976031086,0.25,0.25,0.75,0.12,0.25,0.25,0.15,0.075
8,2,taxa_falha_efetiva,0.006249999999999997,-0.018260442311418677,0.030760442311418668,0.25,0.25,0.75,0.12,0.25,0.25,0.15,0.12
8,3,taxa_falha_efetiva,0.018750000000000003,-0.019719798103929063,0.05721979810392907,0.25,0.25,0.75,0.12,0.25,0.25,0.45,0.03
8,4,taxa_falha_efetiva,0.009375000000000001,-0.03233844219450572,0.05108844219450572,0.25,0.25,0.75,0.12,0.25,0.25,0.45,0.075
8,5,taxa_falha_efetiva,0.013541666666666667,-0.037921721254896006,0.06500505458822933,0.25,0.25,0.75,0.12,0.25,0.25,0.45,0.12
8,6,taxa_falha_efetiva,0.017708333333333333,-0.0100933090187494,0.045509975685416065,0.25,0.25,0.75,0.12,0.25,0.25,0.75,0.03
8,9,taxa_falha_efetiva,0.028124999999999994,-0.03935340193760188,0.09560340193760188,0.25,0.25,0.75,0.12,0.25,0.425,0.15,0.03
8,10,taxa_falha_efetiva,0.02083333333333333,0.0013148578206950007,0.04035180884597166,0.25,0.25,0.75,0.12,0.25,0.425,0.15,0.075
8,11,taxa_falha_efetiva,0.008333333333333328,-0.009621052781125815,0.02628771944779247,0.25,0.25,0.75,0.12,0.25,0.425,0.15,0.12
8,13,taxa_falha_efetiva,0.016666666666666666,-0.023113912149386625,0.056447245482719954,0.25,0.25,0.75,0.12,0.25,0.425,0.45,0.075
8,14,taxa_falha_efetiva,0.013541666666666664,-0.02411004350654176,0.051193376839875085,0.25,0.25,0.75,0.12,0.25,0.425,0.45,0.12
8,15,taxa_falha_efetiva,0.016666666666666663,-0.006930019607227781,0.040263352940561103,0.25,0.25,0.75,0.12,0.25,0.425,0.75,0.03
8,16,taxa_falha_efetiva,0.01875,0.004948353606589854,0.03255164639341014,0.25,0.25,0.75,0.12,0.25,0.425,0.75,0.075
8,17,taxa_falha_efetiva,0.018749999999999996,-0.015700991831951235,0.053200991831951226,0.25,0.25,0.75,0.12,0.25,0.425,0.75,0.12
8,18,taxa_falha_efetiva,0.017708333333333333,-0.06210565542399101,0.09752232209065767,0.25,0.25,0.75,0.12,0.25,0.6,0.15,0.03
8,19,taxa_falha_efetiva,0.018749999999999992,-0.06761108924959032,0.1051110892495903,0.25,0.25,0.75,0.12,0.25,0.6,0.15,0.075
8,20,taxa_falha_efetiva,0.02187499999999999,-0.03422021364504695,0.07797021364504694,0.25,0.25,0.75,0.12,0.25,0.6,0.15,0.12
8,21,taxa_falha_efetiva,0.025,0.007881164526992678,0.04211883547300732,0.25,0.25,0.75,0.12,0.25,0.6,0.45,0.03
8,22,taxa_falha_efetiva,0.006249999999999997,-0.03654708868251832,0.049047088682518315,0.25,0.25,0.75,0.12,0.25,0.6,0.45,0.075
8,23,taxa_falha_efetiva,0.024999999999999998,-0.019640461355959118,0.06964046135595911,0.25,0.25,0.75,0.12,0.25,0.6,0.45,0.12
8,24,taxa_falha_efetiva,0.02291666666666667,-0.02914823882210782,0.07498157215544116,0.25,0.25,0.75,0.12,0.25,0.6,0.75,0.03
8,25,taxa_falha_efetiva,0.0020833333333333294,-0.034028889658140465,0.03819555632480712,0.25,0.25,0.75,0.12,0.25,0.6,0.75,0.075
8,26,taxa_falha_efetiva,0.024999999999999994,-0.020292181396608155,0.07029218139660814,0.25,0.25,0.75,0.12,0.25,0.6,0.75,0.12
10,9,taxa_falha_efetiva,0.007291666666666663,-0.047213748450662056,0.06179708178399538,0.25,0.425,0.15,0.075,0.25,0.425,0.15,0.03
11,9,taxa_falha_efetiva,0.019791666666666666,-0.044802170823569895,0.08438550415690323,0.25,0.425,0.15,0.12,0.25,0.425,0.15,0.03
11,10,taxa_falha_efetiva,0.012500000000000002,-0.018597908968952394,0.0435979089689524,0.25,0.425,0.15,0.12,0.25,0.425,0.15,0.075
11,18,taxa_falha_efetiva,0.009375000000000001,-0.08429100199944389,0.10304100199944388,0.25,0.425,0.15,0.12,0.25,0.6,0.15,0.03
11,19,taxa_falha_efetiva,0.010416666666666664,-0.09307798535285425,0.11391131868618756,0.25,0.425,0.15,0.12,0.25,0.6,0.15,0.075
11,20,taxa_falha_efetiva,0.013541666666666662,-0.058148247435362635,0.08523158076869596,0.25,0.425,0.15,0.12,0.25,0.6,0.15,0.12
12,9,taxa_falha_efetiva,0.03645833333333333,-0.008955004360140087,0.08187167102680674,0.25,0.425,0.45,0.03,0.25,0.425,0.15,0.03
12,18,taxa_falha_efetiva,0.026041666666666664,-0.03809687818839464,0.09018021152172798,0.25,0.425,0.45,0.03,0.25,0.6,0.15,0.03
12,21,taxa_falha_efetiva,0.03333333333333334,0.0008526267426999107,0.06581403992396677,0.25,0.425,0.45,0.03,0.25,0.6,0.45,0.03
13,9,taxa_falha_efetiva,0.011458333333333327,-0.03585132696171202,0.05876799362837867,0.25,0.425,0.45,0.075,0.25,0.425,0.15,0.03
13,10,taxa_falha_efetiva,0.004166666666666664,-0.03294608426039212,0.04127941759372545,0.25,0.425,0.45,0.075,0.25,0.425,0.15,0.075
13,18,taxa_falha_efetiva,0.001041666666666663,-0.0908874361779317,0.09297076951126503,0.25,0.425,0.45,0.075,0.25,0.6,0.15,0.03
13,19,taxa_falha_efetiva,0.002083333333333324,-0.11533989920663983,0.11950656587330648,0.25,0.425,0.45,0.075,0.25,0.6,0.15,0.075
13,21,taxa_falha_efetiva,0.008333333333333333,-0.03886003921445556,0.055526705881122226,0.25,0.425,0.45,0.075,0.25,0.6,0.45,0.03
14,9,taxa_falha_efetiva,0.014583333333333328,-0.07477961137357027,0.10394627804023691,0.25,0.425,0.45,0.12,0.25,0.425,0.15,0.03
14,10,taxa_falha_efetiva,0.007291666666666665,-0.0477487837557518,0.06233211708908512,0.25,0.425,0.45,0.12,0.25,0.425,0.15,0.075
14,13,taxa_falha_efetiva,0.003125000000000001,-0.046305174254183214,0.05255517425418322,0.25,0.425,0.45,0.12,0.25,0.425,0.45,0.075
14,18,taxa_falha_efetiva,0.004166666666666669,-0.11306923807647859,0.12140257140981192,0.25,0.425,0.45,0.12,0.25,0.6,0.15,0.03
14,19,taxa_falha_efetiva,0.005208333333333329,-0.11442464919594501,0.12484131586261167,0.25,0.425,0.45,0.12,0.25,0.6,0.15,0.075
14,20,taxa_falha_efetiva,0.008333333333333325,-0.07878791708213106,0.0954545837487977,0.25,0.425,0.45,0.12,0.25,0.6,0.15,0.12
14,21,taxa_falha_efetiva,0.011458333333333334,-0.03914368182396721,0.062060348490633875,0.25,0.425,0.45,0.12,0.25,0.6,0.45,0.03
14,23,taxa_falha_efetiva,0.011458333333333333,-0.06593224693982931,0.08884891360649598,0.25,0.425,0.45,0.12,0.25,0.6,0.45,0.12
15,9,taxa_falha_efetiva,0.011458333333333327,-0.07522029990673731,0.09813696657340398,0.25,0.425,0.75,0.03,0.25,0.425,0.15,0.03
15,18,taxa_falha_efetiva,0.001041666666666663,-0.09008699340159503,0.09217032673492835,0.25,0.425,0.75,0.03,0.25,0.6,0.15,0.03
15,21,taxa_falha_efetiva,0.008333333333333333,-0.023693075266939485,0.04035974193360615,0.25,0.425,0.75,0.03,0.25,0.6,0.45,0.03
15,24,taxa_falha_efetiva,0.00625,-0.037226450007903304,0.0497264500079033,0.25,0.425,0.75,0.03,0.25,0.6,0.75,0.03
16,9,taxa_falha_efetiva,0.009374999999999994,-0.05722915089821201,0.075979150898212,0.25,0.425,0.75,0.075,0.25,0.425,0.15,0.03
16,10,taxa_falha_efetiva,0.002083333333333331,-0.010612334840242314,0.014779001506908977,0.25,0.425,0.75,0.075,0.25,0.425,0.15,0.075
16,21,taxa_falha_efetiva,0.00625,-0.0023094177365036595,0.01480941773650366,0.25,0.425,0.75,0.075,0.25,0.6,0.45,0.03
16,24,taxa_falha_efetiva,0.0041666666666666675,-0.04014434028733618,0.048477673620669515,0.25,0.425,0.75,0.075,0.25,0.6,0.75,0.03
17,9,taxa_falha_efetiva,0.009374999999999996,-0.03472884823664141,0.053478848236641396,0.25,0.425,0.75,0.12,0.25,0.425,0.15,0.03
17,10,taxa_falha_efetiva,0.002083333333333333,-0.015458253092913543,0.01962491975958021,0.25,0.425,0.75,0.12,0.25,0.425,0.15,0.075
17,16,taxa_falha_efetiva,1.734723475976807e-18,-0.02706725549219452,0.02706725549219452,0.25,0.425,0.75,0.12,0.25,0.425,0.75,0.075
17,20,taxa_falha_efetiva,0.003124999999999994,-0.049464943026647216,0.05571494302664721,0.25,0.425,0.75,0.12,0.25,0.6,0.15,0.12
17,21,taxa_falha_efetiva,0.006250000000000002,-0.02733958071507876,0.03983958071507876,0.25,0.425,0.75,0.12,0.25,0.6,0.45,0.03
17,23,taxa_falha_efetiva,0.00625,-0.0404753275348778,0.0529753275348778,0.25,0.425,0.75,0.12,0.25,0.6,0.45,0.12
17,24,taxa_falha_efetiva,0.004166666666666669,-0.058029151271238116,0.06636248460457146,0.25,0.425,0.75,0.12,0.25,0.6,0.75,0.03
17,26,taxa_falha_efetiva,0.006249999999999999,-0.055115712610396994,0.06761571261039699,0.25,0.425,0.75,0.12,0.25,0.6,0.75,0.12
22,18,taxa_falha_efetiva,0.011458333333333333,-0.029902346145117942,0.05281901281178461,0.25,0.6,0.45,0.075,0.25,0.6,0.15,0.03
22,19,taxa_falha_efetiva,0.012499999999999995,-0.05178117021431475,0.07678117021431474,0.25,0.6,0.45,0.075,0.25,0.6,0.15,0.075
22,21,taxa_falha_efetiva,0.018750000000000003,-0.019719798103929063,0.05721979810392907,0.25,0.6,0.45,0.075,0.25,0.6,0.45,0.03
23,21,taxa_falha_efetiva,1.734723475976807e-18,-0.03337075375560458,0.03337075375560458,0.25,0.6,0.45,0.12,0.25,0.6,0.45,0.03
24,21,taxa_falha_efetiva,0.002083333333333333,-0.04071375534918498,0.04488042201585164,0.25,0.6,0.75,0.03,0.25,0.6,0.45,0.03
25,18,taxa_falha_efetiva,0.015624999999999998,-0.07534272632665721,0.10659272632665721,0.25,0.6,0.75,0.075,0.25,0.6,0.15,0.03
25,19,taxa_falha_efetiva,0.016666666666666663,-0.06806724587619543,0.10140057920952876,0.25,0.6,0.75,0.075,0.25,0.6,0.15,0.075
25,21,taxa_falha_efetiva,0.02291666666666667,-0.005983253829121866,0.0518165871624552,0.25,0.6,0.75,0.075,0.25,0.6,0.45,0.03
25,22,taxa_falha_efetiva,0.0041666666666666675,-0.06169080833570517,0.0700241416690385,0.25,0.6,0.75,0.075,0.25,0.6,0.45,0.075
25,24,taxa_falha_efetiva,0.020833333333333336,-0.02074817355273531,0.06241484021940198,0.25,0.6,0.75,0.075,0.25,0.6,0.75,0.03
26,21,taxa_falha_efetiva,3.469446951953614e-18,-0.03248070659063344,0.03248070659063344,0.25,0.6,0.75,0.12,0.25,0.6,0.45,0.03
26,23,taxa_falha_efetiva,1.734723475976807e-18,-0.027603292786820277,0.027603292786820277,0.25,0.6,0.75,0.12,0.25,0.6,0.45,0.12
27,9,taxa_falha_efetiva,0.006249999999999999,-0.07229169474481287,0.08479169474481288,0.525,0.25,0.15,0.03,0.25,0.425,0.15,0.03
28,1,taxa_falha_efetiva,0.019791666666666666,-0.022618499158342187,0.06220183249167552,0.525,0.25,0.15,0.075,0.25,0.25,0.15,0.075
28,9,taxa_falha_efetiva,0.017708333333333326,-0.06947596467239847,0.10489263133906512,0.525,0.25,0.15,0.075,0.25,0.425,0.15,0.03
28,10,taxa_falha_efetiva,0.010416666666666664,-0.02569555632480712,0.04652888965814045,0.525,0.25,0.15,0.075,0.25,0.425,0.15,0.075
28,18,taxa_falha_efetiva,0.007291666666666663,-0.05034951401741195,0.06493284735074528,0.525,0.25,0.15,0.075,0.25,0.6,0.15,0.03
28,19,taxa_falha_efetiva,0.008333333333333326,-0.04687325224030723,0.06353991890697389,0.525,0.25,0.15,0.075,0.25,0.6,0.15,0.075
28,27,taxa_falha_efetiva,0.011458333333333329,-0.05857737299989945,0.08149403966656611,0.525,0.25,0.15,0.075,0.525,0.25,0.15,0.03
28,45,taxa_falha_efetiva,0.0031249999999999976,-0.04946494302664721,0.0557149430266472,0.525,0.25,0.15,0.075,0.525,0.6,0.15,0.03
28,46,taxa_falha_efetiva,0.009374999999999993,-0.042654714605748316,0.061404714605748305,0.525,0.25,0.15,0.075,0.525,0.6,0.15,0.075
29,1,taxa_falha_efetiva,0.010416666666666668,-0.015261586542844308,0.03609491987617765,0.525,0.25,0.15,0.12,0.25,0.25,0.15,0.075
29,9,taxa_falha_efetiva,0.008333333333333331,-0.024595404167852587,0.04126207083451925,0.525,0.25,0.15,0.12,0.25,0.425,0.15,0.03
29,10,taxa_falha_efetiva,0.0010416666666666682,-0.03023243583107809,0.03231576916441143,0.525,0.25,0.15,0.12,0.25,0.425,0.15,0.075
29,20,taxa_falha_efetiva,0.0020833333333333294,-0.06520479680012158,0.06937146346678823,0.525,0.25,0.15,0.12,0.25,0.6,0.15,0.12
29,27,taxa_falha_efetiva,0.002083333333333333,-0.0548223125541217,0.058988979220788364,0.525,0.25,0.15,0.12,0.525,0.25,0.15,0.03
29,47,taxa_falha_efetiva,0.005208333333333332,-0.05140689341242685,0.06182356007909352,0.525,0.25,0.15,0.12,0.525,0.6,0.15,0.12
30,3,taxa_falha_efetiva,0.0062500000000000056,-0.013640289408026633,0.026140289408026644,0.525,0.25,0.45,0.03,0.25,0.25,0.45,0.03
30,9,taxa_falha_efetiva,0.015624999999999998,-0.027809301234051384,0.059059301234051384,0.525,0.25,0.45,0.03,0.25,0.425,0.15,0.03
30,18,taxa_falha_efetiva,0.005208333333333334,-0.0465389926764271,0.056955659343093774,0.525,0.25,0.45,0.03,0.25,0.6,0.15,0.03
30,21,taxa_falha_efetiva,0.012500000000000002,-0.035002840601690156,0.060002840601690165,0.525,0.25,0.45,0.03,0.25,0.6,0.45,0.03
30,27,taxa_falha_efetiva,0.009375,-0.039757847200256206,0.05850784720025621,0.525,0.25,0.45,0.03,0.525,0.25,0.15,0.03
30,39,taxa_falha_efetiva,0.02291666666666667,-0.004950778481256725,0.05078411181459006,0.525,0.25,0.45,0.03,0.525,0.425,0.45,0.03
30,45,taxa_falha_efetiva,0.0010416666666666682,-0.017216195353440704,0.019299528686774044,0.525,0.25,0.45,0.03,0.525,0.6,0.15,0.03
30,48,taxa_falha_efetiva,0.029166666666666667,-0.00911221314661248,0.06744554647994581,0.525,0.25,0.45,0.03,0.525,0.6,0.45,0.03
31,0,taxa_falha_efetiva,0.00104166666666667,-0.03419777944413578,0.03628111277746912,0.525,0.25,0.45,0.075,0.25,0.25,0.15,0.03
31,1,taxa_falha_efetiva,0.02291666666666667,-0.002761586542844318,0.04859491987617766,0.525,0.25,0.45,0.075,0.25,0.25,0.15,0.075
31,3,taxa_falha_efetiva,0.011458333333333338,-0.03264551490330804,0.05556218156997472,0.525,0.25,0.45,0.075,0.25,0.25,0.45,0.03
31,4,taxa_falha_efetiva,0.002083333333333338,-0.03443239070688141,0.03859905737354809,0.525,0.25,0.45,0.075,0.25,0.25,0.45,0.075
31,9,taxa_falha_efetiva,0.02083333333333333,-0.04435325006618579,0.08601991673285245,0.525,0.25,0.45,0.075,0.25,0.425,0.15,0.03
31,10,taxa_falha_efetiva,0.013541666666666667,-0.029553960384057713,0.05663729371739105,0.525,0.25,0.45,0.075,0.25,0.425,0.15,0.075
31,13,taxa_falha_efetiva,0.009375000000000003,-0.057229150898212004,0.07597915089821201,0.525,0.25,0.45,0.075,0.25,0.425,0.45,0.075
31,18,taxa_falha_efetiva,0.010416666666666668,-0.06508108541022854,0.08591441874356189,0.525,0.25,0.45,0.075,0.25,0.6,0.15,0.03
31,19,taxa_falha_efetiva,0.011458333333333329,-0.06574268001637369,0.08865934668304036,0.525,0.25,0.45,0.075,0.25,0.6,0.15,0.075
31,21,taxa_falha_efetiva,0.017708333333333336,-0.03289368182396721,0.06831034849063387,0.525,0.25,0.45,0.075,0.25,0.6,0.45,0.03
31,27,taxa_falha_efetiva,0.01458333333333333,-0.05505898453162463,0.08422565119829128,0.525,0.25,0.45,0.075,0.525,0.25,0.15,0.03
31,28,taxa_falha_efetiva,0.0031250000000000028,-0.05651516543417793,0.06276516543417793,0.525,0.25,0.45,0.075,0.525,0.25,0.15,0.075
31,30,taxa_falha_efetiva,0.005208333333333332,-0.02606576916441145,0.03648243583107812,0.525,0.25,0.45,0.075,0.525,0.25,0.45,0.03
31,36,taxa_falha_efetiva,0.0020833333333333346,-0.044641994201544466,0.04880866086821113,0.525,0.25,0.45,0.075,0.525,0.425,0.15,0.03
31,39,taxa_falha_efetiva,0.028124999999999997,-0.010676644776386163,0.06692664477638616,0.525,0.25,0.45,0.075,0.525,0.425,0.45,0.03
31,40,taxa_falha_efetiva,0.0010416666666666664,-0.07877232209065767,0.080855655423991,0.525,0.25,0.45,0.075,0.525,0.425,0.45,0.075
31,45,taxa_falha_efetiva,0.00625,-0.028200991831951232,0.04070099183195123,0.525,0.25,0.45,0.075,0.525,0.6,0.15,0.03
31,46,taxa_falha_efetiva,0.012499999999999995,-0.0007601929386844355,0.025760192938684427,0.525,0.25,0.45,0.075,0.525,0.6,0.15,0.075
31,48,taxa_falha_efetiva,0.034375,0.012468909761867,0.056281090238133005,0.525,0.25,0.45,0.075,0.525,0.6,0.45,0.03
31,49,taxa_falha_efetiva,0.030208333333333337,0.008302243095200324,0.05211442357146635,0.525,0.25,0.45,0.075,0.525,0.6,0.45,0.075
32,1,taxa_falha_efetiva,0.016666666666666663,-0.02420399284998164,0.05753732618331497,0.525,0.25,0.45,0.12,0.25,0.25,0.15,0.075
32,3,taxa_falha_efetiva,0.005208333333333336,-0.01669775690479967,0.02711442357146634,0.525,0.25,0.45,0.12,0.25,0.25,0.45,0.03
32,5,taxa_falha_efetiva,1.734723475976807e-18,-0.04961509885907624,0.04961509885907624,0.525,0.25,0.45,0.12,0.25,0.25,0.45,0.12
32,9,taxa_falha_efetiva,0.014583333333333328,-0.02311699107596965,0.05228365774263631,0.525,0.25,0.45,0.12,0.25,0.425,0.15,0.03
32,10,taxa_falha_efetiva,0.007291666666666665,-0.03406901281178461,0.04865234614511793,0.525,0.25,0.45,0.12,0.25,0.425,0.15,0.075
32,13,taxa_falha_efetiva,0.003125000000000001,-0.057004528840715954,0.06325452884071596,0.525,0.25,0.45,0.12,0.25,0.425,0.45,0.075
32,18,taxa_falha_efetiva,0.004166666666666664,-0.037060948618733776,0.04539428195206711,0.525,0.25,0.45,0.12,0.25,0.6,0.15,0.03
32,19,taxa_falha_efetiva,0.005208333333333327,-0.07624117173889532,0.08665783840556197,0.525,0.25,0.45,0.12,0.25,0.6,0.15,0.075
32,20,taxa_falha_efetiva,0.008333333333333326,-0.054331893663426035,0.07099856033009269,0.525,0.25,0.45,0.12,0.25,0.6,0.15,0.12
