metrica,media,ic95_inf,ic95_sup,N_instancias,conjunto
atraso_relativo,-1.1386730824332398,-1.208642620102974,-1.0687035447635056,48,fora_48
taxa_omissao,-0.22528935185185187,-0.23320969258533264,-0.2173690111183711,48,fora_48
divida_latente_sobre_plano,-0.08155447021322083,-0.08651033693785405,-0.07659860348858762,48,fora_48
taxa_falha_efetiva,-0.03703703703703704,-0.044634640435214736,-0.02943943363885935,48,fora_48
fracao_porta1,-0.0966724537037037,-0.1092165522809474,-0.08412835512646,48,fora_48
