metrica,media,ic95_inf,ic95_sup,N_instancias
atraso_relativo,-1.023421033555509,-1.1138695579329883,-0.9329725091780297,16
taxa_omissao,-0.22821180555555554,-0.24283913027240436,-0.2135844808387067,16
divida_latente_sobre_plano,-0.07781457642052281,-0.08620066729702622,-0.0694284855440194,16
taxa_falha_efetiva,-0.043055555555555555,-0.05684316653959242,-0.02926794457151869,16
fracao_porta1,-0.11649305555555556,-0.13660540098370882,-0.09638071012740229,16
