ai,ci,metrica,media,lo,hi,A_tau_inicial,A_tau_min,A_p_reporte,A_p_deteccao,C_tau_inicial,C_tau_min,C_p_reporte,C_p_deteccao
2,0,taxa_omissao,-0.008333333333333326,-0.05130126935656969,0.03463460268990304,0.25,0.25,0.15,0.12,0.25,0.25,0.15,0.03
2,0,divida_latente_sobre_plano,-0.04418824120285805,-0.06713509869688483,-0.02124138370883127,0.25,0.25,0.15,0.12,0.25,0.25,0.15,0.03
2,0,taxa_falha_efetiva,0.0020833333333333363,-0.02731923215776092,0.031485898824427594,0.25,0.25,0.15,0.12,0.25,0.25,0.15,0.03
2,0,fracao_porta1,0.037500000000000006,0.020381164526992675,0.05461883547300733,0.25,0.25,0.15,0.12,0.25,0.25,0.15,0.03
2,1,atraso_relativo,-0.056268586445511304,-0.1619363612031957,0.04939918831217312,0.25,0.25,0.15,0.12,0.25,0.25,0.15,0.075
2,1,taxa_omissao,0.020833333333333336,0.0037144978603260055,0.03795216880634067,0.25,0.25,0.15,0.12,0.25,0.25,0.15,0.075
2,1,divida_latente_sobre_plano,-0.009286866439909237,-0.02420495246487947,0.005631219585060996,0.25,0.25,0.15,0.12,0.25,0.25,0.15,0.075
2,1,taxa_falha_efetiva,0.02395833333333333,0.005700471313225951,0.04221619535344071,0.25,0.25,0.15,0.12,0.25,0.25,0.15,0.075
2,1,fracao_porta1,0.046875000000000014,0.030299758826644502,0.06345024117335553,0.25,0.25,0.15,0.12,0.25,0.25,0.15,0.075
2,9,atraso_relativo,-0.6769504862077045,-1.058340579932067,-0.2955603924833419,0.25,0.25,0.15,0.12,0.25,0.425,0.15,0.03
2,9,taxa_omissao,0.01770833333333334,-0.045971663765711296,0.08138833043237798,0.25,0.25,0.15,0.12,0.25,0.425,0.15,0.03
2,9,divida_latente_sobre_plano,-0.03550698056133399,-0.061966924098745865,-0.009047037023922112,0.25,0.25,0.15,0.12,0.25,0.425,0.15,0.03
2,9,taxa_falha_efetiva,0.021875,-0.04516770148541282,0.08891770148541281,0.25,0.25,0.15,0.12,0.25,0.425,0.15,0.03
2,9,fracao_porta1,0.011458333333333345,-0.04437505758185532,0.06729172424852202,0.25,0.25,0.15,0.12,0.25,0.425,0.15,0.03
2,10,atraso_relativo,-0.1360808867152251,-0.27472447921628435,0.0025627057858341185,0.25,0.25,0.15,0.12,0.25,0.425,0.15,0.075
2,10,taxa_omissao,0.011458333333333333,-0.007585168927030152,0.03050183559369682,0.25,0.25,0.15,0.12,0.25,0.425,0.15,0.075
2,10,divida_latente_sobre_plano,-0.011904878619155458,-0.025949513110037507,0.002139755871726592,0.25,0.25,0.15,0.12,0.25,0.425,0.15,0.075
2,10,taxa_falha_efetiva,0.014583333333333334,-0.002958253092913532,0.0321249197595802,0.25,0.25,0.15,0.12,0.25,0.425,0.15,0.075
