metrica,media,ic95_inf,ic95_sup,N_instancias
atraso_relativo,-0.9859503449766178,-1.073121803820711,-0.8987788861325247,48
taxa_omissao,-0.20737847222222225,-0.2162595180828273,-0.19849742636161719,48
divida_latente_sobre_plano,-0.07268240111586044,-0.07775601298369571,-0.06760878924802517,48
taxa_falha_efetiva,-0.02126736111111111,-0.027605939592624997,-0.01492878262959722,48
fracao_porta1,-0.04988425925925926,-0.05874411285977742,-0.0410244056587411,48
