perfil_adaptativa,perfil_centralizada,metrica,media,ic95_inf,ic95_sup
0,0,atraso_relativo,0.0,0.0,0.0
0,0,taxa_omissao,0.0,0.0,0.0
0,0,divida_latente_sobre_plano,0.0,0.0,0.0
0,0,taxa_falha_efetiva,0.0,0.0,0.0
0,0,fracao_porta1,0.0,0.0,0.0
0,1,atraso_relativo,0.7345185191417019,0.32024327337505615,1.1487937649083475
0,1,taxa_omissao,0.02916666666666666,-0.0019312423022857482,0.06026457563561907
0,1,divida_latente_sobre_plano,0.034901374762948814,0.01897148497511217,0.05083126455078546
0,1,taxa_falha_efetiva,0.021875,-0.0074652057910078035,0.0512152057910078
0,1,fracao_porta1,0.009374999999999998,-0.01623182538489227,0.034981825384892265
0,2,atraso_relativo,0.7907871055872132,0.3478835323216142,1.2336906788528124
0,2,taxa_omissao,0.008333333333333326,-0.03463460268990304,0.05130126935656969
0,2,divida_latente_sobre_plano,0.04418824120285805,0.021241383708831274,0.06713509869688483
0,2,taxa_falha_efetiva,-0.0020833333333333363,-0.031485898824427594,0.02731923215776092
0,2,fracao_porta1,-0.037500000000000006,-0.05461883547300733,-0.020381164526992675
0,3,atraso_relativo,0.213317351794519,0.1325855289047518,0.29404917468428615
0,3,taxa_omissao,0.0875,0.05038724907294122,0.12461275092705877
0,3,divida_latente_sobre_plano,0.024409161478411365,0.003856809037969259,0.044961513918853474
0,3,taxa_falha_efetiva,0.010416666666666668,-0.019480094198906645,0.04031342753223998
0,3,fracao_porta1,-0.018749999999999996,-0.06355428011329357,0.026054280113293582
0,4,atraso_relativo,0.720402666851129,0.12420287058763546,1.3166024631146225
0,4,taxa_omissao,0.07916666666666666,0.03829600715001835,0.12003732618331497
0,4,divida_latente_sobre_plano,0.04308675078090514,0.022365575795283723,0.06380792576652655
0,4,taxa_falha_efetiva,0.0010416666666666682,-0.015533574506688864,0.0176169078400222
0,4,fracao_porta1,-0.030208333333333334,-0.0819556593430938,0.021538992676427133
0,5,atraso_relativo,0.7834553993857905,0.4225855502503143,1.1443252485212665
0,5,taxa_omissao,0.0875,0.056402091031047596,0.11859790896895239
0,5,divida_latente_sobre_plano,0.0486080465999308,0.0287972905654084,0.0684188026344532
0,5,taxa_falha_efetiva,0.005208333333333334,-0.02559368014377976,0.036010346810446424
