regra,limite,metrica,estimando,estatuto,censuradas,pares_previstos,pares_retidos,pares_indefinidos,media,ic95_inf,ic95_sup,N_instancias
constante,0.6,divida_latente_sobre_plano,condicional_pares_completos,COMPLETO,0,16,16,0,-0.06798481822994895,-0.08943409122398423,-0.046535545235913675,4
constante,0.6,taxa_falha_efetiva,observado_ate_termino_ou_teto,COMPLETO,0,16,16,0,-0.047916666666666656,-0.11410703751379828,0.01827370418046497,4
constante,0.6,taxa_falha_efetiva,condicional_pares_completos,COMPLETO,0,16,16,0,-0.047916666666666656,-0.11410703751379828,0.01827370418046497,4
constante,0.6,fracao_porta1,observado_ate_termino_ou_teto,COMPLETO,0,16,16,0,-0.10833333333333335,-0.11770970568011908,-0.09895696098654762,4
constante,0.6,fracao_porta1,condicional_pares_completos,COMPLETO,0,16,16,0,-0.10833333333333335,-0.11770970568011908,-0.09895696098654762,4
dependente_estado,0.1,atraso_relativo,observado_ate_termino_ou_teto,CENSURADO: nao terminal,24,16,16,0,-127.11790684841188,-292.47105111874225,38.23523742191853,4
dependente_estado,0.1,atraso_relativo,condicional_pares_completos,CONDICIONAL: perda de pares,24,16,0,0,,,,0
dependente_estado,0.1,taxa_omissao,observado_ate_termino_ou_teto,CENSURADO: nao terminal,24,16,16,0,-0.06562500000000002,-0.09782252152930138,-0.03342747847069865,4
dependente_estado,0.1,taxa_omissao,condicional_pares_completos,CONDICIONAL: perda de pares,24,16,0,0,,,,0
dependente_estado,0.1,divida_latente_sobre_plano,observado_ate_termino_ou_teto,CENSURADO: nao terminal,24,16,16,0,-0.016951043016911888,-0.02066681501976179,-0.013235271014061984,4
dependente_estado,0.1,divida_latente_sobre_plano,condicional_pares_completos,CONDICIONAL: perda de pares,24,16,0,0,,,,0
dependente_estado,0.1,taxa_falha_efetiva,observado_ate_termino_ou_teto,CENSURADO: nao terminal,24,16,16,0,0.07500000000000001,-0.008339020347373174,0.15833902034737318,4
dependente_estado,0.1,taxa_falha_efetiva,condicional_pares_completos,CONDICIONAL: perda de pares,24,16,0,0,,,,0
dependente_estado,0.1,fracao_porta1,observado_ate_termino_ou_teto,CENSURADO: nao terminal,24,16,16,0,-0.07728593726521954,-0.19274017472047783,0.03816830019003875,4
dependente_estado,0.1,fracao_porta1,condicional_pares_completos,CONDICIONAL: perda de pares,24,16,0,0,,,,0
dependente_estado,0.2,atraso_relativo,observado_ate_termino_ou_teto,CENSURADO: nao terminal,24,16,16,0,-127.11708447999082,-292.4702368260952,38.236067866113515,4
dependente_estado,0.2,atraso_relativo,condicional_pares_completos,CONDICIONAL: perda de pares,24,16,0,0,,,,0
dependente_estado,0.2,taxa_omissao,observado_ate_termino_ou_teto,CENSURADO: nao terminal,24,16,16,0,-0.059375,-0.0924701854235658,-0.026279814576434198,4
dependente_estado,0.2,taxa_omissao,condicional_pares_completos,CONDICIONAL: perda de pares,24,16,0,0,,,,0
dependente_estado,0.2,divida_latente_sobre_plano,observado_ate_termino_ou_teto,CENSURADO: nao terminal,24,16,16,0,-0.01839017592144948,-0.029129722974822823,-0.007650628868076138,4
dependente_estado,0.2,divida_latente_sobre_plano,condicional_pares_completos,CONDICIONAL: perda de pares,24,16,0,0,,,,0
dependente_estado,0.2,taxa_falha_efetiva,observado_ate_termino_ou_teto,CENSURADO: nao terminal,24,16,16,0,0.07499999999999998,0.007169652154476361,0.14283034784552362,4
dependente_estado,0.2,taxa_falha_efetiva,condicional_pares_completos,CONDICIONAL: perda de pares,24,16,0,0,,,,0
dependente_estado,0.2,fracao_porta1,observado_ate_termino_ou_teto,CENSURADO: nao terminal,24,16,16,0,-0.07844890324405623,-0.1738263438751289,0.016928537387016426,4
dependente_estado,0.2,fracao_porta1,condicional_pares_completos,CONDICIONAL: perda de pares,24,16,0,0,,,,0
dependente_estado,0.3,atraso_relativo,observado_ate_termino_ou_teto,CENSURADO: nao terminal,24,16,16,0,-127.1199826568054,-292.50932299300797,38.26935767939716,4
dependente_estado,0.3,atraso_relativo,condicional_pares_completos,CONDICIONAL: perda de pares,24,16,0,0,,,,0
dependente_estado,0.3,taxa_omissao,observado_ate_termino_ou_teto,CENSURADO: nao terminal,24,16,16,0,-0.06250000000000001,-0.10264722784620897,-0.022352772153791056,4
dependente_estado,0.3,taxa_omissao,condicional_pares_completos,CONDICIONAL: perda de pares,24,16,0,0,,,,0
dependente_estado,0.3,divida_latente_sobre_plano,observado_ate_termino_ou_teto,CENSURADO: nao terminal,24,16,16,0,-0.017683787009512238,-0.029007800471870047,-0.0063597735471544285,4
dependente_estado,0.3,divida_latente_sobre_plano,condicional_pares_completos,CONDICIONAL: perda de pares,24,16,0,0,,,,0
dependente_estado,0.3,taxa_falha_efetiva,observado_ate_termino_ou_teto,CENSURADO: nao terminal,24,16,16,0,0.06770833333333331,0.010577826552242903,0.12483884011442373,4
dependente_estado,0.3,taxa_falha_efetiva,condicional_pares_completos,CONDICIONAL: perda de pares,24,16,0,0,,,,0
dependente_estado,0.3,fracao_porta1,observado_ate_termino_ou_teto,CENSURADO: nao terminal,24,16,16,0,-0.07460257420801489,-0.1830034652599712,0.033798316843941426,4
dependente_estado,0.3,fracao_porta1,condicional_pares_completos,CONDICIONAL: perda de pares,24,16,0,0,,,,0
dependente_estado,0.4,atraso_relativo,observado_ate_termino_ou_teto,CENSURADO: nao terminal,23,16,16,0,-142.9669870141039,-315.7094246682227,29.775450640014952,4
dependente_estado,0.4,atraso_relativo,condicional_pares_completos,CONDICIONAL: perda de pares,23,16,0,0,,,,0
dependente_estado,0.4,taxa_omissao,observado_ate_termino_ou_teto,CENSURADO: nao terminal,23,16,16,0,-0.06354166666666668,-0.11613160969331386,-0.010951723640019492,4
dependente_estado,0.4,taxa_omissao,condicional_pares_completos,CONDICIONAL: perda de pares,23,16,0,0,,,,0
dependente_estado,0.4,divida_latente_sobre_plano,observado_ate_termino_ou_teto,CENSURADO: nao terminal,23,16,16,0,-0.018903916662930613,-0.026031232804640505,-0.011776600521220721,4
dependente_estado,0.4,divida_latente_sobre_plano,condicional_pares_completos,CONDICIONAL: perda de pares,23,16,0,0,,,,0
dependente_estado,0.4,taxa_falha_efetiva,observado_ate_termino_ou_teto,CENSURADO: nao terminal,23,16,16,0,0.060416666666666674,-0.008165584489356892,0.12899891782269024,4
dependente_estado,0.4,taxa_falha_efetiva,condicional_pares_completos,CONDICIONAL: perda de pares,23,16,0,0,,,,0
dependente_estado,0.4,fracao_porta1,observado_ate_termino_ou_teto,CENSURADO: nao terminal,23,16,16,0,-0.09177992292229645,-0.1862408463394482,0.0026810004948552985,4
dependente_estado,0.4,fracao_porta1,condicional_pares_completos,CONDICIONAL: perda de pares,23,16,0,0,,,,0
dependente_estado,0.6,atraso_relativo,observado_ate_termino_ou_teto,COMPLETO,0,16,16,0,-1.050749736393413,-1.8918157843693875,-0.20968368841743878,4
dependente_estado,0.6,atraso_relativo,condicional_pares_completos,COMPLETO,0,16,16,0,-1.050749736393413,-1.8918157843693875,-0.20968368841743878,4
dependente_estado,0.6,taxa_omissao,observado_ate_termino_ou_teto,COMPLETO,0,16,16,0,-0.20729166666666665,-0.24455217962840803,-0.17003115370492528,4
dependente_estado,0.6,taxa_omissao,condicional_pares_completos,COMPLETO,0,16,16,0,-0.20729166666666665,-0.24455217962840803,-0.17003115370492528,4
dependente_estado,0.6,divida_latente_sobre_plano,observado_ate_termino_ou_teto,COMPLETO,0,16,16,0,-0.06798481822994895,-0.08943409122398423,-0.046535545235913675,4
dependente_estado,0.6,divida_latente_sobre_plano,condicional_pares_completos,COMPLETO,0,16,16,0,-0.06798481822994895,-0.08943409122398423,-0.046535545235913675,4
dependente_estado,0.6,taxa_falha_efetiva,observado_ate_termino_ou_teto,COMPLETO,0,16,16,0,-0.047916666666666656,-0.11410703751379828,0.01827370418046497,4
dependente_estado,0.6,taxa_falha_efetiva,condicional_pares_completos,COMPLETO,0,16,16,0,-0.047916666666666656,-0.11410703751379828,0.01827370418046497,4
dependente_estado,0.6,fracao_porta1,observado_ate_termino_ou_teto,COMPLETO,0,16,16,0,-0.10833333333333335,-0.11770970568011908,-0.09895696098654762,4
dependente_estado,0.6,fracao_porta1,condicional_pares_completos,COMPLETO,0,16,16,0,-0.10833333333333335,-0.11770970568011908,-0.09895696098654762,4
