regra,limite,cenario,metrica,antes,depois,delta,N,incompletas,estatuto
constante,0.6,adaptativa,divida_latente_sobre_plano,0.02330482563352512,0.02330482563352512,0.0,16,0,COMPLETO
constante,0.6,adaptativa,taxa_falha_efetiva,0.25937499999999997,0.25937499999999997,0.0,16,0,COMPLETO
constante,0.6,adaptativa,fracao_porta1,0.4302083333333333,0.4302083333333333,0.0,16,0,COMPLETO
constante,0.6,adaptativa,p1_fuga,0.0,0.0,0.0,16,0,COMPLETO
constante,0.6,adaptativa,fracao_fuga_p1,0.0,0.0,0.0,16,0,COMPLETO
constante,0.6,adaptativa,N_req,140.9375,140.9375,0.0,16,0,COMPLETO
constante,0.6,adaptativa,TW,410.0625,410.0625,0.0,16,0,COMPLETO
constante,0.6,adaptativa,TL,102.125,102.125,0.0,16,0,COMPLETO
constante,0.6,adaptativa,TU,47.0625,47.0625,0.0,16,0,COMPLETO
constante,0.6,adaptativa,TR,58.320586158168034,58.320586158168034,0.0,16,0,COMPLETO
constante,0.6,adaptativa,retrabalho_sobre_esforco_total,0.14799177891965892,0.14799177891965892,0.0,16,0,COMPLETO
constante,0.6,centralizada,atraso_relativo,3.0090263756150817,3.0090263756150817,0.0,16,0,COMPLETO
constante,0.6,centralizada,taxa_omissao,0.26875,0.26875,0.0,16,0,COMPLETO
constante,0.6,centralizada,divida_latente_sobre_plano,0.09128964386347407,0.09128964386347407,0.0,16,0,COMPLETO
constante,0.6,centralizada,taxa_falha_efetiva,0.30729166666666663,0.30729166666666663,0.0,16,0,COMPLETO
constante,0.6,centralizada,fracao_porta1,0.5385416666666667,0.5385416666666667,0.0,16,0,COMPLETO
constante,0.6,centralizada,p1_fuga,0.0,0.0,0.0,16,0,COMPLETO
constante,0.6,centralizada,fracao_fuga_p1,0.0,0.0,0.0,16,0,COMPLETO
constante,0.6,centralizada,N_req,0.0,0.0,0.0,16,0,COMPLETO
constante,0.6,centralizada,TW,536.5625,536.5625,0.0,16,0,COMPLETO
constante,0.6,centralizada,TL,0.0,0.0,0.0,16,0,COMPLETO
constante,0.6,centralizada,TU,126.9375,126.9375,0.0,16,0,COMPLETO
constante,0.6,centralizada,TR,78.79686515338976,78.79686515338976,0.0,16,0,COMPLETO
constante,0.6,centralizada,retrabalho_sobre_esforco_total,0.1908140677734686,0.1908140677734686,0.0,16,0,COMPLETO
dependente_estado,0.1,adaptativa,atraso_relativo,1.9582766392216686,128.88209315158812,126.92381651236646,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,adaptativa,taxa_omissao,0.061458333333333295,0.042708333333333307,-0.018749999999999992,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,adaptativa,divida_latente_sobre_plano,0.02330482563352512,0.012791354571719302,-0.010513471061805817,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,adaptativa,taxa_falha_efetiva,0.25937499999999997,0.20312499999999997,-0.056249999999999994,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,adaptativa,fracao_porta1,0.4302083333333333,0.3303694151632446,-0.09983891817008879,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,adaptativa,p1_fuga,0.0,57160.4375,57160.4375,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,adaptativa,fracao_fuga_p1,0.0,0.7956235666970328,0.7956235666970328,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,adaptativa,N_req,140.9375,157.625,16.6875,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,adaptativa,TW,410.0625,333.9375,-76.125,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,adaptativa,TL,102.125,128.125,26.0,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,adaptativa,TU,47.0625,57200.8125,57153.75,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,adaptativa,TR,58.320586158168034,36.73959847325116,-21.580987684916877,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,adaptativa,retrabalho_sobre_esforco_total,0.14799177891965892,0.09844276805713714,-0.04954901086252178,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,centralizada,atraso_relativo,3.0090263756150817,256.0,252.9909736243849,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,centralizada,taxa_omissao,0.26875,0.10833333333333331,-0.16041666666666665,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,centralizada,divida_latente_sobre_plano,0.09128964386347407,0.029742397588631186,-0.061547246274842884,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,centralizada,taxa_falha_efetiva,0.30729166666666663,0.12812499999999996,-0.17916666666666664,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,centralizada,fracao_porta1,0.5385416666666667,0.40765535242846407,-0.1308863142382026,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,centralizada,p1_fuga,0.0,129243.375,129243.375,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,centralizada,fracao_fuga_p1,0.0,0.9998874480792844,0.9998874480792844,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,centralizada,N_req,0.0,0.0,0.0,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,centralizada,TW,536.5625,293.6875,-242.875,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,centralizada,TL,0.0,0.0,0.0,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,centralizada,TU,126.9375,129396.1875,129269.25,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,centralizada,TR,78.79686515338976,24.500501937717914,-54.296363215671846,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.1,centralizada,retrabalho_sobre_esforco_total,0.1908140677734686,0.06812563096294878,-0.12268843681051979,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,adaptativa,atraso_relativo,1.9582766392216686,128.88291552000916,126.92463888078751,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,adaptativa,taxa_omissao,0.061458333333333295,0.043749999999999976,-0.01770833333333332,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,adaptativa,divida_latente_sobre_plano,0.02330482563352512,0.011847834984387937,-0.01145699064913718,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,adaptativa,taxa_falha_efetiva,0.25937499999999997,0.19791666666666663,-0.06145833333333334,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,adaptativa,fracao_porta1,0.4302083333333333,0.3339651186957529,-0.09624321463758041,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,adaptativa,p1_fuga,0.0,57163.375,57163.375,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,adaptativa,fracao_fuga_p1,0.0,0.7924287960401075,0.7924287960401075,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,adaptativa,N_req,140.9375,157.0,16.0625,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,adaptativa,TW,410.0625,333.625,-76.4375,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,adaptativa,TL,102.125,127.3125,25.1875,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,adaptativa,TU,47.0625,57203.6875,57156.625,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,adaptativa,TR,58.320586158168034,36.64161767047517,-21.678968487692863,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,adaptativa,retrabalho_sobre_esforco_total,0.14799177891965892,0.09822278459520262,-0.04976899432445632,16,8,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,centralizada,atraso_relativo,3.0090263756150817,256.0,252.9909736243849,16,16,"CENSURADO: media ao teto, nao terminal"
dependente_estado,0.2,centralizada,taxa_omissao,0.26875,0.10312499999999998,-0.165625,16,16,"CENSURADO: media ao teto, nao terminal"
