modelo,metrica,termo,parcela,pct_contraste
legado,atraso_relativo,A,-0.5967631177136437,52.55976151279914
legado,atraso_relativo,B,0.0,-0.0
legado,atraso_relativo,C,-0.31619985324382105,27.849222553415448
legado,atraso_relativo,D,-0.43651242523254186,38.445722073938796
legado,atraso_relativo,AB,-2.80709041835082e-15,2.47233782641674e-13
legado,atraso_relativo,AC,0.025261637546209414,-2.2249123738385204
legado,atraso_relativo,AD,-0.10623056951999309,9.356230694569971
legado,atraso_relativo,BC,-2.2072382748377007e-16,1.9440195595844445e-14
legado,atraso_relativo,BD,7.303062963018761e-16,-6.432154338221202e-14
legado,atraso_relativo,CD,0.29695918637777996,-26.154605658020113
legado,atraso_relativo,ABC,4.35150983929072e-16,-3.8325813473524274e-14
legado,atraso_relativo,ABD,1.769030051699297e-15,-1.558068769104227e-13
legado,atraso_relativo,ACD,-0.00191406958279061,0.16858119713532918
legado,atraso_relativo,BCD,-1.1493127696989887e-15,1.0122543315081352e-13
legado,atraso_relativo,ABCD,-3.2707682666652262e-15,2.8807209252172146e-13
legado,E_total,A,0.10294900979532196,98.39240130627077
legado,E_total,B,0.0,0.0
legado,E_total,C,0.004484947458066008,4.286439966823477
legado,E_total,D,0.0018999282493703906,1.8158358505519743
legado,E_total,AB,-8.017915242331827e-16,-7.663035669130121e-13
legado,E_total,AC,-0.0020731423959222907,-1.981383395432121
legado,E_total,AD,-0.002693559924180876,-2.5743407297399368
legado,E_total,BC,3.1398206651645983e-17,3.0008496005042225e-14
legado,E_total,BD,2.2738022214047173e-16,2.1731618507486512e-13
legado,E_total,CD,-0.002427103423593711,-2.319677814685573
legado,E_total,ABC,-1.3615938759081822e-16,-1.3013286025856092e-13
legado,E_total,ABD,6.34900277534575e-16,6.067990650987614e-13
legado,E_total,ACD,0.0024909775467434146,2.3807248162111514
legado,E_total,BCD,-4.676618496379311e-16,-4.4696274861401427e-13
legado,E_total,ABCD,-9.642377267001572e-16,-9.21559765837002e-13
legado,TW,A,-147.26041666666669,98.43336582648655
legado,TW,B,0.0,-0.0
legado,TW,C,0.4166666666669018,-0.27851274195810166
legado,TW,D,1.3749999999998268,-0.9190920484611013
legado,TW,AB,-6.252815105967091e-13,4.1795728322854803e-13
legado,TW,AC,-1.4218750000000981,0.9504247319315513
legado,TW,AD,-2.4114583333333113,1.6118924940815893
