reporte,metrica,contraste,arquivo,delta
centralizada,taxa_omissao,portao,j6010_1.sm,0.033333333333333326
centralizada,taxa_omissao,rede,j6010_1.sm,-0.016666666666666663
centralizada,taxa_omissao,interacao,j6010_1.sm,-0.18333333333333335
centralizada,taxa_omissao,total,j6010_1.sm,-0.16666666666666669
centralizada,taxa_omissao,portao_rede_A,j6010_1.sm,-0.15000000000000002
centralizada,taxa_omissao,rede_portao_A,j6010_1.sm,-0.2
centralizada,divida_latente_sobre_plano,portao,j6010_1.sm,-0.017901127278590223
centralizada,divida_latente_sobre_plano,rede,j6010_1.sm,0.0074535778063293395
centralizada,divida_latente_sobre_plano,interacao,j6010_1.sm,-0.04438706403659122
centralizada,divida_latente_sobre_plano,total,j6010_1.sm,-0.05483461350885212
centralizada,divida_latente_sobre_plano,portao_rede_A,j6010_1.sm,-0.06228819131518146
centralizada,divida_latente_sobre_plano,rede_portao_A,j6010_1.sm,-0.036933486230261894
centralizada,taxa_falha_efetiva,portao,j6010_1.sm,0.016666666666666663
centralizada,taxa_falha_efetiva,rede,j6010_1.sm,-0.016666666666666663
centralizada,taxa_falha_efetiva,interacao,j6010_1.sm,-0.14999999999999997
centralizada,taxa_falha_efetiva,total,j6010_1.sm,-0.15
centralizada,taxa_falha_efetiva,portao_rede_A,j6010_1.sm,-0.13333333333333333
centralizada,taxa_falha_efetiva,rede_portao_A,j6010_1.sm,-0.16666666666666666
centralizada,fracao_porta1,portao,j6010_1.sm,-0.2333333333333334
centralizada,fracao_porta1,rede,j6010_1.sm,-0.06666666666666671
centralizada,fracao_porta1,interacao,j6010_1.sm,0.1166666666666667
centralizada,fracao_porta1,total,j6010_1.sm,-0.1833333333333334
centralizada,fracao_porta1,portao_rede_A,j6010_1.sm,-0.1166666666666667
centralizada,fracao_porta1,rede_portao_A,j6010_1.sm,0.04999999999999999
centralizada,mu_cog_medio,portao,j6010_1.sm,0.07240845550848696
centralizada,mu_cog_medio,rede,j6010_1.sm,0.0623784341797301
centralizada,mu_cog_medio,interacao,j6010_1.sm,-0.02444810336700065
centralizada,mu_cog_medio,total,j6010_1.sm,0.11033878632121641
centralizada,mu_cog_medio,portao_rede_A,j6010_1.sm,0.04796035214148631
centralizada,mu_cog_medio,rede_portao_A,j6010_1.sm,0.03793033081272945
centralizada,mu_rede_medio,portao,j6010_1.sm,0.16145068666796802
centralizada,mu_rede_medio,rede,j6010_1.sm,0.14232413475131778
centralizada,mu_rede_medio,interacao,j6010_1.sm,-0.11892861085453432
centralizada,mu_rede_medio,total,j6010_1.sm,0.18484621056475148
centralizada,mu_rede_medio,portao_rede_A,j6010_1.sm,0.0425220758134337
centralizada,mu_rede_medio,rede_portao_A,j6010_1.sm,0.023395523896783454
centralizada,duracao_efetiva_media,portao,j6010_1.sm,-1.8833333333333329
centralizada,duracao_efetiva_media,rede,j6010_1.sm,-2.05
centralizada,duracao_efetiva_media,interacao,j6010_1.sm,1.3833333333333329
centralizada,duracao_efetiva_media,total,j6010_1.sm,-2.55
centralizada,duracao_efetiva_media,portao_rede_A,j6010_1.sm,-0.5
centralizada,duracao_efetiva_media,rede_portao_A,j6010_1.sm,-0.666666666666667
centralizada,N_req,portao,j6010_1.sm,103.0
centralizada,N_req,rede,j6010_1.sm,0.0
