reporte,metrica,contraste,media,ic95_inferior,ic95_superior,n_instancias
centralizada,divida_latente_sobre_plano,rede_portao_A,-0.036933486230261894,,,1
centralizada,taxa_falha_efetiva,portao,0.016666666666666663,,,1
centralizada,taxa_falha_efetiva,rede,-0.016666666666666663,,,1
centralizada,taxa_falha_efetiva,interacao,-0.14999999999999997,,,1
centralizada,taxa_falha_efetiva,total,-0.15,,,1
centralizada,taxa_falha_efetiva,portao_rede_A,-0.13333333333333333,,,1
centralizada,taxa_falha_efetiva,rede_portao_A,-0.16666666666666666,,,1
centralizada,fracao_porta1,portao,-0.2333333333333334,,,1
centralizada,fracao_porta1,rede,-0.06666666666666671,,,1
centralizada,fracao_porta1,interacao,0.1166666666666667,,,1
centralizada,fracao_porta1,total,-0.1833333333333334,,,1
centralizada,fracao_porta1,portao_rede_A,-0.1166666666666667,,,1
centralizada,fracao_porta1,rede_portao_A,0.04999999999999999,,,1
centralizada,mu_cog_medio,portao,0.07240845550848696,,,1
centralizada,mu_cog_medio,rede,0.0623784341797301,,,1
centralizada,mu_cog_medio,interacao,-0.02444810336700065,,,1
centralizada,mu_cog_medio,total,0.11033878632121641,,,1
centralizada,mu_cog_medio,portao_rede_A,0.04796035214148631,,,1
centralizada,mu_cog_medio,rede_portao_A,0.03793033081272945,,,1
centralizada,mu_rede_medio,portao,0.16145068666796802,,,1
centralizada,mu_rede_medio,rede,0.14232413475131778,,,1
centralizada,mu_rede_medio,interacao,-0.11892861085453432,,,1
centralizada,mu_rede_medio,total,0.18484621056475148,,,1
centralizada,mu_rede_medio,portao_rede_A,0.0425220758134337,,,1
centralizada,mu_rede_medio,rede_portao_A,0.023395523896783454,,,1
centralizada,duracao_efetiva_media,portao,-1.8833333333333329,,,1
centralizada,duracao_efetiva_media,rede,-2.05,,,1
centralizada,duracao_efetiva_media,interacao,1.3833333333333329,,,1
centralizada,duracao_efetiva_media,total,-2.55,,,1
centralizada,duracao_efetiva_media,portao_rede_A,-0.5,,,1
centralizada,duracao_efetiva_media,rede_portao_A,-0.666666666666667,,,1
centralizada,N_req,portao,103.0,,,1
centralizada,N_req,rede,0.0,,,1
centralizada,N_req,interacao,-4.0,,,1
centralizada,N_req,total,99.0,,,1
centralizada,N_req,portao_rede_A,99.0,,,1
centralizada,N_req,rede_portao_A,-4.0,,,1
centralizada,N_fail,portao,18.0,,,1
centralizada,N_fail,rede,0.0,,,1
centralizada,N_fail,interacao,6.0,,,1
centralizada,N_fail,total,24.0,,,1
centralizada,N_fail,portao_rede_A,24.0,,,1
centralizada,N_fail,rede_portao_A,6.0,,,1
centralizada,N_success,portao,85.0,,,1
centralizada,N_success,rede,0.0,,,1
centralizada,N_success,interacao,-10.0,,,1
centralizada,N_success,total,75.0,,,1
centralizada,N_success,portao_rede_A,75.0,,,1
centralizada,N_success,rede_portao_A,-10.0,,,1
centralizada,N_blocked,portao,-99.0,,,1
centralizada,N_blocked,rede,41.0,,,1
centralizada,N_blocked,interacao,-41.0,,,1
centralizada,N_blocked,total,-99.0,,,1
centralizada,N_blocked,portao_rede_A,-140.0,,,1
centralizada,N_blocked,rede_portao_A,0.0,,,1
