grupo,n,media_taxa_omissao,var_legado_taxa_omissao,var_pareada_taxa_omissao,media_atraso_relativo,var_legado_atraso_relativo,var_pareada_atraso_relativo,media_retrabalho_sobre_plano,var_legado_retrabalho_sobre_plano,var_pareada_retrabalho_sobre_plano,media_E_total,var_legado_E_total,var_pareada_E_total
sim=0,8,0.10208333333333333,0.0002523561507936508,0.00018952546296296295,1.6269820971867008,0.0003030832778643166,0.0006357819577415206,0.2307886512591537,0.00011945028926099511,0.00015381627450448542,0.8450535310356571,2.7720834862421314e-05,4.2910633419028804e-05
obs=0,20,0.11000000000000001,0.0001190058479532164,0.00015555555555555556,1.6101023017902811,0.00020106497615716181,0.0001629924622241089,0.2005647272232566,4.0164319444746436e-05,5.813258111420981e-05,0.8571524924617073,1.2705110342559679e-05,1.540879106798761e-05
sim=1,8,0.08750000000000001,6.696428571428572e-05,0.0001215277777777778,1.6155583972719523,0.0002444756026136319,3.4590568747854964e-05,0.20857566212624645,0.00013340925101606167,7.999765858485417e-05,0.8517240127090819,4.573954202950983e-05,5.5858550601396825e-05
obs=1,20,0.10833333333333332,8.698830409356722e-05,0.00011728395061728395,1.6174424552429667,0.0001903565327020585,0.00014367734252437582,0.20636561686203883,6.333268272026718e-05,7.553549626252452e-05,0.8534733576535839,9.69442103716253e-06,1.2426496823046993e-05
sim=2,8,0.1125,0.0006324404761904762,0.0013599537037037035,1.636615515771526,0.0025216373290856057,0.0038452014360237092,0.21071636781547948,0.0001343916764242694,0.0002698942721228239,0.8496060094692561,3.755386468468185e-05,3.607711291056963e-05
obs=2,20,0.09583333333333335,1.8823099415204685e-05,1.5817901234567908e-05,1.6492497868712703,0.000117284551593486,0.00015557263492520332,0.19652342688994612,0.0001224100759372718,0.00016268868499101928,0.8614130138039838,3.580830898164898e-05,4.7001059706403436e-05
sim=3,8,0.10416666666666666,0.00023561507936507937,0.0004456018518518518,1.6535592497868712,0.0004552596178394997,0.00012123854137822473,0.2211411843883571,0.00021781571804346472,0.00025149546023046134,0.8501312059298932,4.155958438060999e-05,5.505858870561814e-05
obs=3,20,0.09166666666666666,8.698830409356725e-05,6.018518518518519e-05,1.6091560102301792,0.00015499225384602353,0.00014341085590575947,0.2019439064081471,7.939422577227692e-05,7.405458519056595e-05,0.8563339409544263,1.9870830062316788e-05,2.5536077784002818e-05
sim=4,8,0.09375,0.00024739583333333335,0.0005251736111111111,1.6178175618073316,0.0002635964501075279,0.0003526574893520436,0.2095566361706565,0.00015090547893962126,0.00015710764115380138,0.8522045234879232,3.5155113535499834e-05,3.677545927710683e-05
obs=4,20,0.10166666666666666,9.780701754385962e-05,0.0001,1.627988064791134,0.0002046646723012139,7.32458740401739e-05,0.2069563030321147,6.555367547525151e-05,6.961774335766907e-05,0.8530850652822843,2.3193309324514143e-05,2.2933168565800897e-05
