reporte,metrica,contraste,media,ic95_inferior,ic95_superior,n_instancias
adaptativa,atraso_relativo,portao,-0.26038352328201886,-0.3014553130958951,-0.21931173346814256,16
adaptativa,atraso_relativo,rede,-0.2986655674032753,-0.3392780677835393,-0.25805306702301134,16
adaptativa,atraso_relativo,interacao,0.12643464506220864,0.08913452714368249,0.1637347629807348,16
adaptativa,atraso_relativo,total,-0.4326144456230856,-0.4913901004700265,-0.3738387907761447,16
adaptativa,atraso_relativo,portao_rede_A,-0.13394887821981022,-0.16145953889882397,-0.10643821754079646,16
adaptativa,atraso_relativo,rede_portao_A,-0.1722309223410667,-0.21978234971703936,-0.12467949496509408,16
adaptativa,taxa_omissao,portao,-0.004600694444444444,-0.011599471524569641,0.002398082635680754,16
adaptativa,taxa_omissao,rede,-0.0015624999999999999,-0.008328662322768576,0.005203662322768577,16
adaptativa,taxa_omissao,interacao,0.0003472222222222184,-0.0081148306839165,0.008809275128360938,16
adaptativa,taxa_omissao,total,-0.005815972222222222,-0.013602578328421346,0.0019706338839769024,16
adaptativa,taxa_omissao,portao_rede_A,-0.004253472222222223,-0.010576594850436173,0.0020696504059917274,16
adaptativa,taxa_omissao,rede_portao_A,-0.0012152777777777778,-0.009153548038047632,0.0067229924824920755,16
adaptativa,divida_latente_sobre_plano,portao,-0.003078042539171064,-0.0052904359380614545,-0.0008656491402806734,16
adaptativa,divida_latente_sobre_plano,rede,-0.0017646919061993839,-0.004401235547731594,0.0008718517353328271,16
adaptativa,divida_latente_sobre_plano,interacao,0.0013155758408682958,-0.000923159399257854,0.0035543110809944456,16
adaptativa,divida_latente_sobre_plano,total,-0.0035271586045021526,-0.0060627519510340205,-0.0009915652579702843,16
adaptativa,divida_latente_sobre_plano,portao_rede_A,-0.0017624666983027688,-0.0033438033558815953,-0.00018113004072394206,16
adaptativa,divida_latente_sobre_plano,rede_portao_A,-0.0004491160653310886,-0.003002779958072782,0.002104547827410605,16
adaptativa,taxa_falha_efetiva,portao,-0.022395833333333337,-0.03472333112922229,-0.010068335537444387,16
adaptativa,taxa_falha_efetiva,rede,-0.020312500000000004,-0.031312604471742576,-0.009312395528257434,16
adaptativa,taxa_falha_efetiva,interacao,0.008159722222222221,-0.005664586581569757,0.0219840310260142,16
adaptativa,taxa_falha_efetiva,total,-0.03454861111111111,-0.048574831458383344,-0.02052239076383888,16
adaptativa,taxa_falha_efetiva,portao_rede_A,-0.014236111111111114,-0.024815295309643,-0.0036569269125792288,16
adaptativa,taxa_falha_efetiva,rede_portao_A,-0.01215277777777778,-0.02294384005828121,-0.0013617154972743496,16
adaptativa,fracao_porta1,portao,-0.0724826388888889,-0.0897045018286296,-0.05526077594914819,16
adaptativa,fracao_porta1,rede,-0.04357638888888889,-0.054297432329928536,-0.03285534544784924,16
adaptativa,fracao_porta1,interacao,-0.002951388888888892,-0.019362577372959166,0.013459799595181381,16
adaptativa,fracao_porta1,total,-0.11901041666666667,-0.13869675627565703,-0.09932407705767632,16
adaptativa,fracao_porta1,portao_rede_A,-0.07543402777777777,-0.08809136674818943,-0.06277668880736612,16
adaptativa,fracao_porta1,rede_portao_A,-0.04652777777777778,-0.061857876695768275,-0.031197678859787283,16
adaptativa,mu_cog_medio,portao,0.03258836596096184,0.025689572700015754,0.03948715922190792,16
adaptativa,mu_cog_medio,rede,0.031144559710551984,0.025711569939374682,0.03657754948172928,16
adaptativa,mu_cog_medio,interacao,-0.004686744155157628,-0.010203923746518363,0.0008304354362031075,16
adaptativa,mu_cog_medio,total,0.05904618151635621,0.04926119236741333,0.06883117066529909,16
adaptativa,mu_cog_medio,portao_rede_A,0.027901621805804216,0.022231914814250416,0.03357132879735802,16
adaptativa,mu_cog_medio,rede_portao_A,0.026457815555394358,0.01978665000559086,0.03312898110519785,16
adaptativa,mu_rede_medio,portao,0.12112669168751344,0.11456678609523359,0.12768659727979328,16
adaptativa,mu_rede_medio,rede,0.13785064032338457,0.13162713125127665,0.14407414939549248,16
adaptativa,mu_rede_medio,interacao,-0.059307033231151385,-0.06866344711754199,-0.049950619344760784,16
adaptativa,mu_rede_medio,total,0.19967029877974662,0.19361167356571948,0.20572892399377377,16
adaptativa,mu_rede_medio,portao_rede_A,0.06181965845636207,0.053881887094132955,0.06975742981859119,16
adaptativa,mu_rede_medio,rede_portao_A,0.07854360709223317,0.0709733014282819,0.08611391275618444,16
adaptativa,duracao_efetiva_media,portao,-1.351388888888889,-1.488791444695243,-1.213986333082535,16
adaptativa,duracao_efetiva_media,rede,-1.5381076388888888,-1.6315529570142706,-1.444662320763507,16
adaptativa,duracao_efetiva_media,interacao,0.6652777777777776,0.5383589233906019,0.7921966321649534,16
adaptativa,duracao_efetiva_media,total,-2.2242187500000004,-2.323329208856177,-2.1251082911438237,16
adaptativa,duracao_efetiva_media,portao_rede_A,-0.6861111111111111,-0.7473409265573164,-0.6248812956649058,16
adaptativa,duracao_efetiva_media,rede_portao_A,-0.8728298611111112,-0.9730763095613009,-0.7725834126609215,16
adaptativa,N_req,portao,129.58854166666669,114.3897076689174,144.78737566441598,16
adaptativa,N_req,rede,0.0,0.0,0.0,16
adaptativa,N_req,interacao,12.385416666666668,6.893254646543073,17.87757868679026,16
adaptativa,N_req,total,141.97395833333334,124.9344333641593,159.01348330250738,16
adaptativa,N_req,portao_rede_A,141.97395833333334,124.9344333641593,159.01348330250738,16
adaptativa,N_req,rede_portao_A,12.385416666666668,6.893254646543073,17.87757868679026,16
adaptativa,N_fail,portao,39.203125,33.06969759481526,45.33655240518474,16
adaptativa,N_fail,rede,0.0,0.0,0.0,16
adaptativa,N_fail,interacao,-0.08854166666666657,-2.345122168574357,2.168038835241024,16
