reporte,metrica,contraste,arquivo,delta
adaptativa,atraso_relativo,portao_rede_A,j6043_1.sm,-0.13040123456790123
adaptativa,atraso_relativo,portao_rede_A,j6046_1.sm,-0.17521367521367523
adaptativa,atraso_relativo,portao_rede_A,j604_1.sm,-0.1061507936507936
adaptativa,atraso_relativo,portao_rede_A,j607_1.sm,-0.15043290043290042
adaptativa,atraso_relativo,rede_portao_A,j6010_1.sm,-0.1480392156862745
adaptativa,atraso_relativo,rede_portao_A,j6013_1.sm,-0.4082125603864733
adaptativa,atraso_relativo,rede_portao_A,j6016_1.sm,-0.22395833333333334
adaptativa,atraso_relativo,rede_portao_A,j6019_1.sm,-0.25537634408602145
adaptativa,atraso_relativo,rede_portao_A,j6021_1.sm,-0.27960526315789463
adaptativa,atraso_relativo,rede_portao_A,j6024_1.sm,-0.1974358974358974
adaptativa,atraso_relativo,rede_portao_A,j6027_1.sm,-0.0555555555555556
adaptativa,atraso_relativo,rede_portao_A,j602_1.sm,-0.17948717948717952
adaptativa,atraso_relativo,rede_portao_A,j6032_1.sm,-0.1727053140096618
adaptativa,atraso_relativo,rede_portao_A,j6035_1.sm,-0.054487179487179536
adaptativa,atraso_relativo,rede_portao_A,j6038_1.sm,-0.10730593607305934
adaptativa,atraso_relativo,rede_portao_A,j6040_1.sm,-0.1327519379844961
adaptativa,atraso_relativo,rede_portao_A,j6043_1.sm,-0.1296296296296296
adaptativa,atraso_relativo,rede_portao_A,j6046_1.sm,-0.1057692307692308
adaptativa,atraso_relativo,rede_portao_A,j604_1.sm,-0.128968253968254
adaptativa,atraso_relativo,rede_portao_A,j607_1.sm,-0.17640692640692643
adaptativa,taxa_omissao,portao,j6010_1.sm,1.1564823173178713e-18
adaptativa,taxa_omissao,portao,j6013_1.sm,-0.016666666666666666
adaptativa,taxa_omissao,portao,j6016_1.sm,-0.011111111111111105
adaptativa,taxa_omissao,portao,j6019_1.sm,0.005555555555555557
adaptativa,taxa_omissao,portao,j6021_1.sm,-0.018055555555555557
adaptativa,taxa_omissao,portao,j6024_1.sm,0.018055555555555557
adaptativa,taxa_omissao,portao,j6027_1.sm,1.1564823173178713e-18
adaptativa,taxa_omissao,portao,j602_1.sm,-0.008333333333333335
adaptativa,taxa_omissao,portao,j6032_1.sm,-0.03472222222222222
adaptativa,taxa_omissao,portao,j6035_1.sm,-0.009722222222222222
adaptativa,taxa_omissao,portao,j6038_1.sm,-0.005555555555555556
adaptativa,taxa_omissao,portao,j6040_1.sm,-0.0027777777777777783
adaptativa,taxa_omissao,portao,j6043_1.sm,0.016666666666666666
adaptativa,taxa_omissao,portao,j6046_1.sm,-0.0013888888888888874
adaptativa,taxa_omissao,portao,j604_1.sm,0.005555555555555556
adaptativa,taxa_omissao,portao,j607_1.sm,-0.011111111111111108
adaptativa,taxa_omissao,rede,j6010_1.sm,-0.02361111111111111
adaptativa,taxa_omissao,rede,j6013_1.sm,-0.008333333333333337
adaptativa,taxa_omissao,rede,j6016_1.sm,-0.001388888888888885
adaptativa,taxa_omissao,rede,j6019_1.sm,0.018055555555555557
adaptativa,taxa_omissao,rede,j6021_1.sm,-0.01388888888888889
adaptativa,taxa_omissao,rede,j6024_1.sm,0.005555555555555554
adaptativa,taxa_omissao,rede,j6027_1.sm,-0.005555555555555556
adaptativa,taxa_omissao,rede,j602_1.sm,0.009722222222222222
adaptativa,taxa_omissao,rede,j6032_1.sm,-0.0013888888888888874
adaptativa,taxa_omissao,rede,j6035_1.sm,0.00972222222222222
adaptativa,taxa_omissao,rede,j6038_1.sm,-0.004166666666666667
adaptativa,taxa_omissao,rede,j6040_1.sm,0.005555555555555554
adaptativa,taxa_omissao,rede,j6043_1.sm,0.001388888888888888
adaptativa,taxa_omissao,rede,j6046_1.sm,-0.011111111111111108
adaptativa,taxa_omissao,rede,j604_1.sm,0.018055555555555557
adaptativa,taxa_omissao,rede,j607_1.sm,-0.02361111111111111
adaptativa,taxa_omissao,interacao,j6010_1.sm,0.016666666666666666
adaptativa,taxa_omissao,interacao,j6013_1.sm,0.011111111111111105
adaptativa,taxa_omissao,interacao,j6016_1.sm,0.008333333333333325
adaptativa,taxa_omissao,interacao,j6019_1.sm,-0.006944444444444445
adaptativa,taxa_omissao,interacao,j6021_1.sm,-0.005555555555555557
adaptativa,taxa_omissao,interacao,j6024_1.sm,-0.025000000000000005
adaptativa,taxa_omissao,interacao,j6027_1.sm,0.008333333333333331
adaptativa,taxa_omissao,interacao,j602_1.sm,-0.00416666666666667
adaptativa,taxa_omissao,interacao,j6032_1.sm,0.03194444444444444
adaptativa,taxa_omissao,interacao,j6035_1.sm,0.015277777777777777
adaptativa,taxa_omissao,interacao,j6038_1.sm,-0.0055555555555555575
adaptativa,taxa_omissao,interacao,j6040_1.sm,-0.016666666666666673
adaptativa,taxa_omissao,interacao,j6043_1.sm,-0.0027777777777777796
adaptativa,taxa_omissao,interacao,j6046_1.sm,-0.009722222222222226
adaptativa,taxa_omissao,interacao,j604_1.sm,-0.025000000000000005
adaptativa,taxa_omissao,interacao,j607_1.sm,0.015277777777777774
adaptativa,taxa_omissao,total,j6010_1.sm,-0.006944444444444445
adaptativa,taxa_omissao,total,j6013_1.sm,-0.013888888888888893
adaptativa,taxa_omissao,total,j6016_1.sm,-0.004166666666666663
adaptativa,taxa_omissao,total,j6019_1.sm,0.016666666666666666
adaptativa,taxa_omissao,total,j6021_1.sm,-0.0375
adaptativa,taxa_omissao,total,j6024_1.sm,-0.0013888888888888892
adaptativa,taxa_omissao,total,j6027_1.sm,0.0027777777777777783
adaptativa,taxa_omissao,total,j602_1.sm,-0.0027777777777777805
adaptativa,taxa_omissao,total,j6032_1.sm,-0.004166666666666663
adaptativa,taxa_omissao,total,j6035_1.sm,0.015277777777777777
adaptativa,taxa_omissao,total,j6038_1.sm,-0.015277777777777779
adaptativa,taxa_omissao,total,j6040_1.sm,-0.01388888888888889
adaptativa,taxa_omissao,total,j6043_1.sm,0.015277777777777777
adaptativa,taxa_omissao,total,j6046_1.sm,-0.022222222222222223
adaptativa,taxa_omissao,total,j604_1.sm,-0.0013888888888888892
adaptativa,taxa_omissao,total,j607_1.sm,-0.01944444444444444
adaptativa,taxa_omissao,portao_rede_A,j6010_1.sm,0.016666666666666666
adaptativa,taxa_omissao,portao_rede_A,j6013_1.sm,-0.005555555555555557
adaptativa,taxa_omissao,portao_rede_A,j6016_1.sm,-0.0027777777777777783
adaptativa,taxa_omissao,portao_rede_A,j6019_1.sm,-0.0013888888888888874
adaptativa,taxa_omissao,portao_rede_A,j6021_1.sm,-0.02361111111111111
adaptativa,taxa_omissao,portao_rede_A,j6024_1.sm,-0.006944444444444443
adaptativa,taxa_omissao,portao_rede_A,j6027_1.sm,0.008333333333333333
adaptativa,taxa_omissao,portao_rede_A,j602_1.sm,-0.012500000000000002
adaptativa,taxa_omissao,portao_rede_A,j6032_1.sm,-0.002777777777777776
adaptativa,taxa_omissao,portao_rede_A,j6035_1.sm,0.005555555555555556
adaptativa,taxa_omissao,portao_rede_A,j6038_1.sm,-0.011111111111111113
adaptativa,taxa_omissao,portao_rede_A,j6040_1.sm,-0.019444444444444445
adaptativa,taxa_omissao,portao_rede_A,j6043_1.sm,0.013888888888888888
adaptativa,taxa_omissao,portao_rede_A,j6046_1.sm,-0.011111111111111112
adaptativa,taxa_omissao,portao_rede_A,j604_1.sm,-0.019444444444444445
adaptativa,taxa_omissao,portao_rede_A,j607_1.sm,0.004166666666666668
adaptativa,taxa_omissao,rede_portao_A,j6010_1.sm,-0.006944444444444447
adaptativa,taxa_omissao,rede_portao_A,j6013_1.sm,0.002777777777777776
adaptativa,taxa_omissao,rede_portao_A,j6016_1.sm,0.006944444444444441
adaptativa,taxa_omissao,rede_portao_A,j6019_1.sm,0.011111111111111113
adaptativa,taxa_omissao,rede_portao_A,j6021_1.sm,-0.019444444444444445
adaptativa,taxa_omissao,rede_portao_A,j6024_1.sm,-0.019444444444444445
adaptativa,taxa_omissao,rede_portao_A,j6027_1.sm,0.002777777777777777
adaptativa,taxa_omissao,rede_portao_A,j602_1.sm,0.005555555555555554
adaptativa,taxa_omissao,rede_portao_A,j6032_1.sm,0.030555555555555558
adaptativa,taxa_omissao,rede_portao_A,j6035_1.sm,0.024999999999999998
adaptativa,taxa_omissao,rede_portao_A,j6038_1.sm,-0.009722222222222222
adaptativa,taxa_omissao,rede_portao_A,j6040_1.sm,-0.011111111111111112
adaptativa,taxa_omissao,rede_portao_A,j6043_1.sm,-0.0013888888888888902
adaptativa,taxa_omissao,rede_portao_A,j6046_1.sm,-0.020833333333333332
adaptativa,taxa_omissao,rede_portao_A,j604_1.sm,-0.006944444444444444
adaptativa,taxa_omissao,rede_portao_A,j607_1.sm,-0.008333333333333331
adaptativa,divida_latente_sobre_plano,portao,j6010_1.sm,-0.0018391085781825592
adaptativa,divida_latente_sobre_plano,portao,j6013_1.sm,-0.006848858096874033
adaptativa,divida_latente_sobre_plano,portao,j6016_1.sm,-0.0071877955481999475
adaptativa,divida_latente_sobre_plano,portao,j6019_1.sm,0.0015849636405778484
adaptativa,divida_latente_sobre_plano,portao,j6021_1.sm,-0.006955181410131978
adaptativa,divida_latente_sobre_plano,portao,j6024_1.sm,-0.002071232191346551
adaptativa,divida_latente_sobre_plano,portao,j6027_1.sm,-0.0015944282006197937
adaptativa,divida_latente_sobre_plano,portao,j602_1.sm,-0.005202936756908376
adaptativa,divida_latente_sobre_plano,portao,j6032_1.sm,-0.011764973057183133
adaptativa,divida_latente_sobre_plano,portao,j6035_1.sm,-0.004018370958175814
adaptativa,divida_latente_sobre_plano,portao,j6038_1.sm,-0.0032738439994823864
adaptativa,divida_latente_sobre_plano,portao,j6040_1.sm,-0.0029042131958414426
adaptativa,divida_latente_sobre_plano,portao,j6043_1.sm,0.003847071882979681
adaptativa,divida_latente_sobre_plano,portao,j6046_1.sm,-0.001088485029196908
adaptativa,divida_latente_sobre_plano,portao,j604_1.sm,0.004140423869842355
adaptativa,divida_latente_sobre_plano,portao,j607_1.sm,-0.0040717129979939886
adaptativa,divida_latente_sobre_plano,rede,j6010_1.sm,-0.0032354036087409222
adaptativa,divida_latente_sobre_plano,rede,j6013_1.sm,0.000852850970389606
adaptativa,divida_latente_sobre_plano,rede,j6016_1.sm,-0.004182619020376762
adaptativa,divida_latente_sobre_plano,rede,j6019_1.sm,0.00904259450187234
adaptativa,divida_latente_sobre_plano,rede,j6021_1.sm,-0.0011108719247693549
adaptativa,divida_latente_sobre_plano,rede,j6024_1.sm,-0.008338403405431004
adaptativa,divida_latente_sobre_plano,rede,j6027_1.sm,-0.004881760629608056
adaptativa,divida_latente_sobre_plano,rede,j602_1.sm,-0.005621833769589639
adaptativa,divida_latente_sobre_plano,rede,j6032_1.sm,0.004374951464712539
adaptativa,divida_latente_sobre_plano,rede,j6035_1.sm,-0.0004749054083144335
adaptativa,divida_latente_sobre_plano,rede,j6038_1.sm,-0.0057376187395563214
adaptativa,divida_latente_sobre_plano,rede,j6040_1.sm,-0.0028928143253413707
adaptativa,divida_latente_sobre_plano,rede,j6043_1.sm,0.004486005578427557
adaptativa,divida_latente_sobre_plano,rede,j6046_1.sm,-0.005639156834810439
adaptativa,divida_latente_sobre_plano,rede,j604_1.sm,0.0028499514397546948
adaptativa,divida_latente_sobre_plano,rede,j607_1.sm,-0.007726036787808574
adaptativa,divida_latente_sobre_plano,interacao,j6010_1.sm,-0.001306190230503743
adaptativa,divida_latente_sobre_plano,interacao,j6013_1.sm,0.00111430064523544
adaptativa,divida_latente_sobre_plano,interacao,j6016_1.sm,0.005333751273061393
adaptativa,divida_latente_sobre_plano,interacao,j6019_1.sm,-0.0048121493212150155
adaptativa,divida_latente_sobre_plano,interacao,j6021_1.sm,0.004351474570755259
adaptativa,divida_latente_sobre_plano,interacao,j6024_1.sm,-0.0010948236358967083
adaptativa,divida_latente_sobre_plano,interacao,j6027_1.sm,0.0011142056119337075
adaptativa,divida_latente_sobre_plano,interacao,j602_1.sm,0.0015992066171832645
adaptativa,divida_latente_sobre_plano,interacao,j6032_1.sm,0.004379678926752642
adaptativa,divida_latente_sobre_plano,interacao,j6035_1.sm,0.00859382557550989
adaptativa,divida_latente_sobre_plano,interacao,j6038_1.sm,0.004106656306501985
adaptativa,divida_latente_sobre_plano,interacao,j6040_1.sm,1.977393018567254e-05
adaptativa,divida_latente_sobre_plano,interacao,j6043_1.sm,-0.005516323387156471
adaptativa,divida_latente_sobre_plano,interacao,j6046_1.sm,0.00235763701530115
adaptativa,divida_latente_sobre_plano,interacao,j604_1.sm,-0.005416508200257416
adaptativa,divida_latente_sobre_plano,interacao,j607_1.sm,0.0062246977565016785
adaptativa,divida_latente_sobre_plano,total,j6010_1.sm,-0.006380702417427224
adaptativa,divida_latente_sobre_plano,total,j6013_1.sm,-0.004881706481248987
adaptativa,divida_latente_sobre_plano,total,j6016_1.sm,-0.006036663295515318
adaptativa,divida_latente_sobre_plano,total,j6019_1.sm,0.005815408821235171
adaptativa,divida_latente_sobre_plano,total,j6021_1.sm,-0.0037145787641460746
adaptativa,divida_latente_sobre_plano,total,j6024_1.sm,-0.011504459232674263
adaptativa,divida_latente_sobre_plano,total,j6027_1.sm,-0.005361983218294143
adaptativa,divida_latente_sobre_plano,total,j602_1.sm,-0.009225563909314751
adaptativa,divida_latente_sobre_plano,total,j6032_1.sm,-0.0030103426657179535
adaptativa,divida_latente_sobre_plano,total,j6035_1.sm,0.004100549209019644
adaptativa,divida_latente_sobre_plano,total,j6038_1.sm,-0.004904806432536723
adaptativa,divida_latente_sobre_plano,total,j6040_1.sm,-0.0057772535909971405
adaptativa,divida_latente_sobre_plano,total,j6043_1.sm,0.002816754074250766
adaptativa,divida_latente_sobre_plano,total,j6046_1.sm,-0.004370004848706197
adaptativa,divida_latente_sobre_plano,total,j604_1.sm,0.0015738671093396316
adaptativa,divida_latente_sobre_plano,total,j607_1.sm,-0.005573052029300883
adaptativa,divida_latente_sobre_plano,portao_rede_A,j6010_1.sm,-0.003145298808686303
adaptativa,divida_latente_sobre_plano,portao_rede_A,j6013_1.sm,-0.005734557451638593
adaptativa,divida_latente_sobre_plano,portao_rede_A,j6016_1.sm,-0.0018540442751385552
adaptativa,divida_latente_sobre_plano,portao_rede_A,j6019_1.sm,-0.0032271856806371673
adaptativa,divida_latente_sobre_plano,portao_rede_A,j6021_1.sm,-0.00260370683937672
adaptativa,divida_latente_sobre_plano,portao_rede_A,j6024_1.sm,-0.003166055827243259
adaptativa,divida_latente_sobre_plano,portao_rede_A,j6027_1.sm,-0.00048022258868608576
adaptativa,divida_latente_sobre_plano,portao_rede_A,j602_1.sm,-0.0036037301397251116
adaptativa,divida_latente_sobre_plano,portao_rede_A,j6032_1.sm,-0.007385294130430491
adaptativa,divida_latente_sobre_plano,portao_rede_A,j6035_1.sm,0.004575454617334077
adaptativa,divida_latente_sobre_plano,portao_rede_A,j6038_1.sm,0.0008328123070195982
adaptativa,divida_latente_sobre_plano,portao_rede_A,j6040_1.sm,-0.002884439265655769
adaptativa,divida_latente_sobre_plano,portao_rede_A,j6043_1.sm,-0.0016692515041767907
adaptativa,divida_latente_sobre_plano,portao_rede_A,j6046_1.sm,0.0012691519861042421
adaptativa,divida_latente_sobre_plano,portao_rede_A,j604_1.sm,-0.0012760843304150632
adaptativa,divida_latente_sobre_plano,portao_rede_A,j607_1.sm,0.0021529847585076895
adaptativa,divida_latente_sobre_plano,rede_portao_A,j6010_1.sm,-0.004541593839244666
adaptativa,divida_latente_sobre_plano,rede_portao_A,j6013_1.sm,0.0019671516156250465
adaptativa,divida_latente_sobre_plano,rede_portao_A,j6016_1.sm,0.0011511322526846287
adaptativa,divida_latente_sobre_plano,rede_portao_A,j6019_1.sm,0.004230445180657324
adaptativa,divida_latente_sobre_plano,rede_portao_A,j6021_1.sm,0.0032406026459859036
adaptativa,divida_latente_sobre_plano,rede_portao_A,j6024_1.sm,-0.009433227041327713
adaptativa,divida_latente_sobre_plano,rede_portao_A,j6027_1.sm,-0.003767555017674349
adaptativa,divida_latente_sobre_plano,rede_portao_A,j602_1.sm,-0.004022627152406374
adaptativa,divida_latente_sobre_plano,rede_portao_A,j6032_1.sm,0.008754630391465179
adaptativa,divida_latente_sobre_plano,rede_portao_A,j6035_1.sm,0.008118920167195459
adaptativa,divida_latente_sobre_plano,rede_portao_A,j6038_1.sm,-0.0016309624330543369
adaptativa,divida_latente_sobre_plano,rede_portao_A,j6040_1.sm,-0.002873040395155698
adaptativa,divida_latente_sobre_plano,rede_portao_A,j6043_1.sm,-0.0010303178087289146
adaptativa,divida_latente_sobre_plano,rede_portao_A,j6046_1.sm,-0.0032815198195092882
adaptativa,divida_latente_sobre_plano,rede_portao_A,j604_1.sm,-0.002566556760502722
adaptativa,divida_latente_sobre_plano,rede_portao_A,j607_1.sm,-0.0015013390313068945
adaptativa,taxa_falha_efetiva,portao,j6010_1.sm,-0.0236111111111111
adaptativa,taxa_falha_efetiva,portao,j6013_1.sm,-0.04444444444444445
adaptativa,taxa_falha_efetiva,portao,j6016_1.sm,0.004166666666666675
adaptativa,taxa_falha_efetiva,portao,j6019_1.sm,0.0
adaptativa,taxa_falha_efetiva,portao,j6021_1.sm,-0.049999999999999996
adaptativa,taxa_falha_efetiva,portao,j6024_1.sm,0.006944444444444452
adaptativa,taxa_falha_efetiva,portao,j6027_1.sm,0.008333333333333333
adaptativa,taxa_falha_efetiva,portao,j602_1.sm,-0.04027777777777778
adaptativa,taxa_falha_efetiva,portao,j6032_1.sm,-0.03333333333333333
adaptativa,taxa_falha_efetiva,portao,j6035_1.sm,-0.06527777777777778
adaptativa,taxa_falha_efetiva,portao,j6038_1.sm,-0.020833333333333332
adaptativa,taxa_falha_efetiva,portao,j6040_1.sm,-0.013888888888888888
adaptativa,taxa_falha_efetiva,portao,j6043_1.sm,0.006944444444444438
adaptativa,taxa_falha_efetiva,portao,j6046_1.sm,-0.023611111111111107
adaptativa,taxa_falha_efetiva,portao,j604_1.sm,-0.02361111111111112
adaptativa,taxa_falha_efetiva,portao,j607_1.sm,-0.04583333333333334
adaptativa,taxa_falha_efetiva,rede,j6010_1.sm,-0.029166666666666664
